# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-07-20 08:39:45
# API-Download für Covid19-Fälle in SK Osnabrück, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,3,4,,,3,4,2,3,3,,,,
2020-KW12,,,1,5,4,13,10,6,2,9,17,10,17,7,4,2,2,
2020-KW13,,,3,2,9,17,13,10,6,6,12,10,7,4,1,2,5,
2020-KW14,,1,2,4,6,5,13,4,6,7,5,11,5,3,1,1,8,
2020-KW15,1,2,,2,12,15,7,5,7,3,4,10,6,2,2,1,8,
2020-KW16,,,1,,3,6,8,2,1,1,7,1,2,1,2,1,1,
2020-KW17,,1,,,3,2,3,,,2,3,2,2,1,,,2,
2020-KW18,,,,,,,,1,,,,,,,1,,,
2020-KW19,1,,,2,2,2,3,1,1,5,5,3,2,,1,,1,
2020-KW20,,,,1,2,,,,,,,1,,,,,1,
2020-KW21,,,,,1,,,,,1,1,,,,,,1,
2020-KW22,,,,,4,1,,,1,,2,,,1,,,1,
2020-KW23,,,,1,,,,,1,,1,2,,,,,,
2020-KW24,,,,,,2,,,1,1,1,,,,,,,
2020-KW25,,,,,,1,,,1,,,,,,,,,
2020-KW26,,,,,,1,,,,,1,,,,,,3,
2020-KW27,,,,,2,,,,,,,,,,,,,
2020-KW28,,,,,,,1,,,1,,,,,,,1,
2020-KW29,,,,,,1,2,,,1,,2,,,,,,
2020-KW30,,,,,1,,,,1,,,,,,,,1,
2020-KW31,,,,,1,,,,,,,,,,,,,
2020-KW32,,,1,,1,,2,,,2,1,,,,,,1,
2020-KW33,,,3,3,3,1,1,4,,2,1,1,,,,,1,
2020-KW34,,5,3,4,4,1,1,2,4,4,3,,,1,,,1,
2020-KW35,,2,4,2,,1,,3,1,2,1,2,2,,,,2,
2020-KW36,1,2,2,1,1,3,1,,1,1,2,,,,,,,
2020-KW37,,1,,1,7,4,2,2,2,3,1,,1,,,,,
2020-KW38,2,4,3,,7,7,4,5,4,1,,1,3,,,,,
2020-KW39,2,,1,4,8,13,3,2,1,2,4,,1,2,1,,,
2020-KW40,,2,,2,2,5,3,4,3,1,,2,1,2,2,,2,
2020-KW41,1,1,,1,3,1,5,2,3,,2,,2,1,1,1,2,
2020-KW42,4,2,,3,9,14,12,3,1,1,6,4,4,2,1,,1,
2020-KW43,6,1,5,7,28,25,20,2,9,6,11,12,5,2,,,4,
2020-KW44,5,4,10,17,23,26,20,10,13,8,17,12,11,5,6,3,3,
2020-KW45,3,6,10,20,31,17,21,9,17,15,14,14,8,5,5,7,8,
2020-KW46,5,,11,18,26,29,12,6,11,9,11,13,9,3,3,2,18,
2020-KW47,3,7,13,12,27,18,15,14,18,15,18,13,7,7,6,10,16,
2020-KW48,8,19,12,18,25,21,17,10,25,23,33,15,17,7,4,6,22,
2020-KW49,10,5,16,18,24,30,21,17,18,20,19,15,14,7,9,3,19,
2020-KW50,8,12,16,21,22,21,18,15,22,18,15,13,9,9,1,3,19,
2020-KW51,1,5,12,11,25,16,17,8,10,20,15,16,12,6,4,10,37,
2020-KW52,10,8,7,10,23,30,15,16,14,8,21,25,15,11,1,3,16,
2020-KW53,10,9,13,11,22,21,27,16,11,16,19,18,6,7,3,8,16,
2021-KW01,12,2,11,17,26,32,28,22,18,12,17,16,10,5,7,5,24,
2021-KW02,8,10,12,17,13,24,11,16,9,4,14,16,8,4,7,10,22,
2021-KW03,3,2,2,6,11,15,8,9,6,7,5,13,10,4,4,6,25,
2021-KW04,2,1,6,6,16,7,13,10,6,12,10,5,7,3,4,4,13,
2021-KW05,1,1,3,5,14,4,3,8,5,10,9,7,2,1,1,,5,
2021-KW06,5,4,7,15,11,17,15,17,11,11,10,15,14,1,2,4,10,
2021-KW07,2,3,8,10,17,16,14,23,30,21,22,19,15,4,1,2,6,
2021-KW08,9,9,11,16,15,17,10,12,14,9,14,6,8,3,3,6,8,
2021-KW09,6,10,15,14,12,10,12,8,14,9,7,6,6,4,,1,2,
2021-KW10,11,13,8,19,24,34,26,24,11,13,19,11,5,6,2,2,3,
2021-KW11,28,24,21,20,40,32,31,41,12,22,16,15,17,4,8,1,7,
2021-KW12,25,34,18,29,32,37,28,22,17,32,20,17,11,6,3,4,3,
2021-KW13,15,12,5,15,24,15,35,14,19,16,7,4,15,3,6,3,3,
2021-KW14,9,8,16,18,30,30,17,17,15,20,9,8,16,8,4,3,2,
