# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-12-10 17:23:26
# API-Download für Covid19-Inzidenzen in SK Dresden, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,,6.93,,,,
2020-KW11,3.48,,,4.22,,24.97,8.16,7.07,5.42,16.73,8.92,11.54,6.88,,,3.67,,
2020-KW12,6.95,7.14,3.98,16.86,24.8,36.07,40.8,35.35,18.95,46.85,47.55,23.09,6.88,6.93,4.41,7.34,9.11,
2020-KW13,6.95,3.57,3.98,12.65,49.59,38.84,40.8,40.07,29.78,73.62,32.69,43.29,37.83,34.66,26.48,18.35,15.95,
2020-KW14,3.48,,,,24.8,38.84,26.52,28.28,21.66,20.08,23.78,51.95,13.76,20.8,35.3,3.67,22.79,
2020-KW15,,,3.98,12.65,,16.65,4.08,14.14,13.54,6.69,8.92,5.77,20.63,,,,2.28,
2020-KW16,,3.57,,,11.02,2.77,6.12,,5.42,6.69,11.89,5.77,6.88,,4.41,3.67,25.06,
2020-KW17,,,,4.22,19.29,8.32,6.12,4.71,2.71,10.04,5.94,2.89,6.88,6.93,,,6.84,
2020-KW18,3.48,,,,,5.55,10.2,,,,2.97,,,3.47,,,13.67,
2020-KW19,3.48,,,8.43,8.27,11.1,12.24,7.07,2.71,,5.94,2.89,,,4.41,,2.28,
2020-KW20,3.48,,,,8.27,,4.08,4.71,2.71,6.69,,2.89,,,,,4.56,
2020-KW21,3.48,,3.98,4.22,,2.77,4.08,2.36,,,2.97,2.89,3.44,,,3.67,4.56,
2020-KW22,,,,,,,,2.36,,3.35,,2.89,,,4.41,,2.28,
2020-KW23,,,,,,,4.08,,,,,,,,,,,
2020-KW24,,,,,,,,2.36,,,,,,,,,,
2020-KW26,,,,,,,,,,3.35,2.97,,,,,,,
2020-KW28,,,,,,,,2.36,,,,,,,,,,
2020-KW29,,,,,2.76,,2.04,,,6.69,,,,,,,,
2020-KW30,,,,,,2.77,,4.71,,,,,,,,3.67,2.28,
2020-KW31,,,,,5.51,,,,,,,,,,4.41,,,
2020-KW32,,,,,,5.55,,,,,2.97,2.89,,,,,,
2020-KW33,,,3.98,8.43,8.27,5.55,,,5.42,,2.97,2.89,3.44,,,,,
2020-KW34,3.48,,3.98,4.22,2.76,8.32,6.12,4.71,5.42,3.35,2.97,,3.44,,,,,
2020-KW35,,3.57,3.98,,11.02,11.1,10.2,2.36,5.42,3.35,,,6.88,,,,,
2020-KW36,,3.57,7.97,16.86,16.53,13.87,6.12,,2.71,,,8.66,6.88,13.87,,,2.28,
2020-KW37,,3.57,3.98,8.43,13.78,13.87,18.36,2.36,13.54,3.35,2.97,5.77,,3.47,,,,
