# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-27 08:56:59
# API-Download für Covid19-Inzidenzen in SK Frankfurt am Main, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,1.57,2.76,1.56,3.51,,,,,,,,,
2020-KW11,,,,,4.49,12.53,6.89,7.79,3.51,1.91,5.32,1.96,5.05,3.13,,,,
2020-KW12,2.43,2.78,,18.83,13.48,15.66,22.06,31.18,28.06,17.17,15.97,31.4,17.69,9.39,10.62,4.32,2.72,
2020-KW13,4.86,2.78,,6.28,17.97,26.62,28.96,46.77,26.31,32.43,40.82,41.21,45.49,28.16,31.87,30.23,24.47,
2020-KW14,12.15,5.55,8.94,21.97,40.44,25.06,27.58,31.18,24.55,41.97,55.01,31.4,55.6,31.29,38.95,34.55,38.07,
2020-KW15,4.86,13.88,14.9,15.7,35.94,32.88,17.93,26.5,47.35,40.06,37.27,41.21,53.08,28.16,46.03,47.51,57.1,
2020-KW16,2.43,2.78,5.96,9.42,8.99,26.62,24.82,26.5,19.29,41.97,39.04,9.81,17.69,40.67,21.24,56.15,100.61,
2020-KW17,7.29,2.78,5.96,6.28,22.46,25.06,24.82,20.27,12.28,20.98,17.75,25.51,12.64,12.51,21.24,30.23,54.38,
2020-KW18,,,2.98,6.28,22.46,14.09,8.27,14.03,10.52,28.61,17.75,11.77,7.58,,17.7,12.96,16.31,
2020-KW19,9.72,2.78,8.94,3.14,6.74,18.79,8.27,14.03,5.26,3.82,10.65,5.89,5.05,6.26,7.08,,,
2020-KW20,9.72,8.33,20.86,25.11,24.71,20.36,23.44,21.82,15.78,19.08,12.42,15.7,5.05,3.13,,4.32,2.72,
2020-KW21,17.01,5.55,11.92,25.11,11.23,20.36,6.89,6.24,10.52,13.35,8.87,5.89,22.75,6.26,3.54,,2.72,
2020-KW22,7.29,19.43,20.86,18.83,15.73,6.26,9.65,9.35,8.77,5.72,7.1,9.81,7.58,6.26,3.54,4.32,,
2020-KW23,2.43,2.78,2.98,,2.25,1.57,2.76,7.79,5.26,,,1.96,7.58,,3.54,4.32,5.44,
2020-KW24,12.15,5.55,8.94,6.28,4.49,6.26,4.14,4.68,3.51,1.91,1.77,1.96,5.05,3.13,,,5.44,
2020-KW25,9.72,13.88,23.84,12.56,8.99,4.7,5.52,4.68,5.26,13.35,5.32,,7.58,3.13,,,8.16,
2020-KW26,4.86,5.55,2.98,6.28,,9.4,9.65,9.35,,1.91,1.77,,2.53,,,,5.44,
2020-KW27,2.43,2.78,,,6.74,3.13,2.76,4.68,5.26,1.91,3.55,1.96,2.53,,,,,
2020-KW28,7.29,5.55,5.96,6.28,13.48,10.96,12.41,9.35,5.26,5.72,7.1,1.96,7.58,6.26,7.08,8.64,,
2020-KW29,,,,6.28,8.99,6.26,13.79,6.24,12.28,9.54,7.1,5.89,7.58,9.39,7.08,,,
2020-KW30,2.43,2.78,,12.56,6.74,4.7,5.52,7.79,5.26,13.35,5.32,3.92,5.05,6.26,,12.96,,
2020-KW31,2.43,5.55,2.98,9.42,11.23,4.7,11.03,4.68,10.52,5.72,3.55,7.85,5.05,,3.54,,5.44,
2020-KW32,12.15,16.65,14.9,18.83,35.94,17.23,12.41,14.03,5.26,11.45,5.32,1.96,5.05,3.13,3.54,4.32,2.72,
2020-KW33,9.72,22.2,32.78,75.34,65.15,23.49,35.85,17.15,36.83,17.17,10.65,15.7,2.53,,7.08,4.32,,
2020-KW34,4.86,22.2,44.7,75.34,121.31,62.64,35.85,28.06,29.81,36.24,26.62,23.55,22.75,6.26,7.08,,,
2020-KW35,4.86,5.55,29.8,25.11,35.94,43.85,31.72,34.29,21.05,17.17,14.2,15.7,20.22,,3.54,4.32,,
2020-KW36,14.58,13.88,23.84,50.22,58.41,32.88,52.4,18.71,22.8,17.17,12.42,19.62,10.11,6.26,7.08,8.64,8.16,
2020-KW37,4.86,2.78,17.88,25.11,40.44,42.28,27.58,15.59,21.05,19.08,12.42,13.74,5.05,12.51,7.08,,,
2020-KW38,2.43,5.55,5.96,65.92,38.19,36.02,33.09,28.06,10.52,22.89,14.2,13.74,10.11,12.51,10.62,8.64,,
2020-KW39,9.72,8.33,11.92,47.09,60.66,59.51,52.4,34.29,29.81,24.8,21.3,15.7,40.44,12.51,7.08,8.64,8.16,
2020-KW40,31.58,41.63,53.64,119.28,105.58,65.77,51.02,67.03,35.08,38.15,30.17,45.14,15.16,18.77,14.16,21.59,16.31,
2020-KW41,38.87,58.28,29.8,87.89,114.57,93.96,77.22,76.38,71.9,91.56,62.11,47.1,45.49,28.16,14.16,34.55,46.22,
2020-KW42,48.59,47.18,80.46,150.67,220.16,176.95,140.65,137.18,119.26,143.06,129.55,111.86,78.35,37.54,60.19,64.78,122.36,
2020-KW43,89.89,86.04,196.68,298.21,339.22,266.21,209.6,212.0,206.94,249.89,184.56,206.06,164.28,131.4,113.3,116.61,165.86,
