# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-19 08:51:30
# API-Download für Covid19-Fälle in SK Mönchengladbach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,1,,,,,,,,,,,
2020-KW10,,,,,1,,,1,1,,1,,2,2,,,,
2020-KW11,,,,1,,3,8,,4,2,2,3,2,2,2,,,
2020-KW12,3,,1,,,10,8,3,5,9,9,11,3,2,2,2,,
2020-KW13,1,2,2,1,4,3,7,6,2,2,9,7,7,5,1,5,8,
2020-KW14,1,,1,4,4,5,7,3,4,8,10,10,13,1,4,10,35,
2020-KW15,,,,1,11,2,6,5,2,,8,8,2,3,5,3,21,
2020-KW16,2,,1,2,1,2,5,4,4,3,7,4,4,6,3,1,4,
2020-KW17,1,,1,2,2,7,2,2,3,6,2,1,3,1,1,2,6,
2020-KW18,2,,1,,4,6,5,1,2,4,2,3,2,,,,,
2020-KW19,2,2,2,2,3,3,5,3,1,2,1,2,1,,,5,3,
2020-KW20,1,2,1,2,4,5,6,5,1,4,4,1,3,,,,2,
2020-KW21,3,2,,,,3,6,1,1,1,1,1,,2,2,1,3,1
2020-KW22,,,,,,2,2,,,,1,1,,,1,,5,
2020-KW23,,,,4,1,1,3,,1,3,1,1,1,,,,,
2020-KW24,2,,1,,,,1,,1,1,2,,2,1,,,,
2020-KW25,1,2,,1,3,2,2,,3,2,1,1,,,,2,1,
2020-KW26,1,,,1,1,,1,1,2,2,1,2,1,2,,2,,
2020-KW27,,,,2,1,2,,3,1,,,,1,,,,,
2020-KW28,,,,2,2,2,4,3,2,,1,2,1,1,,3,1,
2020-KW29,4,1,2,,,,,1,,5,2,3,2,,1,2,4,
2020-KW30,1,3,,3,2,2,2,2,4,,3,4,,,,,2,
2020-KW31,1,3,3,5,3,2,3,4,1,2,4,4,1,1,1,2,5,
2020-KW32,1,2,4,7,2,4,2,4,6,1,2,3,1,1,2,,1,
2020-KW33,3,,3,5,9,4,1,3,3,5,8,2,3,1,1,,7,
2020-KW34,,,3,1,2,4,,1,3,1,2,2,1,1,,1,,
2020-KW35,1,2,2,3,2,5,1,1,4,5,2,2,1,1,1,1,,
2020-KW36,1,3,,,1,2,1,4,3,2,3,,,2,,2,,
2020-KW37,,,1,,2,2,2,1,,2,,1,1,,,2,2,
2020-KW38,,,3,6,3,3,2,1,1,3,1,2,1,4,2,1,1,
2020-KW39,,1,2,3,3,2,6,2,2,3,1,3,1,,,1,2,
2020-KW40,,,1,4,3,1,3,3,6,5,3,,4,,,,3,
2020-KW41,,4,1,3,3,9,12,3,4,8,4,10,3,2,1,1,2,
2020-KW42,2,3,5,6,18,20,10,6,9,9,8,6,8,10,1,2,3,
2020-KW43,1,,6,28,24,25,18,13,15,15,21,17,14,8,3,12,32,
2020-KW44,9,12,14,28,40,23,26,37,33,26,45,30,22,10,14,15,17,
2020-KW45,19,17,19,38,40,45,34,27,31,33,42,34,23,16,7,10,29,
2020-KW46,15,11,23,30,43,37,46,30,27,34,42,36,16,9,22,7,42,
2020-KW47,5,5,10,34,33,39,33,38,27,37,28,30,27,16,7,5,8,
2020-KW48,4,12,13,39,41,52,47,36,41,35,39,29,26,11,9,4,16,
2020-KW49,4,11,10,28,38,41,34,38,28,28,38,32,25,16,7,6,17,
2020-KW50,6,7,17,30,33,40,50,34,41,27,53,38,23,8,18,19,63,
2020-KW51,10,9,14,32,32,42,44,42,34,29,42,34,20,13,17,15,47,
2020-KW52,3,6,9,19,26,40,35,31,29,30,45,36,23,16,8,14,53,
2020-KW53,3,2,5,17,20,23,14,22,29,13,23,29,18,16,12,11,37,1
2021-KW01,1,2,6,24,28,45,45,33,40,30,46,30,34,21,17,7,23,
2021-KW02,6,2,5,15,23,21,25,19,21,20,29,21,9,19,6,9,24,
2021-KW03,2,4,5,11,16,17,20,24,18,14,22,16,17,10,8,11,62,
2021-KW04,3,4,5,9,14,16,16,18,8,19,17,23,18,5,8,5,30,
2021-KW05,2,3,3,4,7,9,7,8,9,14,14,15,6,6,9,5,12,
2021-KW06,6,1,2,1,1,9,7,8,5,5,4,6,2,5,3,2,11,
2021-KW07,1,4,2,6,7,7,9,13,10,4,1,11,7,4,1,5,6,
2021-KW08,1,1,2,9,6,18,7,4,10,7,8,3,10,8,7,1,9,4
2021-KW09,,8,2,6,14,12,11,12,10,7,12,6,9,3,2,1,11,2
2021-KW10,4,2,3,7,9,9,11,18,12,12,8,11,5,2,3,1,3,1
2021-KW11,11,5,12,17,16,21,15,26,25,22,26,19,15,11,5,4,7,1
2021-KW12,10,10,23,23,28,17,13,18,17,11,20,30,15,5,5,1,8,
2021-KW13,12,13,14,21,26,27,19,27,31,19,14,18,13,12,6,4,7,1
2021-KW14,5,12,7,15,31,30,28,27,21,19,30,26,15,9,6,4,6,
2021-KW15,15,17,17,39,36,40,36,34,26,34,40,30,15,14,6,8,14,4
2021-KW16,8,24,25,49,38,31,31,41,30,22,31,31,15,9,9,2,8,5
2021-KW17,16,28,24,27,37,35,27,36,34,30,34,35,17,7,5,6,4,
2021-KW18,15,13,23,26,26,27,28,14,16,26,32,20,14,7,5,4,5,2
2021-KW19,10,9,17,10,14,16,22,13,13,11,18,26,9,2,3,2,3,1
2021-KW20,7,12,11,11,21,17,20,11,14,18,14,11,6,3,2,4,3,
2021-KW21,8,6,11,6,12,18,11,12,4,9,8,10,6,1,,1,2,1
2021-KW22,1,6,5,5,1,5,4,6,7,1,4,2,4,,1,,,
2021-KW23,1,6,5,5,,4,3,4,4,5,5,6,2,1,,,,
2021-KW24,,1,2,5,3,2,2,1,1,2,3,2,2,,1,,1,
2021-KW25,,,,1,1,2,,1,,1,2,1,,,,,,
2021-KW26,,,,1,3,2,,,,,,,,,,,,
2021-KW27,1,,,4,8,1,,2,,,,,,,,,,
2021-KW28,,,,7,3,2,2,,,,,,1,1,,,,
2021-KW29,2,,3,4,9,6,7,2,,3,3,5,,,,,,
2021-KW30,3,,5,8,17,15,4,5,5,4,7,3,,,,,,
2021-KW31,5,5,7,15,31,29,15,16,10,9,13,8,3,1,1,,1,1
2021-KW32,13,12,25,32,36,27,28,22,22,21,13,9,5,3,3,3,1,1
2021-KW33,15,40,65,69,26,31,23,31,36,27,13,18,7,1,2,2,4,2
2021-KW34,19,35,47,54,36,21,34,35,31,27,17,14,11,5,2,4,8,1
2021-KW35,13,41,45,46,41,36,23,33,26,12,19,11,12,6,3,2,6,1
2021-KW36,6,15,35,21,33,29,35,14,18,19,24,11,7,5,3,5,4,1
2021-KW37,3,15,20,36,15,16,25,20,9,11,11,6,4,,1,4,7,1
2021-KW38,3,10,33,33,17,11,17,15,15,12,13,14,5,2,2,3,4,2
2021-KW39,2,22,43,27,15,11,16,12,18,20,17,10,4,1,3,2,2,2
2021-KW40,11,34,33,11,17,3,10,17,8,13,15,9,5,3,2,3,4,3
2021-KW41,2,8,15,18,26,15,22,10,16,11,19,8,7,5,4,3,7,
2021-KW42,5,4,14,18,32,27,17,21,22,14,23,13,9,6,5,5,2,1
2021-KW43,9,22,39,23,27,24,25,21,19,19,20,19,10,10,6,8,17,
2021-KW44,2,34,28,17,17,19,23,23,22,19,15,11,17,13,11,3,8,1
2021-KW45,15,35,47,27,33,29,35,27,29,37,40,28,24,19,17,12,41,1
2021-KW46,15,58,47,22,37,38,45,40,37,33,41,34,32,20,10,10,22,1
2021-KW47,40,88,130,53,72,48,57,67,68,77,59,48,56,36,35,16,23,6
2021-KW48,23,101,101,45,60,51,48,63,79,53,46,54,45,31,24,8,21,1
2021-KW49,18,55,65,42,32,31,51,40,48,39,45,30,26,16,12,9,12,
2021-KW50,33,58,53,36,38,39,46,36,41,39,34,28,28,17,16,9,20,
2021-KW51,13,43,32,15,18,30,28,24,21,16,22,24,19,9,4,4,3,
2021-KW52,12,31,30,28,37,40,35,41,33,31,27,28,19,9,8,3,12,
2022-KW01,34,56,65,69,132,131,97,77,56,55,57,48,29,12,9,6,6,
2022-KW02,74,254,168,198,180,163,160,148,129,102,126,116,56,24,18,12,36,5
2022-KW03,160,390,375,295,277,293,292,297,266,223,195,169,104,46,35,21,60,8
2022-KW04,165,447,552,404,303,350,365,353,286,247,241,239,150,63,41,21,87,2
2022-KW05,182,435,551,394,369,342,403,420,388,292,288,222,156,81,49,36,88,6
2022-KW06,213,346,303,284,272,299,306,361,272,230,227,221,145,74,53,41,81,13
2022-KW07,123,220,217,215,183,234,221,245,231,185,182,153,92,86,41,21,69,5
2022-KW08,168,207,188,137,189,196,189,183,170,150,147,137,97,60,49,28,82,9
2022-KW09,114,166,136,193,252,270,222,243,179,141,194,166,130,68,57,46,68,9
2022-KW10,155,238,230,268,312,336,332,282,260,245,303,310,222,141,120,86,131,5
2022-KW11,140,270,270,259,349,314,349,290,274,250,307,285,231,155,100,73,149,6
2022-KW12,167,267,279,283,324,360,391,347,280,278,289,336,220,157,99,84,151,8
2022-KW13,122,171,203,193,254,274,277,257,231,166,261,255,189,108,68,63,114,14
2022-KW14,43,118,152,159,205,228,235,200,181,157,224,245,183,133,76,70,111,9
2022-KW15,43,97,87,151,149,205,214,166,162,160,168,196,124,82,55,48,67,9
2022-KW16,52,64,76,132,143,170,165,152,136,154,187,174,144,73,55,32,49,4
2022-KW17,40,49,77,105,121,146,131,110,118,105,142,119,114,54,49,28,76,3
2022-KW18,23,65,72,58,101,133,121,100,110,101,112,112,86,35,28,21,38,5
2022-KW19,24,45,67,59,60,89,92,85,88,72,79,94,63,34,33,11,19,7
2022-KW20,15,23,49,56,58,74,71,71,70,60,65,84,60,31,15,14,11,3
2022-KW21,12,20,32,23,37,47,73,33,52,42,38,52,35,19,18,10,17,2
2022-KW22,15,26,37,52,71,92,125,63,74,68,102,107,81,56,33,21,21,1
2022-KW23,23,31,64,80,100,164,139,124,110,96,151,136,101,53,45,20,30,3
2022-KW24,29,76,83,105,138,184,186,146,131,135,168,162,126,57,41,31,60,4
2022-KW25,37,61,92,112,167,247,237,187,187,186,225,231,165,99,59,46,61,4
2022-KW26,40,40,52,80,132,194,226,164,180,180,231,241,173,105,55,42,75,10
2022-KW27,31,29,36,69,169,194,223,192,153,150,231,229,196,112,69,49,94,13
2022-KW28,33,32,36,63,143,189,189,157,142,126,167,215,212,102,74,66,87,12
2022-KW29,34,25,38,57,111,119,157,115,106,92,147,174,116,70,57,33,68,4
2022-KW30,28,23,27,45,101,131,127,114,94,88,98,120,94,50,51,35,53,5
2022-KW31,18,39,44,40,95,103,111,96,91,96,84,83,78,48,25,23,37,1
2022-KW32,25,47,65,75,61,90,113,114,99,90,96,101,71,42,27,23,35,2
2022-KW33,14,30,33,31,40,49,58,71,41,52,45,34,38,21,16,10,29,2
