# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-20 06:50:37
# API-Download für Covid19-Fälle in LK Ennepe-Ruhr-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,1,,,,,,,,,,,,
2020-KW11,,,,,,1,,,,1,1,1,2,3,,1,,
2020-KW12,1,1,1,1,3,3,5,7,4,6,10,9,1,2,1,,,
2020-KW13,,3,2,3,12,12,6,8,7,10,16,18,6,3,4,2,3,
2020-KW14,1,2,1,5,4,7,8,3,4,9,5,12,10,2,1,3,5,
2020-KW15,,1,1,3,5,5,4,5,3,4,5,9,8,1,1,2,5,
2020-KW16,2,,2,1,6,1,4,4,1,1,7,3,1,1,1,1,2,
2020-KW17,1,,1,1,,1,,2,2,1,,1,,,1,2,2,
2020-KW18,2,,,,2,3,1,,,,2,3,2,1,,1,2,
2020-KW19,,1,,,1,1,,,,1,1,4,,,,2,,
2020-KW20,,,,,,1,,1,,,,1,,1,,,,
2020-KW21,,,,,2,1,,,1,1,,2,3,,,1,1,
2020-KW22,,,,,1,2,,2,,1,2,,,,,1,,
2020-KW23,2,1,1,2,1,,,,2,1,2,,1,,1,1,,
2020-KW24,,1,,,,,2,1,,,1,,1,,,1,1,
2020-KW25,,,,,1,1,,,1,,1,2,,,,,,
2020-KW26,,1,,,,,1,3,,,,3,1,,,1,,
2020-KW27,5,1,,,,3,4,1,,1,1,,,,,1,,
2020-KW28,1,,,,,1,,1,1,1,1,,,,,1,2,
2020-KW29,2,1,3,1,,2,2,1,1,3,3,4,2,,,,,
2020-KW30,2,3,5,3,3,5,1,1,4,2,4,,1,,,1,,
2020-KW31,,1,1,1,5,1,1,2,3,,1,2,,2,,,5,
2020-KW32,2,2,3,2,5,7,2,5,3,1,4,2,1,,,1,,
2020-KW33,,3,3,4,6,1,6,,6,2,7,,,1,1,1,1,
2020-KW34,,1,3,3,5,3,1,2,4,3,7,2,2,1,,,4,
2020-KW35,3,3,2,1,3,1,3,1,1,3,5,1,,,,,3,
2020-KW36,,1,,2,4,4,3,1,2,3,1,1,1,,1,,,
2020-KW37,,,2,2,1,5,1,1,1,2,1,,1,,1,1,1,
2020-KW38,2,,1,5,3,1,2,3,5,2,2,2,,,4,2,1,
2020-KW39,1,,1,4,2,8,3,4,2,4,5,2,1,,,,,
2020-KW40,3,6,4,7,8,9,11,2,5,4,1,10,4,2,,1,,
2020-KW41,2,1,2,5,3,14,9,2,2,6,3,9,4,1,2,2,5,
2020-KW42,5,3,3,18,22,13,15,8,3,12,18,14,9,3,7,12,21,
2020-KW43,20,13,9,22,39,29,24,29,24,25,27,25,22,15,5,11,24,
2020-KW44,23,16,20,40,52,42,34,39,33,40,45,35,22,15,8,10,24,
2020-KW45,18,22,27,35,40,37,43,37,37,38,37,47,27,27,8,10,21,
2020-KW46,22,25,24,33,50,28,27,36,32,34,44,39,21,8,5,9,13,
2020-KW47,17,16,25,24,42,29,29,34,33,28,39,30,22,16,14,5,29,
2020-KW48,12,12,13,37,28,24,23,30,30,26,35,35,25,16,10,10,32,
2020-KW49,16,23,20,35,44,41,37,34,23,36,38,31,31,7,10,13,33,
2020-KW50,19,25,27,28,39,45,41,40,33,48,48,41,37,14,15,14,83,
2020-KW51,22,24,23,19,42,31,44,45,33,35,57,60,54,16,15,33,137,
2020-KW52,8,15,10,23,41,44,35,31,30,26,44,33,31,24,17,23,83,
2020-KW53,9,11,9,12,20,27,23,20,18,34,38,28,20,12,14,12,45,
2021-KW01,9,3,22,16,30,47,31,33,28,37,41,44,26,15,18,15,61,
2021-KW02,14,13,12,27,31,33,22,23,20,42,27,42,18,16,15,17,53,
2021-KW03,11,9,8,8,26,16,27,20,23,24,26,27,18,15,11,17,40,
2021-KW04,9,5,8,4,12,21,11,21,24,12,32,25,11,5,7,20,29,
2021-KW05,9,8,14,15,24,30,27,11,18,25,27,30,25,6,6,4,16,
2021-KW06,9,8,3,6,19,24,14,10,23,15,20,32,17,7,6,10,15,
2021-KW07,3,15,11,15,21,9,15,11,24,24,22,18,17,12,8,8,21,
2021-KW08,10,9,14,32,25,19,20,17,21,12,24,25,15,7,14,11,15,
2021-KW09,5,14,9,11,26,12,19,17,10,18,22,31,16,13,9,3,13,
2021-KW10,10,10,12,12,16,25,16,16,12,13,21,18,12,3,6,6,14,
2021-KW11,10,14,22,34,34,19,26,25,17,20,42,37,14,16,8,12,12,
2021-KW12,19,28,25,29,27,30,35,24,23,34,43,33,27,15,14,9,27,
2021-KW13,29,20,15,26,47,27,29,29,33,30,31,28,19,22,5,7,14,
2021-KW14,23,28,14,19,25,31,34,29,22,13,15,27,20,12,5,4,6,
2021-KW15,28,39,37,32,27,45,39,31,32,25,30,38,26,11,11,2,7,
2021-KW16,28,52,43,35,40,30,56,41,37,35,49,43,29,8,18,9,12,
2021-KW17,31,40,31,22,28,36,38,35,23,31,31,41,32,16,4,7,11,
2021-KW18,14,21,19,20,15,20,25,21,23,17,35,30,19,11,9,7,8,
2021-KW19,15,18,18,15,12,15,22,15,10,12,16,18,12,7,6,4,4,
2021-KW20,3,,1,1,2,3,1,4,1,1,1,5,2,,1,,1,
