# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-18 08:54:41
# API-Download für Covid19-Inzidenzen in LK Kyffhäuserkreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,23.2,71.01,46.75,,,,,,,,
2020-KW12,,,,,,,48.78,,,23.38,35.91,14.56,,,,,,
2020-KW13,,,,,,,,23.2,23.67,23.38,17.96,14.56,,,,51.41,,
2020-KW14,,,,,41.34,45.45,24.39,,23.67,,17.96,14.56,,,45.36,,,
2020-KW15,,,32.18,33.61,41.34,,24.39,,,23.38,17.96,14.56,,,,,15.63,
2020-KW17,,,,33.61,,,,,,,,,14.8,,,,,
2020-KW18,,,,,,,,,,,17.96,14.56,14.8,,22.68,,,
2020-KW20,,,32.18,,,,24.39,,,,17.96,14.56,,,,,,
2020-KW24,,,,,82.68,,24.39,,,,,,,,,,,
2020-KW25,,,,,,,24.39,,,,,,,,,,15.63,
2020-KW26,,,,,82.68,,,,,,,,,,,,,
2020-KW29,,,,,,,,,23.67,,,,,,,,,
2020-KW30,,,,,,,,,,,,,,,,,31.27,
2020-KW33,,,,,41.34,,,,,,,,,,,,,
2020-KW34,,33.27,,,,,,23.2,,,,,,,,,,
2020-KW35,,33.27,32.18,,,,24.39,,,,,,,,22.68,,,
2020-KW37,,,,,,,24.39,,,,,,,,,,,
2020-KW38,,,,,,,,23.2,,,,,,,,,,
2020-KW39,,,,,,,24.39,,,,,,,,,,,
2020-KW40,,,,33.61,41.34,,24.39,,,,,,,,,,,
2020-KW41,,,,33.61,,,,,,23.38,,14.56,,,,,,
2020-KW42,,,,33.61,,,,,23.67,23.38,17.96,,,,,25.71,,
