# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-28 07:42:12
# API-Download für Covid19-Fälle in LK Spree-Neiße, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,1,,,,,
2020-KW11,,,,,,3,,2,,,,2,2,,,,,
2020-KW12,,,,,1,,3,1,,1,6,1,,,,,,
2020-KW13,,1,,,2,,,1,1,4,1,2,3,2,2,1,,
2020-KW14,,,,,,,1,,1,2,,,,1,,1,,
2020-KW15,,,1,,,,,,1,,,,,,,,,
2020-KW16,,,,,,,,1,,,,,,,1,,,
2020-KW17,,1,,1,,,2,,,,,1,,,,,,
2020-KW18,1,2,1,,,1,,,,,,,,,,,,
2020-KW22,,,,,,,,,,,,,,,1,,,
2020-KW25,,,,,,2,,,,,,,,,,,,
2020-KW28,,,,1,,,,,,,,,,,,,,
2020-KW32,,,,,,,,,,,,,1,,,,,
2020-KW37,,,,,1,,,,,,,,,,,,,
2020-KW38,,,,,,3,,,,,,1,,,,,,
2020-KW40,,,,,2,1,,,1,1,1,2,,,1,,2,
2020-KW41,,1,,2,1,,2,1,3,,5,3,1,1,,1,,
2020-KW42,,3,4,1,3,1,5,1,4,3,7,4,5,4,1,2,6,
2020-KW43,2,11,3,2,,5,8,9,5,4,9,10,11,2,5,1,7,
2020-KW44,8,4,2,6,7,6,13,11,11,13,17,28,11,11,4,5,19,
2020-KW45,3,9,14,10,8,6,17,19,6,14,25,26,24,11,3,11,24,
2020-KW46,3,7,9,12,3,9,12,9,11,17,25,29,16,9,7,9,26,
2020-KW47,2,3,11,15,3,7,17,14,12,21,27,25,15,11,4,11,41,
2020-KW48,1,9,3,7,10,5,8,18,18,20,19,28,13,14,8,8,26,
2020-KW49,,2,40,18,14,6,23,19,21,25,34,32,25,16,10,13,31,
2020-KW50,4,8,11,10,22,22,36,30,35,38,52,62,43,22,14,24,41,
2020-KW51,2,7,7,18,17,16,32,39,38,42,48,65,49,21,21,20,97,
2020-KW52,2,4,1,9,18,14,32,29,21,28,43,64,38,18,11,28,45,
2020-KW53,3,1,3,10,15,10,30,25,25,29,57,51,36,30,14,17,53,
2021-KW01,5,12,11,16,16,17,48,45,38,44,64,80,72,36,22,23,80,
2021-KW02,7,3,3,13,16,10,22,42,35,32,46,41,38,24,10,19,87,
2021-KW03,9,7,2,14,15,12,20,21,20,27,45,39,26,17,11,8,50,
2021-KW04,8,5,6,7,7,10,13,20,15,9,28,36,35,8,7,10,22,
2021-KW05,3,4,3,1,6,6,13,11,11,13,21,18,15,12,4,3,16,
2021-KW06,1,3,4,4,5,3,13,12,12,5,11,19,12,3,3,5,7,
2021-KW07,,4,3,1,7,2,9,9,5,8,13,14,8,6,2,5,17,
2021-KW08,2,1,,3,4,3,6,4,4,4,7,15,8,11,2,1,16,
2021-KW09,2,,,2,3,5,5,4,6,4,11,13,16,6,7,4,11,
2021-KW10,,1,1,5,2,2,8,7,5,4,9,10,7,1,2,,5,
2021-KW11,6,4,3,5,1,2,7,9,10,4,9,18,20,13,8,9,10,
2021-KW12,3,13,9,5,3,8,8,21,16,8,15,22,11,8,6,7,11,
2021-KW13,9,8,9,8,6,5,20,17,11,8,9,26,24,10,1,6,11,
2021-KW14,15,10,4,12,11,4,18,21,17,12,26,22,27,13,5,11,16,
2021-KW15,10,7,8,7,9,6,11,8,17,12,24,22,16,13,14,7,12,
2021-KW16,5,8,6,13,6,8,18,16,20,24,20,30,24,18,13,7,23,
2021-KW17,6,7,6,7,6,4,11,16,13,9,24,23,17,11,11,4,10,
2021-KW18,7,5,5,13,2,5,13,9,9,9,16,20,10,8,3,4,7,
