# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-01-28 07:35:26
# API-Download für Covid19-Fälle in SK Dresden, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,,2,,,,
2020-KW11,1,,,1,,9,4,3,2,5,3,4,2,,,1,,
2020-KW12,2,2,1,4,9,13,20,15,7,14,16,8,2,2,1,2,4,
2020-KW13,2,1,1,3,18,14,20,17,11,22,11,15,11,10,6,5,7,
2020-KW14,1,,,,9,14,13,12,8,6,8,18,4,6,8,1,10,
2020-KW15,,,1,3,,6,2,6,5,2,3,2,6,,,,1,
2020-KW16,,1,,,4,1,3,,2,2,4,2,2,,1,1,11,
2020-KW17,,,,1,7,3,3,2,1,3,2,1,2,2,,,3,
2020-KW18,1,,,,,2,5,,,,1,,,1,,,6,
2020-KW19,1,,,2,3,4,6,3,1,,2,1,,,1,,1,
2020-KW20,1,,,,3,,2,2,1,2,,1,,,,,2,
2020-KW21,1,,1,1,,1,2,1,,,1,1,1,,,1,2,
2020-KW22,,,,,,,,1,,1,,1,,,1,,1,
2020-KW23,,,,,,,2,,,,,,,,,,,
2020-KW24,,,,,,,,1,,,,,,,,,,
2020-KW26,,,,,,,,,,1,1,,,,,,,
2020-KW28,,,,,,,,1,,,,,,,,,,
2020-KW29,,,,,1,,1,,,2,,,,,,,,
2020-KW30,,,,,,1,,2,,,,,,,,1,1,
2020-KW31,,,,,2,,,,,,,,,,1,,,
2020-KW32,,,,,,2,,,,,1,1,,,,,,
2020-KW33,,,1,2,3,2,,,2,,1,1,1,,,,,
2020-KW34,1,,1,1,1,3,3,2,2,1,1,,1,,,,,
2020-KW35,,1,1,,1,4,5,1,2,1,,,2,,,,,
2020-KW36,,1,2,4,6,5,3,,1,,,3,2,4,,,1,
2020-KW37,,1,1,2,5,5,8,1,5,1,1,2,,1,,,,
2020-KW38,1,1,,4,2,12,2,,1,1,1,,2,,2,,1,
2020-KW39,,,,1,5,3,2,5,,1,2,5,1,4,1,8,15,
2020-KW40,1,1,1,12,12,6,4,6,3,3,7,2,3,1,8,5,4,
2020-KW41,1,5,6,7,22,14,19,6,11,8,16,11,8,6,2,8,9,
2020-KW42,,2,6,10,21,22,18,16,17,10,30,23,16,9,8,5,45,
2020-KW43,3,4,5,13,50,49,56,36,35,29,38,36,21,17,7,10,33,
2020-KW44,4,14,11,27,82,69,90,64,47,42,56,58,26,25,26,23,80,
2020-KW45,17,29,31,31,70,60,111,86,67,50,70,61,48,26,32,40,121,
2020-KW46,9,17,27,35,53,69,75,77,66,49,70,57,54,21,21,26,62,
2020-KW47,17,16,34,56,70,72,105,90,83,66,75,63,46,29,26,41,102,
2020-KW48,10,28,55,53,101,86,158,118,115,88,72,122,74,46,35,57,253,
2020-KW49,13,25,57,70,114,112,159,157,128,121,102,104,74,49,38,51,255,
2020-KW50,22,40,70,98,154,187,254,223,212,172,176,178,124,67,49,65,269,
2020-KW51,21,35,61,84,151,185,258,187,188,146,182,186,134,79,62,87,401,
2020-KW52,15,17,27,46,105,117,165,123,141,118,114,132,105,83,49,85,256,
2020-KW53,11,12,15,48,124,127,149,155,126,95,125,132,96,43,44,76,339,
2021-KW01,5,12,25,34,131,128,169,146,127,97,112,103,74,67,44,51,217,
2021-KW02,6,10,8,30,66,66,110,85,67,61,61,84,68,31,32,45,255,
2021-KW03,19,7,8,23,48,51,65,62,56,54,59,69,53,25,20,31,101,
2021-KW04,5,9,10,15,49,34,52,48,40,35,37,50,41,18,23,33,128,
2021-KW05,7,11,8,13,29,24,40,34,34,20,32,30,27,15,10,26,93,
2021-KW06,5,8,7,16,30,12,38,28,16,16,25,25,12,15,4,21,41,
2021-KW07,20,10,5,7,20,21,30,40,29,20,30,27,24,13,4,16,38,
2021-KW08,11,11,3,16,26,25,40,37,31,22,19,33,17,19,13,9,35,
2021-KW09,14,31,10,12,26,25,51,25,27,33,25,21,30,10,12,22,42,
2021-KW10,22,45,17,17,39,41,42,63,49,38,38,31,20,17,8,18,25,
2021-KW11,30,43,29,33,58,39,55,60,64,65,32,40,23,23,11,13,19,
2021-KW12,35,66,43,44,63,62,91,75,78,56,46,48,35,28,17,15,23,
2021-KW13,19,23,35,31,65,51,67,79,68,54,46,54,31,22,18,14,30,
2021-KW14,14,20,33,54,70,80,86,73,82,69,59,45,46,25,16,29,38,
2021-KW15,21,37,59,64,71,66,93,88,66,52,62,49,36,40,29,26,18,
2021-KW16,25,41,65,49,88,62,113,78,64,62,55,60,46,30,28,22,31,
2021-KW17,30,40,49,38,61,65,86,84,55,46,72,55,46,19,20,18,29,
2021-KW18,20,45,35,30,63,54,79,75,57,47,40,51,44,16,16,15,12,
2021-KW19,13,30,28,28,37,39,51,39,43,43,28,38,16,12,6,7,12,
2021-KW20,9,39,30,25,33,21,45,43,37,17,23,23,21,10,9,6,9,
