# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-11-24 07:44:17
# API-Download für Covid19-Inzidenzen in LK Mainz-Bingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,9.67,,29.91,8.43,23.26,7.43,,5.64,31.51,,,,,,
2020-KW12,,,9.79,9.67,29.64,19.94,25.3,31.01,22.29,29.98,28.21,26.26,24.39,7.59,9.15,24.95,14.27,
2020-KW13,29.58,,,9.67,79.03,39.88,109.65,23.26,44.58,52.46,56.42,26.26,42.69,7.59,27.44,12.48,7.14,
2020-KW14,,19.07,19.59,9.67,39.51,9.97,59.04,46.52,22.29,14.99,73.35,52.51,54.89,45.53,45.73,24.95,99.89,
2020-KW15,,,9.79,,59.27,9.97,8.43,7.75,22.29,44.97,33.85,21.01,36.59,30.35,27.44,49.91,149.84,
2020-KW16,,,,9.67,69.15,,8.43,7.75,14.86,37.47,22.57,31.51,42.69,15.18,9.15,24.95,78.49,
2020-KW17,,,,9.67,29.64,29.91,,15.51,14.86,7.49,5.64,26.26,18.3,15.18,,12.48,78.49,
2020-KW18,,,,,9.88,9.97,,,,,11.28,5.25,12.2,,9.15,,14.27,
2020-KW19,,9.53,19.59,9.67,9.88,19.94,16.87,7.75,14.86,22.48,5.64,5.25,6.1,,,,21.41,
2020-KW20,9.86,9.53,19.59,9.67,9.88,9.97,,7.75,,,16.93,5.25,,,9.15,,7.14,
2020-KW21,,,9.79,,9.88,9.97,,,,,,5.25,6.1,7.59,,,,
2020-KW22,,9.53,,19.34,,,,,14.86,,,5.25,,,,,,
2020-KW23,,,,9.67,,,,,7.43,,,,,,,,,
2020-KW24,,,9.79,,,,,,,7.49,,,,,,,,
2020-KW25,,,,,9.88,9.97,,,,,,,,,,,,
2020-KW27,,,,,,,,,,7.49,5.64,,,,,,,
2020-KW28,,,,,,9.97,8.43,7.75,,,,,,,,,,
2020-KW29,,,,,,,,7.75,,7.49,,,,,,,,
2020-KW30,,,,,,9.97,8.43,,,,5.64,,,,,,,
2020-KW31,,,,9.67,9.88,9.97,8.43,,7.43,,,,,,,,,
2020-KW32,,9.53,19.59,29.01,9.88,9.97,,15.51,7.43,14.99,,5.25,18.3,7.59,,,,
2020-KW33,29.58,9.53,9.79,9.67,29.64,9.97,,,14.86,22.48,11.28,,,,,,,
2020-KW34,19.72,9.53,48.97,48.36,49.39,29.91,25.3,7.75,14.86,14.99,11.28,,6.1,,9.15,37.43,7.14,
2020-KW35,9.86,9.53,,9.67,39.51,,8.43,7.75,7.43,,16.93,,,,,,,
2020-KW36,,,9.79,9.67,,9.97,8.43,,14.86,37.47,5.64,5.25,,,,,,
2020-KW37,,9.53,9.79,48.36,49.39,9.97,16.87,,22.29,22.48,5.64,15.75,,,9.15,,,
2020-KW38,,,9.79,9.67,9.88,9.97,8.43,15.51,29.72,29.98,,,6.1,,,,,
2020-KW39,9.86,9.53,,9.67,29.64,9.97,25.3,,14.86,7.49,11.28,,,,,,14.27,
2020-KW40,,,29.38,58.03,49.39,59.82,33.74,7.75,22.29,14.99,5.64,15.75,,37.94,9.15,24.95,7.14,
2020-KW41,,9.53,9.79,9.67,177.81,29.91,16.87,46.52,37.15,14.99,33.85,21.01,12.2,45.53,64.02,49.91,128.43,
2020-KW42,39.44,9.53,39.17,19.34,88.91,39.88,16.87,69.78,29.72,14.99,56.42,63.02,18.3,53.11,9.15,,28.54,
2020-KW43,39.44,57.2,29.38,106.39,118.54,99.7,168.7,77.54,81.72,97.43,78.99,42.01,73.18,53.11,54.88,24.95,99.89,
2020-KW44,78.88,85.81,176.28,154.74,227.21,159.51,177.13,131.81,148.59,172.38,141.06,120.78,73.18,45.53,36.58,49.91,71.35,
2020-KW45,29.58,47.67,127.31,290.14,256.84,169.48,185.57,155.07,156.01,209.86,203.13,147.04,60.98,45.53,73.17,49.91,142.7,
