# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-07-04 08:57:17
# API-Download für Covid19-Inzidenzen in LK Hildburghausen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,,,,,25.19,,,,,,,,,
2020-KW13,,,,,,,26.93,,,,41.89,34.46,,,,,,
2020-KW14,,,,,,,26.93,,25.19,,,,,,29.9,,19.6,
2020-KW15,,,,,46.19,,,,,26.42,20.95,17.23,,,,,,
2020-KW16,,,,,,,,23.66,,,,,,39.49,,,,
2020-KW17,,,,,,,,47.33,,,,,,,,,,
2020-KW18,,,,,,,,,,,20.95,,,,29.9,,,
2020-KW19,,,,,46.19,,,23.66,,26.42,20.95,,,19.75,29.9,,39.2,
2020-KW20,,,,,,,,,,,,,,,,,19.6,
2020-KW21,,,,,,48.8,26.93,23.66,,52.84,,17.23,,19.75,,72.1,19.6,
2020-KW22,40.21,,38.34,,,,,,,26.42,,,,,,,,
2020-KW23,,,,40.73,46.19,48.8,,23.66,25.19,52.84,,51.7,,,29.9,,,
2020-KW24,,,,,,,,23.66,,26.42,,17.23,35.73,,29.9,,19.6,
2020-KW25,,,38.34,,,,,,,,20.95,,17.86,,,,58.8,
2020-KW26,,,,,,,,,,,,,,,,,58.8,
2020-KW27,,,,,,,,,,26.42,,17.23,,,,,39.2,
2020-KW28,,,,,,,,,25.19,,,,,39.49,,36.05,19.6,
2020-KW29,,,,,,,,,,,,,17.86,,,,,
2020-KW30,,,,,,,,,,,,,,,,,19.6,
2020-KW32,,,,,,,,,,,,,,,,,39.2,
2020-KW33,,,,,,48.8,26.93,,25.19,,,,,,,,,
2020-KW34,,,,,,,,,25.19,,,,,,,,,
2020-KW36,,,,,,,,,,26.42,,,,,,,,
2020-KW37,,,38.34,,,48.8,,,,,,,,,,,,
2020-KW38,,,,,,48.8,,,,,,,,,,,,
2020-KW40,,,,,,,26.93,,25.19,,,,,,,,,
2020-KW41,,,,,46.19,,,,,,,,,,,36.05,,
2020-KW42,,,,,,48.8,,23.66,,,,17.23,,,,,,
2020-KW43,,36.54,76.69,40.73,184.76,146.41,296.18,165.64,50.38,26.42,20.95,34.46,,19.75,29.9,,19.6,
2020-KW44,,36.54,76.69,81.47,184.76,,134.63,141.98,100.76,211.36,188.52,86.16,125.04,118.48,,36.05,156.8,
2020-KW45,120.63,109.61,191.72,203.67,323.33,292.83,457.73,141.98,277.08,158.52,230.41,241.25,160.77,98.74,89.69,108.15,411.6,
2020-KW46,40.21,146.15,153.37,448.07,415.7,195.22,457.73,283.96,100.76,343.46,377.04,361.88,214.36,217.22,209.27,180.25,176.4,
2020-KW47,281.46,292.29,383.44,529.53,323.33,341.63,296.18,260.29,377.83,343.46,439.88,499.74,446.59,296.21,358.74,432.59,627.21,
2020-KW48,120.63,621.12,613.5,773.93,369.52,488.04,700.05,662.57,478.59,607.66,565.56,620.37,643.09,434.44,388.64,468.64,882.01,
2020-KW49,361.88,365.36,383.44,651.73,138.57,439.24,538.5,567.91,629.72,237.78,356.1,603.14,410.86,236.97,239.16,468.64,666.41,
2020-KW50,120.63,73.07,153.37,570.26,369.52,732.06,242.33,662.57,403.02,634.08,460.83,430.81,321.54,256.71,478.33,396.54,784.01,
2020-KW51,160.84,109.61,76.69,203.67,277.14,390.43,511.58,307.62,528.97,634.08,691.24,379.11,303.68,276.46,358.74,504.69,352.8,
2020-KW52,160.84,146.15,153.37,162.93,323.33,244.02,511.58,449.6,403.02,369.88,356.1,258.49,178.64,157.98,209.27,288.39,392.0,
2020-KW53,120.63,,76.69,162.93,323.33,244.02,511.58,354.95,403.02,607.66,565.56,654.83,446.59,414.69,298.95,468.64,470.4,
2021-KW01,40.21,219.22,153.37,325.87,461.89,488.04,780.83,686.23,654.91,554.82,607.46,568.67,482.32,335.7,269.06,324.44,764.41,
2021-KW02,241.25,146.15,153.37,814.66,369.52,683.26,673.13,520.59,302.27,264.2,481.78,654.83,357.27,256.71,269.06,216.29,842.81,
2021-KW03,522.72,146.15,268.4,162.93,323.33,292.83,430.8,378.61,277.08,369.88,460.83,292.95,446.59,256.71,209.27,360.49,705.61,
2021-KW04,40.21,73.07,115.03,488.8,184.76,48.8,215.4,236.63,453.4,237.78,251.36,258.49,250.09,177.73,149.48,288.39,607.6,
2021-KW05,80.42,73.07,38.34,285.13,369.52,195.22,161.55,189.3,176.32,158.52,397.99,275.72,178.64,177.73,89.69,288.39,431.2,
2021-KW06,,,115.03,81.47,46.19,341.63,296.18,165.64,151.13,264.2,146.63,189.56,142.91,98.74,59.79,36.05,470.4,
2021-KW07,,36.54,38.34,40.73,230.95,244.02,134.63,212.97,176.32,158.52,230.41,189.56,107.18,138.23,179.37,108.15,607.6,
2021-KW08,80.42,146.15,191.72,122.2,138.57,292.83,161.55,283.96,75.57,158.52,230.41,224.02,196.5,236.97,269.06,396.54,431.2,
2021-KW09,120.63,36.54,153.37,285.13,277.14,146.41,215.4,165.64,201.51,237.78,418.94,189.56,303.68,157.98,149.48,216.29,431.2,
2021-KW10,40.21,,,325.87,230.95,97.61,188.48,212.97,100.76,105.68,251.36,103.39,214.36,98.74,149.48,108.15,98.0,
2021-KW11,40.21,36.54,38.34,162.93,230.95,97.61,188.48,189.3,125.94,158.52,167.57,68.93,160.77,197.47,209.27,144.2,39.2,
2021-KW12,241.25,146.15,115.03,122.2,138.57,146.41,323.1,118.32,226.7,52.84,83.79,103.39,160.77,59.24,239.16,180.25,78.4,
2021-KW13,201.05,36.54,191.72,,,48.8,161.55,212.97,226.7,237.78,104.73,224.02,232.23,197.47,59.79,144.2,117.6,
2021-KW14,80.42,146.15,153.37,122.2,92.38,195.22,107.7,165.64,201.51,237.78,167.57,86.16,89.32,118.48,29.9,72.1,78.4,
2021-KW15,120.63,73.07,268.4,285.13,138.57,97.61,161.55,165.64,151.13,184.94,167.57,120.63,196.5,118.48,59.79,144.2,98.0,
2021-KW16,80.42,109.61,191.72,162.93,,195.22,215.4,307.62,176.32,237.78,314.2,120.63,125.04,138.23,149.48,108.15,39.2,
2021-KW17,241.25,182.68,268.4,203.67,230.95,341.63,296.18,283.96,352.64,554.82,377.04,172.32,196.5,197.47,179.37,180.25,215.6,
2021-KW18,120.63,182.68,536.81,407.33,184.76,536.85,350.03,354.95,730.48,396.3,377.04,361.88,339.41,276.46,89.69,180.25,333.2,
2021-KW19,40.21,36.54,230.06,325.87,138.57,97.61,376.95,283.96,251.89,237.78,293.26,275.72,160.77,197.47,149.48,72.1,58.8,
2021-KW20,120.63,365.36,191.72,122.2,369.52,244.02,215.4,189.3,352.64,343.46,125.68,206.79,250.09,118.48,149.48,72.1,39.2,
2021-KW21,80.42,73.07,153.37,244.4,230.95,244.02,107.7,70.99,100.76,79.26,230.41,172.32,160.77,98.74,119.58,72.1,19.6,
2021-KW22,,73.07,76.69,244.4,46.19,146.41,53.85,118.32,50.38,158.52,62.84,120.63,35.73,78.99,59.79,72.1,78.4,
2021-KW23,,,,81.47,,48.8,80.78,94.65,50.38,52.84,83.79,17.23,,19.75,29.9,36.05,19.6,
2021-KW24,40.21,,,,46.19,,,,50.38,,,17.23,,39.49,,,19.6,
2021-KW25,,,,,,,80.78,23.66,25.19,,,34.46,17.86,,59.79,,,
2021-KW26,,,38.34,40.73,,,53.85,47.33,,,,17.23,,,,36.05,,
2021-KW27,,,,,,,53.85,,25.19,26.42,,,,,,,19.6,
2021-KW28,,73.07,191.72,,46.19,,26.93,,151.13,,20.95,17.23,,19.75,,,,
2021-KW29,,73.07,115.03,122.2,,,53.85,,,,,,17.86,19.75,,,,
2021-KW30,,,,,,,,,25.19,,20.95,,,,,36.05,,
2021-KW31,,,,,138.57,,53.85,,25.19,26.42,,17.23,,,59.79,36.05,,
2021-KW32,,,,,46.19,,26.93,23.66,,,,,,,29.9,,,
2021-KW33,,,,81.47,,,,,,,,,,,,,,
2021-KW34,120.63,36.54,38.34,81.47,92.38,146.41,53.85,23.66,75.57,26.42,20.95,17.23,,39.49,,,,
2021-KW35,80.42,,38.34,203.67,138.57,48.8,188.48,47.33,50.38,,41.89,51.7,53.59,,29.9,36.05,39.2,
2021-KW36,120.63,36.54,76.69,162.93,46.19,146.41,134.63,94.65,125.94,132.1,41.89,34.46,142.91,39.49,,,,
2021-KW37,40.21,146.15,76.69,203.67,46.19,292.83,134.63,118.32,50.38,132.1,20.95,86.16,35.73,19.75,119.58,36.05,39.2,
2021-KW38,,36.54,,203.67,92.38,195.22,107.7,70.99,75.57,79.26,125.68,120.63,53.59,19.75,,,39.2,
2021-KW39,,,115.03,122.2,46.19,195.22,161.55,118.32,50.38,158.52,83.79,172.32,17.86,,89.69,72.1,19.6,
2021-KW40,40.21,36.54,728.53,,,146.41,107.7,47.33,151.13,105.68,62.84,34.46,53.59,39.49,29.9,36.05,58.8,
2021-KW41,,146.15,920.25,285.13,46.19,146.41,80.78,165.64,251.89,132.1,83.79,51.7,71.45,59.24,89.69,,98.0,
2021-KW42,,146.15,153.37,366.6,138.57,97.61,188.48,165.64,277.08,184.94,167.57,120.63,89.32,138.23,89.69,36.05,19.6,
2021-KW43,40.21,474.97,1073.62,814.66,277.14,341.63,323.1,331.28,503.78,554.82,230.41,103.39,125.04,217.22,239.16,108.15,176.4,
2021-KW44,160.84,365.36,1073.62,936.86,739.03,488.04,619.28,686.23,604.53,607.66,565.56,482.51,410.86,315.96,239.16,180.25,254.8,
2021-KW45,402.09,548.05,1111.96,1547.86,969.98,780.87,1373.18,1443.45,982.37,1294.58,837.87,792.69,875.31,493.68,597.91,324.44,744.81,
2021-KW46,201.05,840.34,1533.74,1099.8,1478.06,1024.89,1507.81,1372.46,1536.52,792.6,1068.29,827.16,803.86,552.92,657.7,684.93,666.41,
2021-KW47,482.51,2082.57,2300.61,1344.2,1755.2,1659.35,1830.91,2011.36,2015.11,1664.46,1361.54,1257.97,1321.9,691.15,747.38,504.69,980.01,
2021-KW48,683.55,2740.23,3834.36,3095.72,2448.04,1903.37,2719.44,2177.0,2896.73,2589.17,1717.64,1809.41,1482.67,809.64,956.65,757.03,1078.01,
2021-KW49,1005.23,2959.44,4371.17,2443.99,1570.44,2196.19,2207.86,2460.96,2544.08,1902.25,1801.42,1809.41,1143.27,967.61,986.55,829.13,823.21,
2021-KW50,844.39,2082.57,2492.33,1873.73,1385.68,1561.74,1453.96,2318.98,1989.92,1664.46,1235.86,1033.95,1089.67,809.64,747.38,540.74,607.6,
2021-KW51,241.25,1059.55,996.93,692.46,739.03,878.48,673.13,804.54,806.05,634.08,377.04,430.81,393.0,217.22,179.37,180.25,333.2,
2021-KW52,402.09,621.12,575.15,529.53,739.03,634.46,942.38,1230.48,755.67,343.46,418.94,706.53,285.82,355.45,119.58,216.29,372.4,
2022-KW01,201.05,474.97,575.15,773.93,692.84,390.43,780.83,1277.8,528.97,422.72,502.72,585.9,410.86,454.19,298.95,252.34,372.4,
2022-KW02,80.42,474.97,306.75,244.4,461.89,195.22,323.1,449.6,125.94,237.78,188.52,241.25,125.04,98.74,59.79,72.1,137.2,
2022-KW03,241.25,146.15,421.78,488.8,508.08,634.46,403.88,449.6,428.21,184.94,272.31,258.49,196.5,157.98,,36.05,98.0,
2022-KW04,482.51,657.65,421.78,651.73,230.95,780.87,592.35,757.22,654.91,343.46,439.88,224.02,303.68,177.73,119.58,36.05,117.6,
2022-KW05,482.51,1826.82,1572.09,1099.8,600.46,732.06,1050.08,1325.13,1309.82,1056.8,523.67,637.6,321.54,315.96,119.58,144.2,78.4,
2022-KW06,1206.27,2630.62,2492.33,3014.26,2771.36,2049.78,2261.71,2177.0,2317.38,1400.26,1508.17,809.93,821.72,355.45,269.06,216.29,196.0,
2022-KW07,1367.11,1972.96,2108.9,2362.53,2263.28,2049.78,2046.31,2153.34,1939.55,1558.78,1319.65,999.48,714.54,434.44,239.16,180.25,372.4,
2022-KW08,723.76,1023.02,1648.77,2647.66,1893.76,2098.58,2315.56,1964.03,2065.49,2007.93,2220.36,1516.46,1107.54,335.7,478.33,504.69,470.4,
2022-KW09,1407.32,2447.94,3067.48,2525.46,2078.52,2342.61,2127.09,2366.3,2090.68,1505.94,1277.75,1206.27,1304.04,394.94,597.91,216.29,568.4,
2022-KW10,884.6,1790.28,2799.08,1995.93,2540.42,1512.93,1992.46,2508.28,2317.38,1928.67,1089.23,1223.51,946.77,454.19,747.38,468.64,705.61,
2022-KW11,1045.44,2594.08,3412.58,3951.12,4341.8,2245.0,2127.09,3265.5,3929.47,2853.37,2492.67,1912.8,1554.13,1026.86,866.97,829.13,823.21,
2022-KW12,844.39,1826.82,3796.01,3177.19,2632.79,3123.47,2154.01,2697.59,2644.84,2351.39,1969.0,1912.8,1625.58,1026.86,657.7,576.78,588.0,
2022-KW13,844.39,1497.99,2607.36,3462.32,2078.52,1903.37,2342.49,2177.0,2594.46,1717.31,2157.52,1671.55,1393.35,612.16,807.17,432.59,509.6,
2022-KW14,160.84,584.58,996.93,1425.66,877.6,1220.11,807.75,1041.17,1108.31,607.66,816.93,430.81,678.81,138.23,119.58,108.15,450.8,
2022-KW15,522.72,1059.55,958.59,1792.26,1062.36,829.67,780.83,1088.5,1108.31,924.7,963.55,809.93,607.36,276.46,388.64,288.39,294.0,
2022-KW16,321.67,73.07,306.75,692.46,923.79,732.06,646.2,1017.51,931.99,554.82,984.5,689.3,607.36,335.7,538.12,288.39,490.0,
2022-KW17,,219.22,76.69,366.6,415.7,829.67,646.2,828.21,528.97,475.56,586.51,585.9,571.63,138.23,388.64,252.34,372.4,
2022-KW18,201.05,182.68,306.75,122.2,415.7,390.43,403.88,378.61,377.83,158.52,397.99,430.81,321.54,138.23,149.48,108.15,78.4,
2022-KW19,120.63,109.61,345.09,122.2,554.27,536.85,215.4,236.63,428.21,211.36,272.31,292.95,267.95,197.47,239.16,144.2,235.2,
2022-KW20,40.21,73.07,153.37,122.2,92.38,48.8,134.63,47.33,201.51,158.52,167.57,172.32,35.73,59.24,59.79,36.05,117.6,
2022-KW21,,36.54,153.37,203.67,92.38,146.41,26.93,94.65,25.19,26.42,62.84,51.7,35.73,78.99,89.69,72.1,176.4,
2022-KW22,80.42,,76.69,244.4,184.76,97.61,215.4,94.65,25.19,105.68,188.52,103.39,125.04,78.99,29.9,36.05,352.8,
2022-KW23,,,,40.73,92.38,195.22,80.78,118.32,151.13,158.52,167.57,189.56,142.91,78.99,239.16,108.15,235.2,
2022-KW24,80.42,,115.03,244.4,369.52,195.22,242.33,354.95,327.46,290.62,335.15,206.79,321.54,78.99,89.69,36.05,58.8,
2022-KW25,40.21,36.54,38.34,81.47,739.03,292.83,269.25,283.96,125.94,290.62,544.62,344.65,267.95,217.22,119.58,36.05,117.6,
2022-KW26,40.21,36.54,153.37,162.93,508.08,341.63,296.18,260.29,327.46,449.14,377.04,224.02,267.95,118.48,269.06,108.15,137.2,
