# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-02-27 07:34:36
# API-Download für Covid19-Fälle in LK Starnberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,,,,,,,,1,,,,,,,,,
2020-KW07,1,,,,,,,,,,,,,,,,,
2020-KW09,,,,,,,,,,1,,,,,,,,
2020-KW10,,,1,3,,,,,2,2,,,,,,,,
2020-KW11,,,1,2,2,2,2,4,1,7,6,3,1,2,3,,,
2020-KW12,2,1,2,2,4,5,3,6,6,11,12,11,6,2,6,3,2,
2020-KW13,,3,6,14,15,10,6,5,9,16,23,11,14,5,4,1,2,
2020-KW14,1,2,2,6,12,11,8,9,12,9,16,11,8,2,1,5,4,
2020-KW15,,,,1,3,1,8,5,3,3,1,8,5,1,3,4,14,
2020-KW16,,1,2,1,2,2,3,2,1,3,3,5,1,1,1,3,2,
2020-KW17,,,,1,1,1,,1,,3,1,1,2,1,,1,2,
2020-KW18,,,,1,,1,1,,,,,1,,,,1,1,
2020-KW19,,,,,,,,,1,,,,,,,3,,
2020-KW20,,,,,3,,,,,,,,,1,,,1,
2020-KW21,1,,,,,2,,,1,,,,,,,,1,
2020-KW22,,1,,,4,2,2,4,1,,,,,,,,1,
2020-KW23,,,,,1,1,,,,,,2,,,,,1,
2020-KW25,,,,,,,,,,,,,,,,,1,
2020-KW26,,,,,6,4,3,2,1,,,,,,,,,
2020-KW27,,2,1,,8,6,4,,2,,2,1,2,1,,,,
2020-KW28,,,1,,3,,,2,1,,,,1,,,,,
2020-KW29,,,,,1,,,,1,,,,,,,,1,
2020-KW30,1,2,2,,,1,1,,,,,,,,,,,
2020-KW31,,1,,,1,1,1,2,1,,,,,,,,,
2020-KW32,,,,2,,,1,,,,,,,,,,1,
2020-KW33,,,1,2,2,1,1,,2,1,,,1,,,,,
2020-KW34,,,2,12,2,4,1,1,2,3,,,,1,,1,,
2020-KW35,,1,1,7,6,2,,1,1,1,2,,1,2,,,,
2020-KW36,3,4,2,,2,1,2,,2,,1,5,,,,,,
2020-KW37,2,,,3,8,5,4,2,1,,3,3,1,1,,1,,
2020-KW38,1,,1,5,7,4,1,3,2,3,1,1,,2,,,,
