# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-06 05:46:10
# API-Download für Covid19-Fälle in SK Hamm, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,1,1,,1,,1,,,
2020-KW12,1,,,2,8,2,4,4,2,10,16,20,4,6,,1,2,
2020-KW13,,,,1,3,3,2,3,4,6,15,3,7,4,3,6,6,
2020-KW14,,,1,6,9,9,3,1,11,8,9,6,10,3,6,1,23,
2020-KW15,,,,3,3,3,2,1,3,4,4,5,5,3,1,8,10,
2020-KW16,1,,,3,5,5,9,3,3,3,4,7,1,1,8,9,16,
2020-KW17,,,1,2,2,2,,1,2,,1,4,2,2,4,4,12,
2020-KW18,,,,3,,1,1,,2,2,,1,3,2,1,1,3,
2020-KW19,,,,1,2,1,,,2,2,1,,,,,,2,
2020-KW20,1,2,,,,1,1,,,,,,,,,1,4,
2020-KW21,,,,,1,,,,,,,,,,,,,
2020-KW23,,,,,,,,,,,2,,,,,,,
2020-KW24,,1,1,,,1,2,,1,,1,1,,,,,,
2020-KW25,2,1,2,1,1,2,3,5,8,9,4,2,,,1,,,
2020-KW26,1,1,5,1,2,1,,1,1,3,1,,,,,,,
2020-KW27,,1,2,3,5,1,,,1,5,1,1,,,,1,1,
2020-KW28,,1,1,,3,,1,1,,1,1,,,,,,,
2020-KW29,1,,,,,1,1,,1,1,,1,,,,,1,
2020-KW30,2,,1,,1,,1,,2,,,,,,,,,
2020-KW31,,1,1,,2,2,,1,1,2,,,,,,,,
2020-KW32,,1,2,2,6,3,3,,2,2,,,1,1,,,1,
2020-KW33,,1,2,2,1,,2,1,3,4,1,,,,,,6,
2020-KW34,5,3,5,4,7,4,7,4,2,1,1,,2,,1,,3,
2020-KW35,,,,,2,2,,1,1,1,,,,,,,1,
2020-KW36,1,2,1,3,1,,3,1,,2,1,,,2,,,1,
2020-KW37,1,,,,3,,1,,2,3,2,,2,,,,,
2020-KW38,,1,5,4,9,6,6,3,6,13,15,14,2,,1,,,
2020-KW39,10,8,12,31,32,24,7,8,10,16,15,15,3,5,1,4,1,
2020-KW40,4,2,12,18,18,19,17,9,10,15,15,13,1,4,6,,1,
2020-KW41,2,5,14,7,10,7,2,7,8,12,9,7,5,1,1,1,4,
2020-KW42,5,8,17,8,17,22,15,7,12,15,16,7,4,3,3,2,3,
2020-KW43,4,4,13,20,18,11,11,8,17,11,12,13,5,3,4,1,6,
2020-KW44,4,12,10,19,25,19,13,13,23,19,20,14,8,9,4,,6,
2020-KW45,14,17,18,45,36,36,32,23,44,32,32,21,18,19,9,8,17,
2020-KW46,16,20,31,36,42,24,24,26,28,34,24,20,16,5,11,8,16,
2020-KW47,16,22,30,33,36,43,38,29,38,49,34,33,22,8,12,8,23,
2020-KW48,11,19,28,38,37,21,24,28,19,36,22,19,14,10,13,5,26,
2020-KW49,10,13,24,30,30,27,24,19,14,17,22,11,16,6,10,8,13,
2020-KW50,9,23,22,28,34,36,35,29,29,30,25,28,19,12,15,9,41,
2020-KW51,8,19,13,15,35,29,27,25,32,35,32,18,19,12,14,16,33,1
2020-KW52,11,16,23,31,25,21,22,13,20,27,22,18,15,9,9,11,23,
2020-KW53,8,11,5,14,30,24,11,16,19,17,14,24,14,11,9,8,47,
2021-KW01,15,9,8,23,34,30,18,24,33,17,15,25,15,9,9,6,21,
2021-KW02,9,12,10,17,30,22,19,23,14,25,22,14,10,5,6,11,21,
2021-KW03,9,10,12,13,21,13,13,22,21,12,12,11,12,10,6,8,15,
2021-KW04,10,6,8,7,10,20,16,17,14,10,18,6,10,6,3,8,18,1
2021-KW05,15,8,10,16,12,12,9,16,16,12,10,12,4,4,6,6,8,
2021-KW06,6,7,5,6,7,4,6,15,12,6,6,10,6,,1,,5,2
2021-KW07,9,7,7,8,11,20,10,6,11,15,14,10,5,3,3,,3,
2021-KW08,11,13,4,17,15,15,16,15,12,9,8,14,12,2,2,2,3,
2021-KW09,17,12,13,17,23,14,15,15,23,12,12,10,6,5,1,2,4,
2021-KW10,11,9,12,14,18,16,9,17,10,16,15,8,5,9,3,4,7,
2021-KW11,8,8,10,6,18,14,18,12,16,15,14,9,7,5,5,9,11,
2021-KW12,16,17,15,14,12,11,20,9,15,14,15,9,4,6,4,3,7,
2021-KW13,4,10,3,13,8,15,19,18,9,12,10,10,10,3,6,2,8,
2021-KW14,6,13,18,32,16,10,16,26,35,19,15,10,12,6,9,9,6,
2021-KW15,12,22,13,48,46,44,38,25,29,33,36,30,18,10,5,11,17,
2021-KW16,20,39,32,39,44,38,36,37,40,39,39,33,18,13,11,3,16,
2021-KW17,29,38,31,48,61,40,47,44,42,44,43,26,29,16,10,5,8,
2021-KW18,17,23,22,29,33,34,33,14,24,24,22,28,16,15,6,7,14,
2021-KW19,11,14,14,30,29,14,9,20,17,16,11,16,13,5,4,4,4,
2021-KW20,4,8,9,11,13,13,8,9,10,16,8,1,2,3,2,1,,
2021-KW21,9,11,8,8,4,2,11,7,8,4,3,3,2,2,2,,1,
2021-KW22,3,8,3,5,7,7,3,6,3,2,1,3,2,,,,,
2021-KW23,1,4,4,5,1,3,2,1,1,2,,,2,,,,,
2021-KW24,2,,,,1,1,1,1,1,,1,,,,,,,
2021-KW25,1,1,1,2,1,1,1,2,4,1,2,,4,,,,,
2021-KW26,1,1,,1,1,2,,,,,,1,,,,,,
