# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-21 05:56:48
# API-Download für Covid19-Inzidenzen in SK Berlin Steglitz-Zehlendorf, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,7.3,7.42,21.79,12.29,17.64,11.17,16.92,11.99,16.44,12.51,12.78,10.79,,6.08,10.24,,
2020-KW12,,7.3,7.42,14.53,18.44,23.52,22.35,28.2,23.98,54.8,45.86,34.09,5.39,16.64,30.42,10.24,4.15,
2020-KW13,,,,21.79,49.17,58.79,27.93,28.2,41.97,60.28,62.54,63.91,37.75,33.28,24.33,25.6,,
2020-KW14,,21.89,51.97,29.05,92.19,23.52,5.59,11.28,35.98,43.84,70.88,63.91,43.14,44.38,42.58,25.6,20.76,
2020-KW15,,7.3,7.42,29.05,18.44,23.52,22.35,22.56,29.98,60.28,33.36,38.35,26.96,11.09,18.25,46.09,58.12,
2020-KW16,,,,7.26,18.44,23.52,22.35,11.28,11.99,,16.68,17.04,5.39,11.09,6.08,15.36,33.21,
2020-KW17,,14.59,,,12.29,11.76,5.59,5.64,6.0,5.48,4.17,4.26,5.39,,,5.12,12.45,
2020-KW18,7.51,,,7.26,12.29,11.76,16.76,11.28,6.0,10.96,12.51,,21.57,,6.08,10.24,24.91,
2020-KW19,15.01,,7.42,,12.29,11.76,22.35,5.64,11.99,5.48,4.17,4.26,5.39,,,,12.45,
2020-KW20,7.51,,,,,5.88,5.59,5.64,11.99,5.48,4.17,8.52,,,,,,
2020-KW21,,,,,,,5.59,,11.99,,,4.26,10.79,,6.08,5.12,8.3,
2020-KW22,,,,7.26,6.15,,5.59,16.92,,,,4.26,21.57,,,,,
2020-KW23,7.51,14.59,,,12.29,,5.59,,,,,4.26,5.39,,,,4.15,
2020-KW24,15.01,,,,6.15,5.88,,5.64,17.99,5.48,,,,,,,,
2020-KW25,,14.59,,,,5.88,16.76,,11.99,,,,,,,,,
2020-KW26,15.01,,,,6.15,11.76,5.59,5.64,6.0,16.44,,4.26,5.39,,,,,
2020-KW27,,7.3,,,6.15,5.88,,,6.0,,,,5.39,,,,,
