# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-23 05:41:50
# API-Download für Covid19-Fälle in SK Ansbach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,1,,,,,,,,,,,,
2020-KW12,,,,1,,1,,,1,,,,,,,3,1,
2020-KW13,,,,1,1,2,4,4,1,1,2,,1,,,2,1,
2020-KW14,,1,,,,3,3,3,5,2,3,5,4,1,2,2,1,
2020-KW15,1,,,,,2,1,,,,2,4,5,3,1,1,4,
2020-KW16,,,,,1,1,,1,1,1,5,4,,,,1,2,
2020-KW17,,,,1,,,,1,3,2,6,2,,,,,7,
2020-KW18,,,,,2,,,,1,,1,,,,,1,2,
2020-KW19,,,,,1,,1,,,,,,,,,,,
2020-KW20,,,,,,,,1,1,,,,,,,,1,
2020-KW21,,,,,,,,,,,,,,1,,,,
2020-KW23,,,,,1,2,,,2,,,,,,,,,
2020-KW25,,,,,,1,,,2,1,1,1,,,,,,
2020-KW27,,,,,,,,,,2,,,,,,,,
2020-KW28,,,,,,,,1,,,,,,,,,,
2020-KW33,,,,,,,,1,2,,,,,,,,,
2020-KW34,,,1,,1,,1,1,,1,,,,,,,1,
2020-KW35,,,,,1,1,,,,1,,,,,,,,
2020-KW36,,1,,1,7,1,,1,,,,1,,1,,,,
2020-KW37,,,,,2,,,,1,2,,1,,,,1,,
2020-KW38,,,,1,2,1,,,,1,,1,,,,1,,
2020-KW39,,,,1,1,,,1,1,1,1,,,,,,,
2020-KW40,,,,3,,2,,,2,,,,,,,,,
2020-KW41,,,,1,4,,,,,,1,,1,,,,,
2020-KW42,1,,,2,2,2,1,,,1,1,,,,,,,
2020-KW43,,1,1,1,4,2,2,1,2,,2,2,2,1,,,,
2020-KW44,2,1,5,3,12,4,8,8,3,2,8,2,5,2,3,1,1,
2020-KW45,,3,5,9,7,4,8,4,3,6,6,4,4,6,4,1,3,
2020-KW46,,,2,5,2,4,3,4,3,5,3,,6,3,3,1,4,
2020-KW47,,2,4,2,6,11,,3,3,3,5,,5,2,3,4,2,
2020-KW48,,1,2,2,2,4,6,4,1,5,1,4,2,3,3,3,1,
2020-KW49,1,1,5,9,3,7,5,3,2,3,2,2,2,,1,1,,
2020-KW50,1,2,5,,5,3,4,2,1,6,9,7,1,,,,,
2020-KW51,,,2,5,2,6,3,4,4,4,6,5,3,,1,1,4,
2020-KW52,1,3,5,,2,1,3,2,6,2,3,5,1,2,1,,3,
2020-KW53,,,1,3,5,2,1,1,3,3,3,1,4,1,2,1,2,
2021-KW01,,1,2,4,18,19,12,7,3,7,3,5,3,5,4,5,16,
2021-KW02,1,2,,3,9,16,6,6,8,7,11,9,4,5,3,5,39,
2021-KW03,2,2,,3,8,5,3,3,4,5,8,5,5,3,2,1,14,
2021-KW04,,,,1,10,13,7,12,3,7,10,9,5,6,2,3,8,
2021-KW05,1,,,2,6,5,3,,2,3,3,4,3,1,1,4,6,
2021-KW06,2,,,1,3,1,3,2,6,3,3,3,,3,,1,2,
2021-KW07,,,,1,1,1,1,1,1,,1,3,2,,,,1,
2021-KW08,,,,2,1,1,7,2,1,1,1,,1,1,,,4,
2021-KW09,6,7,,2,1,5,5,,5,2,3,1,,1,1,,,
2021-KW10,4,1,2,6,2,2,8,3,4,2,1,1,2,,1,,1,
2021-KW11,,1,1,,1,2,6,2,1,,1,2,2,1,,1,3,
2021-KW12,2,,1,,7,4,2,1,1,1,2,1,1,1,1,,1,
2021-KW13,,4,,1,3,7,3,1,,7,2,4,1,1,2,,1,
2021-KW14,1,2,1,2,3,5,8,2,7,5,1,7,1,1,1,,1,
2021-KW15,,6,6,9,3,3,7,6,9,7,4,5,2,6,2,,1,
2021-KW16,6,11,4,6,6,8,5,9,4,5,6,6,5,1,,1,1,
2021-KW17,1,5,3,2,6,7,7,2,4,5,4,6,3,1,,,,
2021-KW18,2,2,4,5,4,7,5,2,6,3,2,2,3,1,1,,,
2021-KW19,3,,1,2,5,2,1,3,1,4,2,6,2,,,1,1,
2021-KW20,,,,5,2,3,,3,1,1,,1,1,,,,1,
2021-KW21,1,,3,3,2,1,3,,1,,,,1,,,,,
2021-KW22,,,,,2,2,1,,,,1,2,,,,,,
2021-KW23,1,4,2,,1,3,2,2,1,,1,1,,,,,,
2021-KW24,,,2,1,,,1,,,,1,1,,,,,,
2021-KW25,1,1,3,1,,,,,2,2,,,,,,,,
2021-KW26,,,,,2,1,,1,,,,,,,,,,
2021-KW27,,,,,1,,,,,,,,,1,,,,
2021-KW28,,,,,,1,,,,1,,,,,,,,
2021-KW29,,,,,,1,,1,,,,,,,,,,
2021-KW30,,,,,,2,,,,,,,,,,,,
2021-KW31,,,,,,1,1,,,,,,,,,,,
2021-KW32,,,1,3,4,4,1,,1,1,1,,,,,,,
2021-KW33,1,2,2,,,1,2,3,1,1,,,,,1,,1,
2021-KW34,1,1,2,1,4,3,3,6,1,4,,3,1,1,,,,
2021-KW35,3,4,6,2,3,4,4,8,4,3,4,3,,,,,,
2021-KW36,3,3,2,4,4,2,6,5,6,4,2,1,2,,1,,,
2021-KW37,,2,4,2,1,2,3,4,1,2,2,1,1,,,,1,
2021-KW38,,1,1,3,,1,,4,2,2,,1,,,,,,
