# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-23 07:46:09
# API-Download für Covid19-Fälle in SK Nürnberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,1,1,2,,1,,,,,,,
2020-KW11,,,2,2,1,2,1,1,2,2,1,2,2,,,,1,
2020-KW12,,2,,2,7,3,13,2,3,4,15,4,6,1,1,3,,
2020-KW13,2,,1,3,14,8,20,15,13,12,13,12,13,8,,9,4,
2020-KW14,1,3,5,8,18,23,22,14,24,11,25,16,14,10,12,10,19,
2020-KW15,2,5,3,10,11,20,19,22,20,13,20,19,15,7,8,11,29,
2020-KW16,2,1,3,4,12,12,11,3,8,7,14,10,16,4,4,3,19,
2020-KW17,1,3,3,2,7,7,8,9,3,10,4,5,3,3,2,1,9,
2020-KW18,2,,1,2,,1,,6,2,1,3,3,,1,,4,31,
2020-KW19,2,,2,1,1,5,5,4,6,1,4,4,,3,2,3,12,
2020-KW20,3,,,2,2,3,1,1,3,2,2,1,1,,,1,,
2020-KW21,1,1,,1,3,2,3,,1,1,,,,1,,,1,
2020-KW22,,1,1,,1,,,,,2,,1,,1,,,,
2020-KW23,,1,1,1,1,1,1,1,1,1,1,,1,,,,1,
2020-KW24,1,1,,,,3,3,2,1,,1,1,,,,,,
2020-KW25,1,3,1,1,1,1,3,,2,,2,4,2,,,1,,
2020-KW26,,1,1,1,,2,2,,1,,,,1,1,,,,
2020-KW27,1,,,,2,2,1,,,,,,,,,,,
2020-KW28,1,,2,2,2,2,3,3,1,,1,,,,,,,
2020-KW29,1,,,3,4,3,,1,1,1,1,2,2,1,,,1,
2020-KW30,,2,,1,4,,1,3,4,1,2,,,,,,2,
2020-KW31,1,1,3,1,1,3,5,1,1,,,2,2,1,,2,7,
2020-KW32,,1,,,3,1,3,3,1,,2,,,,,,,
2020-KW33,,,,1,7,4,3,,2,4,4,3,2,,,,3,
2020-KW34,3,5,10,9,19,23,9,9,7,12,5,4,2,,2,1,1,
2020-KW35,6,6,7,10,11,16,9,9,8,7,6,2,4,3,1,,,
2020-KW36,3,5,4,14,7,12,11,4,5,7,7,4,3,1,3,,,
2020-KW37,1,12,15,34,16,25,21,20,15,14,3,2,2,1,2,2,3,
2020-KW38,4,3,7,3,17,23,18,14,11,11,9,8,1,1,2,,2,
2020-KW39,3,2,6,10,20,15,21,14,7,8,10,7,3,4,5,,,
2020-KW40,2,3,3,6,7,15,8,12,7,4,4,5,4,4,1,,1,
2020-KW41,2,2,4,9,18,25,19,14,9,17,14,14,7,4,9,1,20,
2020-KW42,8,5,7,19,19,25,19,7,17,23,26,11,10,8,4,7,17,
2020-KW43,11,16,13,27,39,41,51,32,31,36,27,28,21,16,5,10,10,
2020-KW44,14,20,23,47,62,73,66,73,54,76,68,52,50,27,12,12,56,
2020-KW45,16,33,27,62,86,98,91,69,60,82,70,68,43,40,24,16,39,
2020-KW46,23,37,53,83,140,145,155,94,92,121,129,126,72,30,29,21,47,
2020-KW47,23,42,48,87,117,108,100,104,96,86,116,106,84,33,38,32,100,
2020-KW48,31,70,85,114,145,138,122,107,110,120,151,104,76,52,36,25,112,
2020-KW49,40,68,73,111,168,160,153,135,123,112,127,125,87,53,51,46,178,
2020-KW50,18,49,56,89,119,133,127,124,122,125,133,127,86,36,42,47,194,
2020-KW51,37,69,96,106,168,166,156,122,113,135,152,128,105,48,55,57,240,
