# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-28 05:39:55
# API-Download für Covid19-Fälle in LK Straubing-Bogen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,1,,1,,,,,,,,,1,,,,
2020-KW12,,2,,,2,1,,6,2,1,11,7,1,2,2,1,2,
2020-KW13,1,,2,1,1,3,2,1,2,5,4,8,3,1,2,,4,
2020-KW14,1,2,3,7,13,5,4,7,,13,28,16,6,4,9,10,10,
2020-KW15,,,1,5,11,5,2,2,5,6,12,8,5,2,6,3,2,
2020-KW16,,,,2,5,5,4,2,5,4,3,8,7,3,2,3,5,
2020-KW17,,,,2,3,2,1,2,3,6,7,4,1,2,5,3,30,
2020-KW18,1,2,,1,2,3,3,2,,1,3,1,1,1,,1,5,
2020-KW19,,,,,1,2,,1,,,,1,2,5,,1,2,
2020-KW20,,,,1,3,9,9,2,8,8,5,5,4,,,,1,
2020-KW21,,1,,,,,2,,,,1,4,2,,,,,
2020-KW22,1,1,2,1,,,1,,,1,1,1,2,1,,,,
2020-KW23,,,,,,,,,1,1,,,,,,,1,
2020-KW25,,,,,,,,1,,,,,,,,,,
2020-KW26,,,,,,2,1,,1,,1,,,,,,,
2020-KW27,,,,,,,,,,,,,1,,,,,
2020-KW28,1,,,,1,,1,,,,1,,1,,,,,
2020-KW29,,,,,,,,,1,,,,,,,,,
2020-KW30,,,,,1,,,,,,,,1,1,,,,
2020-KW31,,,,,,,,,,2,,,,,,,,
2020-KW32,,,,,,1,,,,,,,,,,,,
2020-KW33,,,2,,1,1,,,2,,,,,,,,,
2020-KW34,,,,,2,,1,1,,,,,1,,,,,
2020-KW35,,,,,1,4,1,,,,,,1,,,,,
2020-KW36,,,,,,,,1,,2,2,,,,,,,
2020-KW37,1,2,2,1,,,1,1,2,1,,,,,,,1,
