# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-04-15 08:33:04
# API-Download für Covid19-Fälle in LK Ostalbkreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,1,1,1,,,,,,,,,
2020-KW11,,,,,2,3,2,3,9,7,4,5,2,1,1,,,
2020-KW12,,1,2,5,5,17,12,13,13,17,20,18,16,4,2,3,4,
2020-KW13,3,,,3,18,13,14,11,8,21,13,22,12,13,9,3,9,
2020-KW14,1,,1,3,8,17,15,7,10,14,10,17,14,8,12,10,7,
2020-KW15,13,6,16,17,49,66,46,37,31,16,10,18,11,3,5,11,27,
2020-KW16,15,5,6,9,25,26,22,16,13,13,8,12,6,6,4,4,13,
2020-KW17,2,1,,3,10,15,14,7,8,7,7,8,6,1,7,6,23,
2020-KW18,4,3,,,7,7,6,3,,4,5,5,1,2,3,6,4,
2020-KW19,3,2,,2,8,7,4,5,2,1,3,4,1,2,1,1,5,
2020-KW20,,,1,2,1,3,1,2,2,2,1,3,2,2,,,1,
2020-KW21,,,,,,1,1,2,,,,1,1,,2,1,2,
2020-KW22,2,2,,3,2,4,3,1,,2,1,2,1,2,,2,5,
2020-KW23,,1,,,,1,1,1,,1,,,,,,,,
2020-KW24,,,,,1,1,,2,,,1,,,,,,,
2020-KW25,1,1,1,1,1,2,1,3,1,,2,6,,,,,2,
2020-KW26,2,,2,2,,,4,3,3,3,1,1,2,,,,2,
2020-KW27,,,,,1,,,,1,,,,,,,,1,
2020-KW28,,,,1,1,,1,,,,3,,,,,,,
2020-KW29,,,,1,,,1,,,,2,3,1,,,,,
2020-KW30,1,4,3,6,2,,3,6,11,7,2,,1,,1,,2,
2020-KW31,,2,1,6,3,9,4,7,5,5,7,3,2,,2,,,
2020-KW32,4,2,3,,3,5,1,3,1,,1,3,1,,1,1,,
2020-KW33,2,1,,,3,1,1,3,1,2,,,3,1,,,,
2020-KW34,1,2,1,4,13,7,,1,,4,1,3,,,,,,
2020-KW35,1,1,,3,6,10,5,2,3,2,4,2,,,,,,
2020-KW36,,1,,5,5,6,2,3,4,3,1,3,,,,,,
2020-KW37,,,,4,4,3,2,1,1,2,5,,3,2,,,,
2020-KW38,3,3,3,5,14,17,13,6,1,3,7,6,2,1,1,,2,
2020-KW39,,1,3,,3,5,4,5,2,1,,6,1,,1,2,3,
2020-KW40,2,,3,2,2,4,1,1,3,2,4,7,1,,5,,2,
2020-KW41,,,2,3,6,12,2,2,2,9,5,4,,3,1,,2,
2020-KW42,,1,12,10,18,15,9,4,9,11,18,6,7,7,4,3,6,
2020-KW43,1,3,4,14,22,20,15,11,14,28,29,22,18,10,8,8,18,
2020-KW44,1,6,9,17,43,36,18,19,21,21,34,38,17,13,9,2,19,
2020-KW45,7,7,10,34,48,42,44,24,28,33,42,39,22,22,22,4,24,
2020-KW46,4,11,9,39,55,51,46,34,35,30,55,55,22,13,10,31,80,
2020-KW47,5,4,12,26,36,37,22,19,22,26,38,35,24,18,16,22,127,
2020-KW48,17,16,16,41,36,44,42,56,42,41,72,60,32,15,17,13,38,
2020-KW49,4,7,12,13,31,27,36,24,22,24,35,29,21,12,12,11,60,
2020-KW50,10,7,12,41,44,51,47,55,30,49,61,48,35,14,14,19,43,
2020-KW51,11,13,20,31,37,48,42,31,35,42,54,36,41,18,9,14,34,
