# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-30 08:45:18
# API-Download für Covid19-Fälle in SK Emden, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,1,1,,,,,1,
2020-KW12,,,,,,1,,,,,1,2,,,,,,
2020-KW14,,,,,,,,,,,,,2,,1,1,,
2020-KW15,,,,,,1,,,,,1,1,,,,,,
2020-KW16,,,,,,,,,,1,,,,,,,,
2020-KW17,,,,,,,,,,,,1,,,,,,
2020-KW18,,,,,,,,,,,,,,1,,,,
2020-KW19,,,,,,,,,,,,,,,,1,,
2020-KW20,,,,,,,,,,,,,,1,,,,
2020-KW28,,,,,,,,,2,,,,,,,,,
2020-KW32,,,,1,1,1,,,1,,,,,1,,,,
2020-KW33,,,,2,,2,,,1,,1,,,,,,1,
2020-KW34,,,,,,,1,1,,,,,,,,,,
2020-KW37,,,,,,1,,2,,,,,,,,,,
2020-KW38,,,,,1,,,,,,,,,,,,,
2020-KW39,,,,1,,1,,2,,,1,,,,,1,,
2020-KW40,,,,,,2,1,,,,,,,,,,,
2020-KW41,,,,1,,,,,1,,,,1,,,,,
2020-KW42,1,,1,2,2,,1,1,1,3,,,1,,,,,
2020-KW43,,,,2,4,2,4,,2,1,3,2,1,1,,,1,
2020-KW44,,,1,1,9,3,2,2,5,2,4,2,2,3,,,1,
2020-KW45,2,6,9,8,4,3,5,3,5,6,4,3,,2,,,1,
2020-KW46,2,12,6,9,3,3,6,8,1,3,4,1,1,1,,,,
2020-KW47,5,3,4,5,6,3,5,1,2,5,5,5,1,,,,1,
2020-KW48,4,1,1,,1,,2,7,2,3,2,5,,,1,,,
2020-KW49,,2,,1,,,1,1,2,,,1,1,1,,,,
2020-KW50,2,3,4,3,4,,2,2,1,3,1,,1,3,1,,2,
2020-KW51,3,,,3,1,1,3,2,1,,1,3,2,3,1,,,
