# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-04-27 08:42:36
# API-Download für Covid19-Inzidenzen in LK Esslingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,3.79,,,23.44,3.42,3.02,5.57,5.86,5.94,2.94,4.79,2.3,5.63,,4.1,,,
2020-KW11,,,20.34,11.72,17.08,39.31,30.63,20.52,26.74,26.49,35.95,18.39,19.7,14.34,8.2,9.49,10.5,
2020-KW12,3.79,8.11,24.41,27.34,85.38,96.77,72.4,70.35,74.29,91.23,115.04,80.46,87.23,71.71,53.3,66.45,26.24,
2020-KW13,15.15,4.06,4.07,23.44,75.14,39.31,55.69,49.83,56.46,55.92,57.52,82.76,98.49,78.88,24.6,94.92,86.6,
2020-KW14,,,12.2,31.25,85.38,84.67,47.34,43.97,59.43,61.8,93.47,105.74,84.42,60.95,57.4,85.43,157.46,
2020-KW15,3.79,8.11,16.27,7.81,78.55,51.41,38.99,41.04,38.63,58.86,69.5,39.08,45.02,21.51,12.3,75.94,230.94,
2020-KW16,7.58,,,3.91,23.91,27.22,13.92,14.66,32.69,26.49,26.36,25.29,22.51,10.76,24.6,42.72,55.11,
2020-KW17,,4.06,4.07,3.91,23.91,27.22,19.49,23.45,14.86,17.66,16.78,20.69,22.51,10.76,16.4,37.97,62.98,
2020-KW18,3.79,8.11,4.07,7.81,3.42,9.07,2.78,2.93,2.97,5.89,9.59,18.39,8.44,14.34,4.1,18.98,28.87,
2020-KW19,15.15,,,3.91,6.83,15.12,8.35,8.79,2.97,2.94,7.19,,2.81,3.59,4.1,,20.99,
2020-KW20,,,,,17.08,6.05,2.78,2.93,14.86,17.66,7.19,6.9,,3.59,4.1,,34.12,
2020-KW21,,,,,,6.05,2.78,2.93,2.97,8.83,,2.3,2.81,3.59,4.1,,36.74,
2020-KW22,,,,,3.42,3.02,2.78,2.93,,,2.4,4.6,,3.59,4.1,4.75,5.25,
2020-KW23,3.79,,,,,15.12,11.14,,2.97,11.77,2.4,,2.81,,,,18.37,
2020-KW24,,,,,6.83,3.02,5.57,,,,2.4,,,,,,2.62,
2020-KW25,,,4.07,3.91,3.42,,2.78,,,2.94,2.4,,,,,4.75,,
2020-KW26,,,,3.91,,,2.78,,,8.83,4.79,2.3,,,,,7.87,
2020-KW27,,,,3.91,3.42,3.02,,,,8.83,2.4,4.6,2.81,,,,5.25,
2020-KW28,,4.06,,,10.25,9.07,2.78,2.93,5.94,2.94,2.4,,,3.59,,,,
2020-KW29,,,,3.91,10.25,3.02,2.78,5.86,,8.83,2.4,2.3,5.63,,,4.75,,
2020-KW30,,,4.07,11.72,,15.12,13.92,,8.91,8.83,7.19,,2.81,,4.1,4.75,,
2020-KW31,,,4.07,,3.42,3.02,,17.59,11.89,5.89,,4.6,,,,,,
2020-KW32,,,,7.81,6.83,,,5.86,,5.89,,,2.81,,,4.75,,
2020-KW33,,,,7.81,17.08,6.05,,5.86,5.94,8.83,2.4,4.6,5.63,,8.2,4.75,,
2020-KW34,7.58,8.11,20.34,19.53,102.46,51.41,27.85,14.66,20.8,23.54,11.98,4.6,,7.17,4.1,,,
2020-KW35,,12.17,24.41,23.44,40.98,30.24,13.92,20.52,20.8,23.54,9.59,13.79,,,4.1,4.75,5.25,
2020-KW36,7.58,28.39,32.55,46.87,85.38,48.38,36.2,32.24,35.66,26.49,31.16,9.2,5.63,7.17,,4.75,,
2020-KW37,7.58,12.17,20.34,23.44,34.15,21.17,22.28,11.73,26.74,23.54,16.78,4.6,11.26,7.17,4.1,,2.62,
2020-KW38,34.09,20.28,36.61,19.53,78.55,60.48,50.12,46.9,26.74,23.54,28.76,27.59,19.7,21.51,4.1,,,
2020-KW39,15.15,20.28,16.27,35.15,61.48,36.29,61.26,23.45,17.83,26.49,14.38,32.18,30.95,7.17,4.1,4.75,5.25,
2020-KW40,30.3,20.28,40.68,58.59,85.38,90.72,86.33,52.76,59.43,41.2,23.97,27.59,30.95,7.17,12.3,,7.87,
2020-KW41,18.94,89.23,97.64,93.74,170.77,130.03,161.51,131.91,83.2,67.69,52.73,45.98,39.39,25.1,32.8,4.75,7.87,
2020-KW42,37.88,40.56,61.02,97.65,211.75,130.03,122.53,131.91,83.2,91.23,52.73,75.86,45.02,64.54,20.5,18.98,39.36,
2020-KW43,45.45,44.61,97.64,101.55,187.84,184.46,161.51,126.05,118.86,161.87,93.47,117.24,73.16,68.12,77.9,52.21,97.1,
2020-KW44,64.39,40.56,81.36,210.92,317.63,217.73,208.85,216.92,270.41,206.01,220.5,147.12,151.95,103.98,73.8,75.94,78.73,
2020-KW45,68.18,105.45,134.25,175.76,290.3,238.9,228.34,184.67,187.2,208.96,201.32,190.8,146.32,86.05,98.4,109.16,115.47,
2020-KW46,34.09,64.89,52.89,183.57,259.57,205.63,175.44,175.88,139.66,147.15,160.58,144.82,123.81,78.88,73.8,99.67,133.84,
2020-KW47,37.88,77.06,138.32,218.73,191.26,250.99,172.65,134.84,151.55,182.47,215.7,151.72,129.44,53.78,118.9,99.67,157.46,
2020-KW48,53.03,68.95,105.77,183.57,211.75,220.75,169.87,167.08,154.52,214.84,184.55,114.94,129.44,107.56,102.5,85.43,238.81,
2020-KW49,34.09,129.79,174.93,222.63,245.9,293.33,197.71,205.19,175.32,214.84,206.12,197.7,135.07,68.12,98.4,80.69,209.94,
2020-KW50,60.6,154.12,138.32,281.22,266.4,229.82,239.48,222.78,231.78,238.39,285.21,211.49,191.35,96.81,98.4,132.89,278.18,
2020-KW51,71.97,121.68,154.59,238.26,245.9,266.11,192.14,178.81,219.89,220.73,165.37,209.19,191.35,168.51,110.7,170.86,314.92,
2020-KW52,75.75,129.79,89.5,152.33,235.66,217.73,167.08,178.81,166.4,220.73,136.61,158.62,121.0,78.88,135.3,99.67,288.67,
2020-KW53,22.73,56.78,61.02,93.74,170.77,130.03,100.25,134.84,118.86,141.27,141.41,135.63,137.88,82.46,57.4,85.43,220.44,
2021-KW01,22.73,56.78,61.02,97.65,225.41,202.61,175.44,140.7,175.32,141.27,129.42,126.43,123.81,129.07,114.8,90.18,364.78,
2021-KW02,34.09,48.67,48.82,109.36,163.94,178.42,153.16,140.7,145.6,138.32,153.39,119.54,104.11,71.71,61.5,113.91,262.43,
2021-KW03,15.15,40.56,28.48,82.02,109.29,123.98,119.74,131.91,106.97,114.78,103.06,110.34,75.98,17.93,32.8,80.69,131.22,
2021-KW04,41.66,28.39,61.02,128.89,160.52,142.13,111.39,73.28,104.0,91.23,117.44,71.26,78.79,43.02,41.0,42.72,99.72,
2021-KW05,30.3,12.17,24.41,105.46,122.95,93.74,91.89,64.49,77.26,73.58,62.31,43.68,56.28,35.85,49.2,28.48,73.48,
2021-KW06,7.58,12.17,24.41,62.49,81.97,75.6,44.56,35.18,41.6,55.92,59.92,55.17,47.84,14.34,32.8,52.21,39.36,
2021-KW07,34.09,36.5,20.34,46.87,71.72,75.6,77.97,87.94,53.49,44.15,40.74,52.87,33.77,39.44,16.4,52.21,47.24,
2021-KW08,56.81,44.61,20.34,58.59,61.48,63.5,61.26,64.49,62.4,70.63,74.3,68.96,50.65,43.02,28.7,28.48,26.24,
2021-KW09,68.18,44.61,56.95,74.21,105.88,66.53,55.69,111.39,83.2,94.18,81.49,82.76,59.09,25.1,41.0,28.48,36.74,
2021-KW10,79.54,117.62,122.04,191.39,184.43,142.13,142.02,105.53,127.77,138.32,103.06,117.24,73.16,46.61,53.3,42.72,44.61,
2021-KW11,159.08,158.18,138.32,128.89,170.77,114.91,119.74,128.98,115.89,153.04,134.22,103.45,109.74,50.2,65.6,47.46,34.12,
2021-KW12,178.02,170.35,101.7,132.8,187.84,151.2,175.44,193.47,193.15,150.1,162.98,142.53,98.49,93.22,57.4,56.95,44.61,
2021-KW13,75.75,137.9,109.84,156.23,218.58,151.2,167.08,184.67,136.69,144.21,153.39,119.54,59.09,46.61,36.9,66.45,36.74,
2021-KW14,132.57,101.4,138.32,148.42,256.15,181.44,225.56,152.43,142.63,191.3,213.31,177.01,146.32,107.56,94.3,75.94,20.99,
2021-KW15,140.14,150.07,187.13,261.69,327.87,320.55,242.27,266.75,246.63,264.87,222.89,190.8,118.18,114.73,77.9,71.19,86.6,
2021-KW16,257.56,283.91,248.16,406.21,348.36,314.5,275.68,257.95,279.32,329.62,278.02,213.79,174.46,93.22,90.2,113.91,65.61,
2021-KW17,162.87,243.35,280.7,285.13,310.8,281.23,297.96,287.27,312.01,306.08,263.64,234.48,225.11,143.42,114.8,71.19,55.11,
2021-KW18,94.69,194.68,158.66,152.33,225.41,130.03,122.53,202.26,213.95,208.96,160.58,188.5,137.88,103.98,57.4,56.95,52.49,
2021-KW19,79.54,190.63,150.52,167.95,153.69,142.13,158.73,120.18,151.55,120.67,136.61,128.73,104.11,68.12,57.4,47.46,47.24,
2021-KW20,87.12,137.9,113.91,136.7,78.55,78.62,83.54,99.66,98.06,126.55,74.3,66.67,64.72,35.85,41.0,33.22,47.24,
2021-KW21,37.88,40.56,61.02,101.55,40.98,36.29,64.05,55.69,68.34,55.92,40.74,39.08,33.77,25.1,24.6,9.49,15.75,
2021-KW22,15.15,32.45,28.48,31.25,37.57,30.24,47.34,32.24,32.69,38.26,19.17,22.99,19.7,14.34,4.1,14.24,5.25,
2021-KW23,37.88,52.73,40.68,35.15,20.49,18.14,30.63,29.31,32.69,17.66,11.98,9.2,16.88,3.59,,4.75,5.25,
2021-KW24,7.58,36.5,40.68,27.34,17.08,15.12,2.78,14.66,8.91,5.89,11.98,6.9,8.44,10.76,4.1,,5.25,
2021-KW25,18.94,20.28,16.27,15.62,10.25,18.14,8.35,17.59,11.89,8.83,,2.3,,,,,,
2021-KW26,7.58,12.17,8.14,3.91,,15.12,11.14,11.73,17.83,5.89,,2.3,2.81,,,,2.62,
2021-KW27,7.58,8.11,4.07,,6.83,12.1,11.14,2.93,,5.89,2.4,2.3,2.81,3.59,8.2,14.24,2.62,
2021-KW28,,,12.2,11.72,20.49,15.12,2.78,5.86,8.91,11.77,,2.3,,,,4.75,2.62,
2021-KW29,,8.11,32.55,11.72,13.66,42.34,25.06,8.79,14.86,14.72,7.19,9.2,2.81,3.59,8.2,,2.62,
2021-KW30,7.58,,,27.34,44.4,33.26,30.63,20.52,14.86,11.77,4.79,11.49,,10.76,4.1,14.24,2.62,
2021-KW31,11.36,24.34,16.27,50.78,81.97,45.36,41.77,35.18,14.86,35.32,16.78,6.9,11.26,3.59,4.1,,5.25,
2021-KW32,34.09,16.22,32.55,54.68,109.29,111.89,83.54,29.31,29.72,26.49,16.78,27.59,28.14,,8.2,4.75,,
2021-KW33,45.45,36.5,52.89,89.83,153.69,151.2,83.54,52.76,59.43,52.97,50.33,36.78,11.26,7.17,8.2,,20.99,
2021-KW34,37.88,81.12,93.57,167.95,191.26,175.39,122.53,140.7,98.06,123.61,57.52,43.68,30.95,25.1,12.3,18.98,13.12,
2021-KW35,34.09,113.56,105.77,164.05,208.34,157.25,111.39,93.8,130.75,111.84,62.31,27.59,22.51,21.51,8.2,,15.75,
2021-KW36,71.97,150.07,146.45,148.42,208.34,166.32,142.02,146.56,112.92,135.38,76.69,55.17,45.02,17.93,53.3,37.97,13.12,
2021-KW37,60.6,141.96,227.82,210.92,122.95,87.7,97.46,123.11,121.83,91.23,47.93,41.38,39.39,35.85,41.0,28.48,34.12,
2021-KW38,64.39,146.01,215.61,136.7,95.63,133.06,97.46,117.25,77.26,97.12,47.93,57.47,42.21,17.93,20.5,23.73,15.75,
2021-KW39,71.97,190.63,260.36,136.7,122.95,127.01,86.33,99.66,101.03,85.35,52.73,57.47,30.95,28.68,32.8,23.73,31.49,
2021-KW40,41.66,170.35,207.47,160.14,163.94,102.82,77.97,105.53,130.75,85.35,74.3,45.98,56.28,39.44,32.8,14.24,44.61,
2021-KW41,37.88,214.96,215.61,195.29,122.95,117.94,77.97,126.05,92.12,94.18,88.68,68.96,30.95,14.34,36.9,14.24,34.12,
2021-KW42,79.54,287.97,276.63,195.29,174.18,151.2,158.73,178.81,228.81,144.21,93.47,114.94,95.67,68.12,69.7,56.95,76.1,
2021-KW43,75.75,352.86,459.7,351.53,286.89,281.23,228.34,228.64,222.86,211.9,198.93,158.62,95.67,100.39,77.9,90.18,123.34,
2021-KW44,56.81,210.9,264.43,164.05,194.67,181.44,158.73,228.64,210.98,220.73,174.96,151.72,90.05,68.12,94.3,75.94,133.84,
2021-KW45,212.11,579.99,781.08,566.35,607.93,517.11,417.7,442.62,570.53,473.83,361.9,312.64,244.81,96.81,180.4,175.61,204.7,
2021-KW46,246.2,859.84,1017.03,652.28,601.1,580.61,495.67,457.28,609.16,488.55,467.36,388.5,270.14,261.73,262.41,175.61,262.43,
2021-KW47,340.89,945.02,1200.1,667.9,607.93,471.75,484.54,612.64,635.9,576.84,433.8,319.53,315.16,265.32,172.2,161.37,220.44,
2021-KW48,337.1,1135.64,1236.71,742.11,508.89,483.84,573.65,779.72,814.19,597.44,457.77,393.09,348.93,250.98,225.51,194.6,223.07,
2021-KW49,397.7,1172.14,1224.51,788.98,536.21,474.77,626.55,688.85,677.5,650.41,419.42,367.81,309.53,283.25,164.0,137.64,144.34,
2021-KW50,321.95,644.88,683.45,421.83,365.44,293.33,342.52,384.0,413.04,367.88,340.33,266.66,163.21,121.9,123.0,109.16,110.22,
2021-KW51,166.66,417.75,451.56,312.47,242.49,244.94,247.84,243.3,234.75,203.07,182.15,181.61,121.0,53.78,86.1,37.97,91.85,
2021-KW52,208.32,279.85,305.11,281.22,269.81,338.69,311.89,316.58,267.44,206.01,203.72,170.11,126.63,78.88,98.4,80.69,60.36,
2022-KW01,215.9,332.58,358.0,503.85,556.7,628.99,437.2,340.03,398.18,373.77,218.1,186.2,137.88,121.9,94.3,66.45,102.35,
2022-KW02,363.61,872.01,1021.1,1433.44,1133.89,943.49,760.22,592.12,635.9,591.55,460.17,377.0,270.14,179.27,110.7,90.18,112.85,
