# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-29 08:56:56
# API-Download für Covid19-Inzidenzen in SK Schwerin, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,22.24,23.83,,,,,16.22,13.72,,,,,,
2020-KW12,,,,,44.48,95.31,86.18,47.63,83.82,61.16,64.86,13.72,,,,20.34,,
2020-KW13,,23.18,,23.76,111.21,95.31,28.73,63.5,50.29,61.16,32.43,13.72,14.32,14.47,,20.34,,
2020-KW14,,46.36,23.77,23.76,44.48,47.65,14.36,15.88,,,32.43,27.44,,,,,,
2020-KW15,,23.18,23.77,71.28,22.24,,,,33.53,,,,,14.47,,,,
2020-KW16,,,,,22.24,47.65,,15.88,,,,,,,,,,
2020-KW17,,,,,,,,15.88,,,,,,,,,,
2020-KW23,,,,,22.24,,,,,,,,,,,,,
2020-KW30,69.17,46.36,,23.76,,23.83,14.36,63.5,33.53,,,41.16,28.64,,,,,
2020-KW31,,,,,,,,,16.76,,16.22,,,,,,,
2020-KW32,,,,,,71.48,14.36,,,,,13.72,,,,,,
2020-KW33,,,23.77,,,,,15.88,,,,,,,,,,
2020-KW35,,,,,,,14.36,,,,,,,,,,,
2020-KW36,,,,,,,,,,,,,,,20.75,,,
2020-KW37,,,,23.76,,,14.36,,,20.39,16.22,13.72,,,,,,
2020-KW38,,,,23.76,,,,,,,,,,,20.75,,,
2020-KW39,,23.18,,,22.24,,,,,,,13.72,,,20.75,,,
2020-KW40,,,,,22.24,,,,,20.39,,,,,,,,
2020-KW41,,,,,22.24,,,,,,,,,,,,,
2020-KW42,,,,,22.24,,28.73,,16.76,,,,28.64,,,,11.58,
2020-KW43,,,,,22.24,,,31.75,33.53,,16.22,54.88,,,,,46.32,
2020-KW44,,,166.39,190.07,66.73,23.83,43.09,31.75,50.29,122.32,97.29,54.88,57.28,28.95,20.75,20.34,,
2020-KW45,23.06,92.72,23.77,142.55,88.97,71.48,86.18,111.13,83.82,101.94,,27.44,100.24,28.95,20.75,81.37,46.32,
2020-KW46,46.11,23.18,47.54,23.76,22.24,95.31,28.73,63.5,50.29,81.55,48.65,41.16,28.64,14.47,,20.34,46.32,
2020-KW47,,23.18,,,177.94,23.83,71.82,63.5,50.29,101.94,16.22,27.44,42.96,14.47,20.75,20.34,11.58,
2020-KW48,,,23.77,47.52,88.97,23.83,57.45,15.88,33.53,40.77,,41.16,57.28,14.47,20.75,,11.58,
2020-KW49,,92.72,71.31,118.79,88.97,47.65,114.91,63.5,100.59,61.16,16.22,96.05,28.64,28.95,20.75,61.03,162.11,
2020-KW50,69.17,208.62,190.16,213.83,222.42,142.96,215.46,142.88,217.94,101.94,194.58,178.38,100.24,57.9,41.5,81.37,57.9,
2020-KW51,46.11,69.54,166.39,71.28,311.39,309.75,201.09,158.76,134.12,142.71,97.29,137.21,100.24,43.42,62.25,183.08,393.7,
