# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-09 07:53:29
# API-Download für Covid19-Inzidenzen in LK Osterholz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,20.01,16.33,,15.22,28.21,19.68,38.55,23.35,14.28,,,,
2020-KW12,,,,,,,32.66,15.13,,14.11,9.84,9.64,58.38,14.28,,,,
2020-KW13,,,,17.98,19.0,40.02,16.33,15.13,,14.11,29.52,28.91,46.7,14.28,31.18,,,
2020-KW14,,,,,,20.01,65.32,,45.67,14.11,,19.27,,,,,,
2020-KW15,,,,,19.0,,,,,14.11,19.68,19.27,11.68,14.28,31.18,18.27,11.99,
2020-KW16,,,,,19.0,,,,15.22,,,,23.35,14.28,,,,
2020-KW17,,,,17.98,,20.01,,,,,19.68,,,14.28,,,,
2020-KW18,,,,,,,,15.13,,,,9.64,,,,,11.99,
2020-KW19,,,,,,,,15.13,,,,,,,,,11.99,
2020-KW20,,,,,38.0,20.01,48.99,30.26,,14.11,,9.64,11.68,,,,,
2020-KW21,18.42,18.65,,17.98,19.0,20.01,48.99,,30.45,,19.68,9.64,,,,,11.99,
2020-KW22,,,,,,20.01,,,,,9.84,,,,,,,
2020-KW23,,,,,,,,,,,,,,,,,11.99,
2020-KW24,,,,,57.0,,,,,,,9.64,,,,,,
2020-KW25,,,,,,,,,,,,9.64,,,,,,
2020-KW26,,,,,,,,,,,9.84,,,,,,,
2020-KW27,,,,,19.0,,,,,,,,,,,,,
2020-KW28,,,18.85,,19.0,,,,,,9.84,,,,,,,
2020-KW30,,,,,57.0,20.01,,,,14.11,,,,,,,,
2020-KW31,,,,,,,,15.13,,,9.84,9.64,,,,,,
2020-KW32,,,,,19.0,,,,15.22,,,,,,15.59,,,
2020-KW33,18.42,,,,19.0,,,,,,9.84,,11.68,,,,11.99,
2020-KW34,,,,,19.0,,,,,,,,,,46.77,,,
2020-KW35,18.42,,,,19.0,20.01,16.33,15.13,,,,9.64,11.68,,,,,
2020-KW36,,18.65,,,38.0,40.02,32.66,15.13,,14.11,,,,,15.59,,11.99,
2020-KW37,36.85,,,,38.0,,,,,,,,,,,,11.99,
2020-KW38,,,,,,40.02,16.33,,,14.11,,,,,,,,
2020-KW39,,,,35.96,57.0,20.01,32.66,,,,,,,,,,,
2020-KW40,,,,71.93,,40.02,32.66,,30.45,14.11,,19.27,,,,18.27,,
2020-KW41,,,,,114.0,80.03,65.32,,,28.21,39.37,28.91,23.35,,,,11.99,
2020-KW42,,18.65,,71.93,114.0,60.02,,45.39,60.89,14.11,59.05,38.55,11.68,14.28,,,23.98,
2020-KW43,73.69,55.96,113.12,107.89,190.01,180.07,130.63,181.57,76.12,98.74,147.62,77.09,46.7,28.56,15.59,,11.99,
2020-KW44,18.42,55.96,18.85,125.88,152.0,180.07,163.29,181.57,45.67,155.17,78.73,86.73,70.05,42.83,15.59,36.54,,
2020-KW45,,55.96,113.12,233.77,190.01,140.06,228.61,151.31,60.89,211.6,216.51,125.28,186.81,99.94,62.36,36.54,59.96,
2020-KW46,73.69,111.92,18.85,251.75,171.01,280.11,130.63,196.7,152.23,126.96,88.57,125.28,70.05,42.83,31.18,54.8,11.99,
2020-KW47,36.85,37.31,94.27,107.89,95.0,140.06,114.3,181.57,91.34,126.96,98.42,134.91,151.78,28.56,46.77,73.07,179.88,
2020-KW48,,,18.85,53.95,95.0,160.06,81.65,75.65,91.34,28.21,59.05,48.18,35.03,57.11,62.36,54.8,119.92,
2020-KW49,18.42,18.65,94.27,125.88,171.01,220.09,130.63,166.44,91.34,197.49,108.26,86.73,81.73,42.83,62.36,91.34,251.83,
2020-KW50,,37.31,113.12,89.91,95.0,80.03,163.29,60.52,91.34,155.17,88.57,67.46,81.73,42.83,15.59,73.07,131.91,
2020-KW51,55.27,55.96,56.56,107.89,209.01,240.1,130.63,121.05,91.34,126.96,98.42,38.55,58.38,28.56,31.18,18.27,155.89,
2020-KW52,36.85,,18.85,53.95,76.0,100.04,81.65,105.92,60.89,42.32,68.89,48.18,58.38,28.56,46.77,54.8,119.92,
2020-KW53,,18.65,18.85,35.96,114.0,80.03,81.65,60.52,76.12,42.32,29.52,57.82,23.35,28.56,31.18,73.07,71.95,
2021-KW01,,,18.85,71.93,114.0,140.06,32.66,60.52,137.01,98.74,177.15,48.18,105.08,28.56,15.59,73.07,35.98,
2021-KW02,,,,107.89,95.0,40.02,32.66,60.52,30.45,126.96,59.05,38.55,11.68,28.56,,18.27,47.97,
2021-KW03,,,94.27,71.93,76.0,100.04,65.32,90.79,76.12,112.85,59.05,77.09,58.38,42.83,46.77,36.54,95.93,
2021-KW04,18.42,37.31,56.56,,76.0,120.05,97.98,15.13,60.89,56.43,68.89,67.46,70.05,42.83,15.59,54.8,107.93,
2021-KW05,18.42,,18.85,17.98,57.0,60.02,65.32,60.52,45.67,28.21,19.68,28.91,11.68,,,18.27,83.94,
2021-KW06,36.85,,,53.95,57.0,180.07,97.98,45.39,30.45,42.32,59.05,28.91,70.05,,,,23.98,
2021-KW07,18.42,55.96,18.85,53.95,133.0,160.06,48.99,30.26,30.45,28.21,39.37,96.37,105.08,28.56,,18.27,83.94,
2021-KW08,,18.65,,71.93,76.0,200.08,16.33,45.39,60.89,42.32,39.37,28.91,46.7,42.83,15.59,36.54,35.98,
2021-KW09,36.85,37.31,56.56,17.98,38.0,20.01,81.65,45.39,106.56,84.64,39.37,38.55,11.68,14.28,46.77,54.8,35.98,
2021-KW10,36.85,55.96,56.56,71.93,76.0,80.03,130.63,90.79,137.01,28.21,29.52,57.82,23.35,,,,,
2021-KW11,73.69,18.65,37.71,71.93,133.0,100.04,81.65,90.79,60.89,28.21,88.57,57.82,81.73,57.11,46.77,18.27,35.98,
2021-KW12,18.42,18.65,56.56,161.84,114.0,180.07,48.99,151.31,106.56,112.85,108.26,77.09,35.03,57.11,77.95,18.27,23.98,
2021-KW13,,,18.85,143.86,114.0,100.04,48.99,60.52,60.89,70.53,98.42,77.09,58.38,14.28,15.59,,23.98,
2021-KW14,36.85,18.65,113.12,125.88,114.0,100.04,163.29,45.39,30.45,70.53,49.21,28.91,11.68,28.56,,54.8,35.98,
2021-KW15,55.27,149.23,150.83,269.74,171.01,140.06,179.62,90.79,152.23,112.85,88.57,48.18,23.35,28.56,15.59,36.54,11.99,
2021-KW16,18.42,74.61,56.56,125.88,171.01,220.09,195.95,75.65,91.34,126.96,49.21,48.18,35.03,,31.18,,,
2021-KW17,18.42,111.92,56.56,71.93,152.0,120.05,114.3,105.92,152.23,70.53,59.05,48.18,116.75,14.28,15.59,,35.98,
2021-KW18,36.85,93.27,131.98,161.84,114.0,80.03,65.32,60.52,60.89,84.64,68.89,48.18,70.05,42.83,,73.07,23.98,
2021-KW19,55.27,55.96,150.83,53.95,19.0,80.03,48.99,60.52,91.34,14.11,68.89,67.46,35.03,28.56,,73.07,,
2021-KW20,55.27,37.31,56.56,17.98,38.0,60.02,114.3,60.52,15.22,70.53,19.68,38.55,11.68,,,,11.99,
2021-KW21,,18.65,18.85,17.98,,20.01,16.33,15.13,30.45,28.21,9.84,,23.35,28.56,,,,
2021-KW22,,,75.41,,19.0,20.01,,15.13,,14.11,,9.64,11.68,,,,,
2021-KW23,,,37.71,,19.0,,,,,14.11,,,35.03,,,,,
2021-KW24,,,,,,,,15.13,,,,,,14.28,,,,
2021-KW25,,,,,,,,,,,9.84,,,,,,,
2021-KW26,,,,,19.0,20.01,,,,,9.84,,,,,,,
2021-KW27,,18.65,,,,20.01,,,15.22,,,9.64,23.35,,,,11.99,
2021-KW28,,,,,19.0,,16.33,30.26,,,,,,,15.59,,,
