# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-18 07:38:37
# API-Download für Covid19-Fälle in LK Fulda, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,2,2,1,2,3,8,4,5,2,,,,1,
2020-KW12,1,,,,8,4,6,6,1,3,6,5,5,,,,,
2020-KW13,,,,3,2,11,7,4,1,10,8,8,5,3,2,3,4,
2020-KW14,1,,,2,4,6,4,3,3,2,6,5,7,5,4,4,13,
2020-KW15,1,,1,5,5,4,1,,2,7,6,2,3,,2,3,4,
2020-KW16,,2,,,2,5,2,3,3,1,1,1,1,,,2,1,
2020-KW17,,,,,,,2,1,,1,,3,,,1,,,
2020-KW18,,,,,,,,,,,,,,,1,,2,
2020-KW19,1,,,,,,1,2,1,,,,,,,,,
2020-KW20,,1,,1,,,,2,,1,1,1,1,1,,,,
2020-KW21,,,,,1,,,1,,,,1,,,,,,
2020-KW22,,1,1,1,1,,2,,1,3,2,2,,,,,1,
2020-KW23,5,2,1,,4,4,1,1,1,3,2,1,3,,,,,
2020-KW24,1,,,,3,1,1,,1,,,1,2,1,,,,
2020-KW25,,1,,,2,3,1,,,1,1,1,1,,,,,
2020-KW26,1,,,,2,,1,1,,1,,,,,,,,
2020-KW27,,,,,3,2,4,1,1,,,,,,,,,
2020-KW28,2,1,,1,1,,1,1,,,,,,,,,,
2020-KW29,,,,1,2,2,2,1,,1,1,1,,1,,,,
2020-KW30,,,,,3,1,,,,,,,,,,,1,
2020-KW31,,1,,,2,,1,1,,1,,,,,,,,
2020-KW32,2,3,,,2,,3,4,1,2,,1,,,2,,,
2020-KW33,,2,5,4,3,2,,1,5,2,1,1,,,,,,
2020-KW34,1,,4,,4,,,1,1,2,,,,,2,,,
2020-KW35,,1,,1,3,,3,,1,1,1,,1,,,,,
2020-KW36,,3,1,,3,2,,1,1,5,2,1,,2,1,1,3,
2020-KW37,,1,2,,7,2,1,2,1,2,1,2,1,1,1,1,,
2020-KW38,1,,1,4,2,3,2,1,,1,2,3,3,1,,1,,
2020-KW39,2,,2,1,4,1,,1,2,2,,3,1,1,,1,3,
2020-KW40,1,1,4,6,4,1,1,1,3,3,2,1,,,1,,,
2020-KW41,,1,,1,,3,3,,1,1,,,3,2,1,2,,
2020-KW42,3,2,2,2,6,1,5,8,2,1,4,7,2,3,2,,1,
2020-KW43,7,10,10,14,12,22,19,11,18,13,13,21,7,6,6,1,10,
2020-KW44,7,17,21,29,33,19,22,15,11,13,19,21,20,15,6,4,7,
2020-KW45,6,7,5,15,27,12,25,19,16,10,21,13,19,10,4,2,6,
2020-KW46,10,12,12,15,21,16,24,23,18,17,14,25,13,14,13,5,27,
2020-KW47,8,7,11,18,28,13,28,20,29,23,33,29,25,12,10,14,41,
2020-KW48,13,27,9,29,20,23,20,18,24,28,26,19,7,19,17,7,13,
2020-KW49,13,15,23,23,25,24,27,27,31,19,25,36,20,17,9,6,65,
2020-KW50,15,23,31,43,48,32,42,27,32,49,49,33,29,18,8,7,40,
2020-KW51,15,21,24,39,70,47,37,27,37,39,60,42,40,21,17,14,52,
2020-KW52,10,13,17,18,42,43,37,29,28,35,48,38,29,14,7,24,87,
2020-KW53,14,16,12,35,33,38,40,26,30,39,36,44,34,11,11,13,48,
2021-KW01,25,19,20,45,62,79,53,40,45,49,56,50,43,31,17,19,129,
2021-KW02,19,19,19,37,67,47,38,39,30,43,53,53,38,20,21,10,56,
2021-KW03,27,34,31,33,45,44,40,44,39,25,50,50,45,25,22,7,68,
2021-KW04,15,10,8,25,38,30,22,19,25,33,46,38,20,18,12,10,34,
2021-KW05,11,5,12,19,16,30,22,23,19,14,32,23,32,10,11,5,45,
2021-KW06,8,9,5,12,11,9,13,5,17,7,17,9,7,3,2,2,17,
2021-KW07,9,9,16,6,7,14,11,9,15,8,13,14,10,10,6,5,9,
2021-KW08,9,6,4,6,8,6,9,8,8,8,12,17,10,5,4,4,7,
2021-KW09,17,16,8,10,18,17,20,19,18,19,24,30,9,3,6,4,5,
2021-KW10,12,12,12,21,17,25,12,20,23,15,25,25,13,11,11,10,15,
