# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-01-05 07:38:15
# API-Download für Covid19-Fälle in LK Wesel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,1,,,,,,,,,,,,
2020-KW11,,,,,1,,,,5,8,8,6,3,2,,1,,
2020-KW12,1,,,3,6,9,5,6,9,16,20,13,4,4,7,3,1,
2020-KW13,2,,,1,5,5,7,3,3,5,13,9,5,6,6,7,7,
2020-KW14,,,,,4,4,3,2,5,4,9,,11,6,3,5,6,
2020-KW15,,,,,5,4,5,6,9,5,11,13,7,5,6,6,28,
2020-KW16,,,,1,8,8,5,2,4,4,4,8,4,2,,2,6,
2020-KW17,,1,1,,2,2,2,4,2,5,6,7,5,3,1,3,7,
2020-KW18,1,,,4,,2,,1,3,5,4,3,2,1,1,2,3,
2020-KW19,1,,,1,4,1,3,3,2,,4,2,2,1,2,1,2,
2020-KW20,1,,1,4,2,2,1,2,3,2,1,2,1,1,1,1,3,
2020-KW21,,,,1,,3,2,,,,4,4,,,1,,,
2020-KW22,1,,,,1,4,1,1,1,,2,,,1,,,,
2020-KW23,,,2,2,2,2,,1,2,,2,2,6,,,,,
2020-KW24,1,,,1,1,5,,1,1,,2,3,1,,,1,2,
2020-KW25,,,1,,2,1,2,1,1,1,1,2,,,,,1,
2020-KW26,7,1,3,4,8,12,9,9,13,13,17,3,2,,2,1,1,
2020-KW27,1,,2,6,2,2,1,1,8,3,2,2,2,2,,1,1,
2020-KW28,,2,1,1,3,1,2,3,,2,1,3,3,,2,,1,
2020-KW29,2,,,1,4,,2,2,3,1,1,3,,,,,,
2020-KW30,,,1,1,3,1,1,,3,2,4,4,1,,1,,2,
2020-KW31,1,6,,3,9,7,7,8,7,3,3,3,4,4,2,3,5,
2020-KW32,2,4,11,6,12,9,5,11,4,3,11,5,2,2,3,3,5,
2020-KW33,1,5,4,3,12,3,3,7,5,5,3,3,1,1,,2,4,
2020-KW34,,,1,6,4,3,6,1,2,4,3,2,2,2,1,,3,
2020-KW35,1,,1,2,4,5,5,,2,6,3,1,2,2,,,,
2020-KW36,,1,7,1,6,3,2,,1,1,2,2,6,3,1,,2,
2020-KW37,,,,1,3,6,1,1,2,4,7,,2,3,2,,1,
2020-KW38,2,4,3,4,3,6,4,2,5,7,10,5,2,,1,1,1,
2020-KW39,4,3,1,1,6,5,4,2,4,3,3,4,,,2,,4,
2020-KW40,2,3,1,7,8,10,6,11,5,4,10,3,5,2,,,,
2020-KW41,4,2,5,5,7,19,14,13,12,16,11,14,4,1,4,4,2,
2020-KW42,6,12,9,15,20,26,17,12,16,26,21,14,8,4,3,7,4,
2020-KW43,6,6,13,16,35,34,22,14,27,19,22,35,21,4,11,6,2,
2020-KW44,14,11,8,19,39,44,40,38,21,34,41,37,27,13,6,12,21,
2020-KW45,10,13,22,47,46,43,49,40,26,53,55,49,25,19,12,7,35,
2020-KW46,15,17,23,52,49,47,45,34,36,38,38,45,32,26,12,10,41,
2020-KW47,13,27,32,54,62,54,54,64,53,56,58,57,49,24,17,14,36,
2020-KW48,11,17,29,50,51,61,60,65,56,62,73,75,64,35,33,29,159,
2020-KW49,10,11,17,49,63,81,70,52,68,72,88,82,62,22,25,29,89,
2020-KW50,15,22,18,45,65,75,59,54,49,57,80,75,44,28,22,21,97,
2020-KW51,9,14,17,26,51,58,55,69,58,49,76,74,64,30,19,33,114,
