# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-22 09:02:37
# API-Download für Covid19-Inzidenzen in SK Berlin Neukölln, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,3.54,,,,,,,,,,
2020-KW10,,,,,,,,,,,,,5.93,,,,,
2020-KW11,11.89,,,7.59,,11.22,3.04,7.09,9.22,11.05,4.9,4.62,11.86,,7.91,7.88,6.07,
2020-KW12,,6.74,,,34.72,22.45,45.55,38.97,50.7,27.63,34.31,23.11,23.73,,31.66,23.65,,
2020-KW13,17.84,20.21,28.85,75.95,46.29,71.08,88.06,88.58,32.27,55.27,29.41,50.84,35.59,21.17,47.49,31.53,42.49,
2020-KW14,11.89,13.47,43.27,37.97,52.08,52.37,60.73,31.89,46.09,71.85,68.63,50.84,23.73,35.29,31.66,39.42,60.7,
2020-KW15,11.89,13.47,14.42,37.97,23.15,26.19,42.51,46.06,36.87,44.22,24.51,13.87,11.86,,15.83,15.77,66.77,
2020-KW16,,13.47,14.42,15.19,17.36,26.19,21.26,10.63,9.22,49.74,39.22,13.87,11.86,21.17,23.74,7.88,18.21,
2020-KW17,,,,15.19,34.72,33.67,6.07,3.54,13.83,33.16,24.51,55.46,11.86,14.12,55.4,23.65,54.63,
2020-KW18,,13.47,,,17.36,14.96,6.07,10.63,4.61,22.11,14.71,18.49,23.73,28.23,47.49,15.77,30.35,
2020-KW19,,,,7.59,,3.74,3.04,3.54,9.22,22.11,9.8,4.62,11.86,7.06,,15.77,24.28,
2020-KW20,5.95,13.47,14.42,37.97,28.93,3.74,15.18,7.09,23.05,5.53,,4.62,5.93,7.06,,15.77,,
2020-KW21,,,7.21,15.19,,7.48,9.11,10.63,,16.58,9.8,4.62,11.86,7.06,,7.88,6.07,
2020-KW22,5.95,,,,5.79,7.48,6.07,,,11.05,4.9,18.49,11.86,,,15.77,6.07,
2020-KW23,,6.74,43.27,15.19,17.36,7.48,6.07,7.09,,22.11,4.9,18.49,,,,,,
2020-KW24,41.63,67.36,64.91,53.16,5.79,26.19,30.37,7.09,18.44,27.63,14.71,18.49,17.79,21.17,,7.88,18.21,
2020-KW25,35.68,80.83,86.55,75.95,40.5,22.45,33.4,21.26,41.48,5.53,9.8,,17.79,,,7.88,12.14,
2020-KW26,17.84,13.47,36.06,37.97,23.15,26.19,15.18,42.52,,11.05,14.71,27.73,5.93,14.12,,,12.14,
2020-KW27,17.84,,,,34.72,7.48,15.18,7.09,9.22,5.53,4.9,9.24,,21.17,,31.53,24.28,
2020-KW28,,,,7.59,17.36,7.48,15.18,10.63,4.61,,4.9,9.24,,,,,18.21,
2020-KW29,,,21.64,7.59,11.57,,,3.54,4.61,16.58,,,,,,,,
2020-KW30,,,,22.78,11.57,14.96,6.07,14.17,9.22,11.05,4.9,,,,,,,
2020-KW31,5.95,6.74,14.42,15.19,40.5,56.11,18.22,3.54,13.83,38.69,24.51,4.62,5.93,,15.83,,,
2020-KW32,,13.47,50.49,53.16,11.57,14.96,24.29,21.26,13.83,44.22,14.71,,5.93,7.06,,,6.07,
2020-KW33,5.95,80.83,93.76,45.57,34.72,29.93,24.29,28.34,32.27,11.05,29.41,23.11,,7.06,,15.77,,
2020-KW34,17.84,20.21,21.64,22.78,52.08,18.7,21.26,21.26,9.22,22.11,14.71,9.24,11.86,,,,12.14,
2020-KW35,29.74,20.21,21.64,37.97,52.08,67.34,33.4,38.97,9.22,27.63,19.61,4.62,11.86,,15.83,7.88,,
2020-KW36,11.89,20.21,14.42,30.38,46.29,37.41,18.22,14.17,13.83,11.05,4.9,9.24,11.86,,7.91,7.88,,
2020-KW37,5.95,6.74,14.42,37.97,81.01,71.08,60.73,42.52,23.05,49.74,19.61,23.11,29.66,7.06,,,6.07,
2020-KW38,17.84,13.47,21.64,68.35,69.44,71.08,69.84,28.34,41.48,5.53,19.61,9.24,11.86,7.06,7.91,7.88,24.28,
2020-KW39,11.89,26.94,43.27,106.33,40.5,59.86,54.66,49.6,36.87,33.16,19.61,55.46,41.52,14.12,,15.77,6.07,
2020-KW40,23.79,94.3,173.1,296.2,202.52,164.6,51.62,77.95,46.09,110.54,102.94,78.57,59.32,35.29,39.57,23.65,6.07,
2020-KW41,53.53,53.89,216.37,288.6,387.69,235.68,145.75,141.72,124.45,154.76,156.86,124.79,88.97,49.4,23.74,55.18,30.35,
2020-KW42,83.26,94.3,129.82,341.76,358.75,336.69,212.56,180.7,322.65,248.71,240.2,161.76,100.84,84.69,55.4,86.72,48.56,
2020-KW43,89.21,121.24,238.01,554.42,509.2,486.33,324.91,315.33,239.69,386.89,318.63,378.98,290.65,155.27,110.8,149.78,139.61,
2020-KW44,71.37,87.57,274.07,341.76,445.55,340.43,315.8,286.99,198.2,386.89,289.22,281.92,255.06,239.96,142.46,275.92,194.23,
2020-KW45,124.9,148.19,360.62,645.55,532.35,407.77,282.4,325.96,377.97,375.84,338.24,351.25,189.81,190.56,189.95,149.78,188.16,
2020-KW46,65.42,161.66,389.47,501.25,624.93,426.47,425.12,325.96,410.23,348.2,279.41,346.63,302.51,204.67,197.86,189.2,261.0,
2020-KW47,77.32,208.81,389.47,463.28,451.34,426.47,370.46,322.42,341.09,348.2,264.71,281.92,172.01,148.21,142.46,126.13,309.56,
2020-KW48,47.58,114.51,295.71,463.28,410.83,306.76,282.4,230.3,368.75,375.84,254.9,277.3,219.47,148.21,134.55,220.73,376.33,
2020-KW49,59.47,107.77,165.89,402.52,318.25,198.27,203.45,177.15,239.69,315.04,308.82,212.6,183.88,183.5,158.29,173.43,424.89,
