# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-09-21 08:37:29
# API-Download für Covid19-Fälle in SK Berlin Spandau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW07,,,,,,,,,1,,,,,,,,,
2020-KW10,,,,,1,,,1,,,,,,,,,,
2020-KW11,,,,,4,1,,3,,1,1,,,,,,,
2020-KW12,,,1,3,4,,1,2,3,1,3,,2,1,1,,1,
2020-KW13,,,1,2,10,3,7,,3,3,7,8,4,2,1,5,3,
2020-KW14,1,,,3,6,5,4,,6,2,7,2,2,,6,8,6,
2020-KW15,3,,1,,2,5,3,4,6,1,1,2,,3,2,,1,
2020-KW16,,2,,2,1,3,,3,2,6,4,2,2,,3,2,2,
2020-KW17,,,,1,,,,1,3,1,,1,,,1,1,2,
2020-KW18,,,1,,3,1,1,,1,2,3,2,,,,1,1,
2020-KW19,,,,1,1,,1,,,1,2,2,1,3,,1,1,
2020-KW20,,,,,2,2,1,,,3,7,5,2,3,,1,4,
2020-KW21,,,1,,,,3,1,2,,,,,,1,2,1,
2020-KW22,1,4,,1,1,1,1,,1,,2,,,,,,,
2020-KW23,3,2,7,2,1,2,3,1,4,,1,,,1,,2,,
2020-KW24,5,5,2,1,2,5,2,1,3,2,3,1,1,,,,,
2020-KW25,4,7,4,7,1,,5,3,4,3,,,1,,,,2,
2020-KW26,5,4,3,1,2,1,4,3,1,,1,3,,,,1,,
2020-KW27,,,,,1,1,,,3,1,1,,2,,,,,
2020-KW28,1,,,,1,1,,2,1,1,2,1,,,,1,,
2020-KW29,1,,,,,,,,1,,,,,,,,1,
2020-KW30,,2,1,1,3,1,1,1,1,1,3,,1,1,,,,
2020-KW31,2,6,6,5,3,4,4,3,5,3,,1,1,,,,,
2020-KW32,,,3,1,1,1,2,,2,3,2,1,,2,,,,
2020-KW33,1,,2,2,7,3,,4,4,2,1,1,,2,,,,
2020-KW34,,1,3,3,,1,2,,3,4,1,1,1,1,,,,
2020-KW35,1,,6,5,6,3,1,2,2,3,2,,,,,,,
2020-KW36,2,2,2,6,8,7,,,3,1,1,,,,,,,
2020-KW37,2,,4,3,6,1,3,1,2,1,3,,,1,2,,,
2020-KW38,1,1,,1,2,5,4,5,5,3,6,,1,,1,,4,
2020-KW39,1,3,2,3,7,6,2,3,5,8,3,4,3,2,2,,1,
2020-KW40,1,5,2,5,7,10,11,5,4,6,8,5,4,2,3,2,4,
2020-KW41,4,6,9,15,14,16,17,14,9,7,15,6,7,3,2,,2,1
2020-KW42,10,9,10,10,21,23,21,15,10,12,19,7,10,7,4,5,5,
2020-KW43,6,4,10,21,39,36,20,25,23,13,14,18,8,4,6,3,14,1
2020-KW44,14,11,16,16,35,43,39,35,31,34,40,35,14,13,11,13,27,2
2020-KW45,8,18,28,38,61,48,48,39,46,37,31,43,30,19,14,18,30,1
2020-KW46,5,17,32,38,56,47,63,39,35,38,47,32,26,10,12,18,24,3
2020-KW47,10,21,47,47,54,44,60,35,50,46,46,36,35,12,18,16,35,4
2020-KW48,11,30,57,49,57,60,52,47,62,42,45,45,39,22,14,18,73,5
2020-KW49,12,32,33,33,45,48,48,58,40,52,50,42,51,17,26,22,72,5
2020-KW50,9,21,32,38,41,39,54,54,57,39,40,41,36,21,13,40,47,1
2020-KW51,21,20,33,27,37,35,60,46,53,45,45,51,39,18,13,26,54,
2020-KW52,10,22,17,25,30,31,40,31,37,40,46,37,23,14,17,32,73,1
2020-KW53,10,12,13,29,34,40,28,40,37,31,38,42,21,25,15,29,90,2
2021-KW01,14,18,27,30,50,46,53,37,45,45,60,54,29,32,27,27,77,
2021-KW02,2,8,10,21,23,45,28,35,23,27,35,26,36,21,17,24,77,
2021-KW03,4,12,14,12,22,17,23,24,20,25,20,25,14,9,9,10,22,
2021-KW04,12,8,14,12,13,11,17,17,13,11,14,30,12,12,5,13,18,
2021-KW05,5,4,6,10,19,15,10,12,7,16,11,15,4,5,7,11,36,
2021-KW06,8,11,10,9,8,12,8,13,17,15,12,12,10,5,4,9,25,
2021-KW07,4,2,8,11,15,11,15,13,12,7,8,13,11,10,5,5,9,
