# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-04 07:38:46
# API-Download für Covid19-Fälle in SK Köln, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,4,1,,,,,,,,,,,
2020-KW10,,,,,1,2,1,2,1,4,8,2,4,1,,,2,
2020-KW11,1,1,,3,8,22,35,34,33,35,35,22,4,3,1,1,2,
2020-KW12,2,2,4,3,30,70,84,50,59,57,87,28,20,16,7,9,17,
2020-KW13,1,1,2,12,33,64,54,45,30,37,60,38,31,12,16,10,46,
2020-KW14,4,1,2,7,28,30,42,23,33,26,44,31,32,24,18,23,71,
2020-KW15,2,2,3,14,18,21,23,19,18,26,37,13,16,11,15,12,37,
2020-KW16,1,1,1,1,9,12,7,9,8,16,9,9,5,3,5,4,15,
2020-KW17,1,3,1,7,11,9,5,6,9,6,6,6,4,4,2,1,8,
2020-KW18,1,,4,2,4,7,11,2,9,6,6,8,2,2,1,1,7,
2020-KW19,1,1,2,2,3,4,2,,3,6,9,7,6,,1,3,8,
2020-KW20,3,1,4,4,4,5,4,4,2,3,7,,2,,1,2,,
2020-KW21,1,,,,2,6,3,2,2,5,,2,1,1,,1,,
2020-KW22,1,1,1,1,,3,2,2,4,3,3,1,2,1,,1,,
2020-KW23,1,1,3,2,3,,1,2,4,1,,1,2,2,2,1,1,
2020-KW24,2,3,3,,1,3,1,3,2,3,2,1,2,1,1,,8,
2020-KW25,,1,1,2,4,,1,2,4,2,4,6,,2,2,1,7,
2020-KW26,3,,,,1,2,3,1,4,2,1,1,1,,,,,
2020-KW27,1,1,,,3,1,3,1,2,1,4,5,2,,,2,1,
2020-KW28,6,3,2,3,9,10,8,5,4,5,8,3,2,2,1,1,,
2020-KW29,,1,4,12,8,28,10,4,5,5,12,6,4,2,3,2,5,
2020-KW30,6,3,3,5,13,10,13,5,13,9,3,2,1,3,2,,3,
2020-KW31,2,5,4,4,15,13,14,12,9,4,8,3,3,3,3,1,7,
2020-KW32,3,5,7,8,17,9,17,17,10,7,10,8,11,3,3,1,5,
2020-KW33,2,9,16,14,24,21,24,13,14,15,9,9,1,1,1,5,3,
2020-KW34,2,6,5,8,18,24,30,13,9,12,12,6,8,5,3,2,1,
2020-KW35,6,5,2,5,23,30,14,20,16,17,7,14,3,1,5,3,7,
2020-KW36,3,3,4,8,28,19,29,11,6,18,13,18,7,5,4,1,4,
2020-KW37,3,4,6,24,43,46,25,14,27,24,21,16,11,10,4,2,8,
2020-KW38,6,9,4,21,38,62,50,38,26,33,26,23,10,11,12,4,9,
2020-KW39,4,6,12,22,48,53,60,41,20,22,21,26,15,9,2,8,10,
2020-KW40,4,5,5,32,49,59,61,33,34,36,32,28,12,12,10,4,23,
2020-KW41,9,9,24,80,82,101,71,62,50,43,59,47,39,20,11,17,21,
2020-KW42,13,24,18,56,127,137,119,68,74,97,78,79,48,32,24,28,59,
2020-KW43,30,31,56,107,229,259,194,143,142,170,213,146,102,58,37,43,77,
2020-KW44,38,47,85,141,258,279,258,173,224,195,198,177,89,58,54,57,106,
2020-KW45,37,59,72,124,246,255,222,161,176,164,189,168,102,66,61,50,124,
2020-KW46,24,49,60,93,178,211,208,139,142,138,172,142,94,53,62,42,104,
2020-KW47,23,49,76,132,179,176,161,137,128,148,139,120,94,57,45,32,78,
2020-KW48,39,40,51,86,145,136,144,128,125,126,122,100,68,38,32,31,104,
2020-KW49,17,36,49,98,119,133,135,101,128,115,130,110,71,33,38,34,120,
2020-KW50,22,43,57,85,124,149,148,127,109,99,133,105,68,40,42,40,116,
2020-KW51,40,62,68,95,151,175,167,163,138,144,143,129,95,57,42,48,144,
2020-KW52,34,39,45,54,120,117,131,113,96,104,123,87,67,47,35,35,127,
2020-KW53,18,21,25,45,78,93,111,71,80,78,94,60,51,30,29,35,100,
2021-KW01,20,29,40,63,123,142,145,113,95,92,88,86,49,43,38,41,94,
2021-KW02,34,23,40,50,84,107,118,82,75,96,81,81,43,28,40,37,118,
2021-KW03,19,15,25,64,81,90,82,70,65,69,87,81,53,26,39,38,105,
2021-KW04,20,18,32,42,76,80,62,43,69,64,80,61,35,29,27,30,103,
2021-KW05,22,14,22,27,61,72,76,44,61,71,55,70,39,32,25,37,132,
2021-KW06,26,25,23,32,53,67,63,50,50,54,43,47,32,32,34,23,96,
2021-KW07,24,23,24,25,57,89,62,56,57,56,67,52,29,23,18,21,58,
2021-KW08,26,32,19,26,73,81,83,57,78,53,63,49,30,26,24,22,49,
2021-KW09,23,28,31,32,62,74,74,50,55,62,50,50,29,21,12,16,36,
2021-KW10,42,42,52,59,93,112,100,81,68,81,92,86,48,32,25,29,41,
2021-KW11,56,62,51,63,118,136,133,99,109,78,85,69,62,35,18,14,48,
2021-KW12,61,81,97,105,135,145,142,110,130,99,106,98,43,39,33,29,43,
2021-KW13,58,64,75,96,127,127,160,134,131,130,135,98,71,48,47,24,54,
2021-KW14,61,56,66,100,169,158,168,153,152,124,139,124,95,54,53,27,59,
2021-KW15,90,112,111,196,199,197,190,175,172,148,139,121,87,67,44,25,71,
2021-KW16,94,155,193,185,205,204,218,236,190,197,187,203,127,81,70,49,62,
2021-KW17,90,122,128,137,165,157,179,178,159,161,139,138,84,44,50,43,57,
2021-KW18,63,75,87,127,141,126,121,140,156,139,125,100,62,50,37,36,41,
2021-KW19,45,61,69,76,91,103,108,102,81,87,83,76,40,40,25,13,28,
2021-KW20,18,51,62,58,58,73,79,70,55,61,50,42,23,12,12,7,13,
2021-KW21,18,23,36,36,43,48,52,42,34,15,47,26,16,6,7,5,7,
2021-KW22,13,21,24,17,24,27,27,24,30,21,19,19,10,5,5,2,8,
2021-KW23,17,15,19,12,19,18,23,21,20,13,16,13,7,6,1,5,7,
2021-KW24,5,8,15,13,15,14,11,10,7,9,4,9,5,2,2,1,,
2021-KW25,3,3,13,6,12,12,11,8,5,4,7,3,2,1,1,1,2,
2021-KW26,7,12,7,9,18,15,17,8,7,8,4,4,3,1,,1,3,
2021-KW27,6,6,3,9,40,43,25,14,10,2,5,2,1,1,,,1,
2021-KW28,10,4,11,22,57,66,36,23,11,7,10,7,4,,3,2,3,
2021-KW29,19,8,18,39,59,61,28,22,29,23,16,14,8,5,3,,7,
2021-KW30,10,13,20,43,67,59,48,27,20,21,29,12,7,6,1,6,2,
2021-KW31,27,43,39,54,78,87,56,44,51,37,28,18,8,10,5,1,5,
2021-KW32,32,51,73,100,129,113,106,80,76,59,50,30,13,9,8,3,11,
2021-KW33,72,137,235,151,139,142,140,109,131,102,85,41,24,18,12,8,20,
