# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-22 06:58:40
# API-Download für Covid19-Fälle in SK Freiburg i.Breisgau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,1,,2,,,,,,,,,
2020-KW10,,1,,,,,,1,2,,1,,1,,,,,
2020-KW11,,1,,2,1,6,10,1,6,6,6,3,2,1,1,,2,
2020-KW12,4,1,3,4,14,24,16,20,6,17,9,19,9,3,4,4,14,
2020-KW13,3,,5,3,10,20,17,20,9,16,23,17,10,7,7,9,25,
2020-KW14,1,,,5,19,33,22,10,8,19,24,27,18,4,8,8,43,
2020-KW15,,1,,3,9,14,21,4,7,8,15,17,10,4,6,11,50,
2020-KW16,1,,1,1,1,7,5,3,4,3,6,5,1,2,3,2,12,
2020-KW17,,1,,,5,4,1,2,2,,1,1,3,,,,3,
2020-KW18,,,1,1,1,1,,,,,,1,,,,,,
2020-KW19,,,,,,,,2,,,1,,,,,,3,
2020-KW20,,1,,,1,2,1,,,,1,,,,,,,
2020-KW21,1,1,,,,,1,2,1,1,,1,1,,,1,,
2020-KW22,,,,,1,,1,,,,,,,,,,,
2020-KW23,,,,,1,,1,,,,,1,,,,,,
2020-KW24,,,1,,,,,1,,,,,,,,,,
2020-KW25,,,,,1,,,,,,1,,,,,,,
2020-KW26,,,,,,,2,,,,,,,,,,,
2020-KW27,,,,,,,,,1,,,,,,,,,
2020-KW28,1,,,,2,,,3,,,1,,,,1,,,
2020-KW29,,,,1,,,,2,,2,1,,1,1,,,,
2020-KW30,,,,,,,1,,,,1,,,1,,,,
2020-KW31,,,,,1,,5,,1,,,,1,1,,,1,
2020-KW32,1,,,,3,4,,1,,,,1,1,1,,,,
2020-KW33,1,,,4,3,6,1,2,5,1,,1,,,,,,
2020-KW34,,,1,4,7,3,2,3,2,,2,3,,,,,,
2020-KW35,1,1,1,3,5,5,5,2,1,3,2,,3,,,,,
2020-KW36,,2,2,4,3,6,5,2,4,1,,2,1,2,,,,
2020-KW37,,,2,5,7,,1,4,1,,1,,1,,,,2,
2020-KW38,2,5,,2,11,5,5,4,5,3,2,8,1,3,1,,,
2020-KW39,2,1,,3,8,10,6,2,6,1,,3,,1,1,,1,
2020-KW40,,1,2,6,7,7,3,4,2,2,2,1,1,1,,,1,
2020-KW41,1,2,6,9,8,11,8,7,5,6,6,3,2,,2,,2,
2020-KW42,3,2,9,8,22,26,18,4,6,6,4,7,5,4,1,,7,
2020-KW43,6,1,5,12,35,21,28,17,13,16,8,12,9,6,6,4,7,
2020-KW44,4,4,5,12,54,63,43,23,10,25,22,27,26,7,4,5,10,
2020-KW45,5,1,3,8,42,25,22,16,19,10,18,12,9,8,4,5,3,
2020-KW46,5,6,6,12,29,21,19,12,18,13,17,6,9,4,6,3,2,
2020-KW47,7,8,6,12,27,24,26,20,15,7,8,10,9,7,1,3,8,
2020-KW48,4,5,8,16,26,25,27,16,11,12,12,18,13,10,5,5,8,
2020-KW49,2,2,11,15,30,35,20,26,11,19,20,15,10,10,5,6,9,
2020-KW50,5,11,16,21,36,38,38,26,23,25,36,27,12,6,8,8,24,
2020-KW51,4,8,6,20,32,46,43,19,27,24,14,24,20,12,4,5,21,
2020-KW52,5,8,9,23,23,37,32,26,18,18,15,16,13,7,2,4,33,
2020-KW53,3,3,8,5,26,28,25,16,15,16,12,21,12,9,6,7,22,
2021-KW01,2,3,8,20,34,42,30,15,11,7,21,22,15,13,9,3,13,
2021-KW02,6,2,6,12,18,17,13,10,10,9,5,9,12,2,6,5,15,
2021-KW03,6,7,7,12,20,19,17,15,7,13,14,8,6,2,4,4,12,
2021-KW04,4,3,7,4,6,11,12,8,7,12,8,5,8,3,2,4,2,
2021-KW05,2,3,4,7,13,12,16,8,7,8,8,5,3,5,2,1,4,
2021-KW06,1,1,8,3,8,13,6,7,7,6,6,7,1,4,,2,2,
2021-KW07,4,2,3,1,13,6,6,4,5,4,2,4,2,2,2,3,1,
2021-KW08,1,1,2,2,6,11,9,7,4,6,7,7,1,2,,,1,
2021-KW09,8,5,5,9,14,15,11,5,6,12,8,5,4,5,2,1,1,
2021-KW10,,4,4,8,12,21,12,13,3,10,2,9,2,1,1,,1,
2021-KW11,3,3,6,16,18,18,9,11,9,18,10,12,5,4,5,4,3,
2021-KW12,9,6,11,11,23,20,23,6,15,15,13,14,10,8,5,3,4,
2021-KW13,2,4,7,9,14,15,11,8,11,10,12,14,14,1,5,3,3,
2021-KW14,5,6,2,12,20,27,17,18,15,10,14,13,12,3,7,2,2,
2021-KW15,3,4,10,9,30,17,13,14,6,15,13,14,9,7,4,2,2,
2021-KW16,5,19,20,32,18,24,21,23,16,15,14,11,11,5,2,3,5,
2021-KW17,9,13,8,16,23,20,21,16,9,8,18,12,17,6,4,1,2,
2021-KW18,8,20,20,23,14,24,21,21,12,10,13,12,12,4,1,1,3,
2021-KW19,10,11,5,6,12,13,16,13,12,7,8,5,5,9,1,1,4,
2021-KW20,4,6,6,5,4,8,7,5,4,5,11,1,1,,1,1,1,
