# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-28 05:41:13
# API-Download für Covid19-Fälle in LK Hochsauerlandkreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,1,4,2,1,1,3,5,1,4,7,3,,,,
2020-KW12,,1,1,1,6,10,8,7,9,7,13,13,8,6,2,,1,
2020-KW13,1,,1,1,7,13,9,6,4,13,18,16,12,10,5,4,1,
2020-KW14,1,1,3,8,11,6,10,7,7,7,17,12,17,5,3,12,26,
2020-KW15,1,,,4,11,7,7,5,8,5,13,8,9,7,5,3,23,
2020-KW16,,1,,3,2,1,1,,,3,7,4,4,2,2,1,7,
2020-KW17,,,,1,2,1,,2,1,2,,1,1,,,,,
2020-KW18,1,,,,1,4,1,2,2,1,1,2,4,,1,,1,
2020-KW19,,,2,1,1,,,2,1,,1,,,,,,1,
2020-KW20,,,,2,,1,1,2,,1,1,,1,,,,1,
2020-KW21,,,,2,,,,,,,1,,,,,,,
2020-KW22,,,,,,1,,1,,,,,,,,,,
2020-KW24,,,,,1,2,,,,,,,1,,,,1,
2020-KW25,,,,,,,,1,1,,,,1,,,,1,
2020-KW26,,,,,1,,,,1,2,,2,,,,,,
2020-KW27,,,,,,,1,,1,,,,,,,,,
2020-KW28,7,3,3,5,2,2,4,3,2,2,1,1,,,1,,,
2020-KW29,4,6,4,2,2,,1,4,4,3,1,3,,,,,,
2020-KW30,,1,,,,2,,,,,,,,,,,,
2020-KW31,3,1,1,,2,3,2,1,2,4,1,2,,,,,,
2020-KW32,1,,3,2,2,2,1,3,2,2,5,2,,,,,1,
2020-KW33,2,3,4,1,6,4,4,6,,1,2,2,1,,,,,
2020-KW34,1,,,,7,5,2,1,3,4,2,,,,,1,,
2020-KW35,1,,,,,2,1,1,,1,4,1,,,1,,,
2020-KW36,1,2,1,,4,2,2,1,1,,1,1,1,,,,,
2020-KW37,1,,,1,1,2,1,1,1,,,1,,,1,,1,
2020-KW38,2,1,,1,1,3,2,2,,,3,,1,1,,1,,
2020-KW39,,,,1,4,1,,,1,2,2,2,1,,,1,1,
2020-KW40,,,,3,3,3,2,1,1,2,1,4,,,,1,,
2020-KW41,1,1,,1,1,7,5,1,2,1,1,3,2,7,2,,,
2020-KW42,,1,1,3,10,8,13,4,,4,11,5,,2,1,1,1,
2020-KW43,4,7,2,13,22,17,22,18,22,18,21,19,12,8,6,4,2,1
2020-KW44,16,12,7,37,26,33,29,17,28,19,29,28,23,19,11,8,11,3
2020-KW45,11,16,19,52,36,26,25,22,30,26,39,37,16,9,6,7,12,4
2020-KW46,10,10,26,64,47,35,32,22,23,42,48,46,26,16,9,12,39,3
2020-KW47,4,7,6,22,26,29,20,14,12,19,42,30,17,7,4,12,36,1
2020-KW48,3,3,7,10,14,16,16,9,20,17,31,23,15,7,7,5,17,1
2020-KW49,2,2,4,13,21,19,15,13,13,18,30,33,12,6,10,6,16,
2020-KW50,3,2,7,15,15,13,13,9,15,19,25,24,12,5,4,10,38,
2020-KW51,2,3,6,17,25,13,21,20,17,30,25,30,21,10,7,10,35,
2020-KW52,2,3,4,11,17,22,16,17,16,18,37,23,32,13,6,9,21,
2020-KW53,1,2,1,5,13,21,11,14,13,9,11,18,12,4,7,4,17,
2021-KW01,8,5,11,9,26,24,27,17,22,29,16,20,12,8,13,8,27,
2021-KW02,4,3,2,11,20,18,17,25,16,10,30,34,17,6,5,9,23,1
2021-KW03,2,3,1,9,21,19,20,18,16,16,24,28,13,11,9,5,34,1
2021-KW04,,1,4,9,15,9,18,13,13,15,20,23,22,10,7,7,31,
2021-KW05,8,2,8,7,18,16,20,18,16,14,19,20,15,3,8,4,31,
2021-KW06,2,2,4,15,17,24,6,10,10,11,19,17,9,10,5,2,27,
2021-KW07,6,5,2,10,20,15,15,11,11,15,21,21,10,8,8,10,31,
2021-KW08,3,8,8,10,19,12,15,22,12,17,24,22,13,9,4,7,30,
2021-KW09,5,5,4,10,18,7,16,18,15,14,10,20,12,12,3,4,13,1
2021-KW10,4,7,4,6,21,14,19,5,13,18,19,23,14,4,2,4,13,
2021-KW11,9,13,9,15,18,11,12,19,19,18,19,26,13,12,6,6,8,
2021-KW12,10,13,20,20,24,27,17,23,27,28,22,19,26,12,5,3,6,
2021-KW13,12,14,15,14,16,23,22,40,23,23,19,34,28,8,18,4,4,
2021-KW14,8,9,11,24,23,34,28,21,23,19,28,23,22,18,3,3,5,1
2021-KW15,7,9,17,20,31,34,31,23,18,21,42,28,21,9,7,6,11,1
2021-KW16,8,17,19,34,35,45,34,35,31,41,35,45,21,8,4,5,9,
2021-KW17,14,25,15,27,38,30,36,34,40,36,38,36,29,14,5,6,9,
2021-KW18,15,20,21,22,28,15,31,27,28,25,27,18,23,18,15,8,15,1
2021-KW19,3,8,9,17,14,10,9,20,20,16,22,16,9,10,9,3,6,
2021-KW20,2,8,6,11,15,14,11,9,9,9,11,23,7,4,3,4,10,
2021-KW21,3,7,9,4,13,8,8,8,10,9,8,7,2,2,1,4,1,
2021-KW22,6,7,3,8,7,6,6,4,3,9,2,5,6,4,,1,3,
2021-KW23,1,7,6,6,2,5,9,3,1,1,2,2,1,1,1,,,
2021-KW24,3,2,1,2,1,2,3,,1,2,2,3,1,,,,,
2021-KW25,1,,1,4,8,3,1,,,3,4,4,1,1,1,,,
