# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-12 05:45:51
# API-Download für Covid19-Inzidenzen in LK Hochtaunuskreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,9.35,,,,,,4.96,,,,,,
2020-KW11,,,,,,,,,,30.53,19.36,,6.41,,,,5.4,
2020-KW12,,16.73,15.84,24.9,18.22,,,21.84,19.56,67.16,48.4,24.81,32.05,24.01,25.29,17.73,10.81,
2020-KW13,,,15.84,,36.44,18.7,,21.84,52.17,67.16,62.91,39.7,44.87,24.01,8.43,26.59,10.81,
2020-KW14,,,,,27.33,37.39,24.95,14.56,32.61,36.63,24.2,24.81,25.64,8.0,25.29,17.73,21.61,
2020-KW15,,,7.92,,,28.04,,29.12,32.61,6.11,4.84,4.96,6.41,16.0,8.43,8.86,37.82,
2020-KW16,,,,,,,16.63,7.28,,,4.84,4.96,,8.0,,26.59,10.81,
2020-KW17,,,,,9.11,,8.32,,13.04,6.11,14.52,,,8.0,,8.86,,
2020-KW18,,,,8.3,9.11,18.7,16.63,14.56,,,4.84,4.96,6.41,,,,,
2020-KW19,,,,,,,24.95,,,,,,6.41,,,,10.81,
2020-KW20,,,,,,,8.32,,6.52,,,,,,,8.86,,
2020-KW21,9.14,,7.92,24.9,,9.35,8.32,,6.52,,9.68,,6.41,,8.43,,,
2020-KW22,,,7.92,16.6,,18.7,16.63,,6.52,,4.84,14.89,19.23,8.0,,,5.4,
2020-KW23,,,,8.3,,,8.32,,,6.11,4.84,,,,,,,
2020-KW24,,,,,,,,,,,,,,,8.43,,,
2020-KW25,,,,,,,,,,,,,,,,,5.4,
2020-KW26,,,,,,,,7.28,,,,,,,,,,
2020-KW27,,,,,,9.35,,,6.52,,,,,,8.43,,,
2020-KW28,,,,,,,,,,,14.52,4.96,,,,,,
2020-KW29,,,,,,9.35,,,,6.11,,,,,,,,
2020-KW30,,8.37,7.92,,18.22,,,,,6.11,,,,,,,,
2020-KW31,,,,8.3,9.11,,,7.28,,,,,,,8.43,,5.4,
2020-KW32,9.14,,,16.6,18.22,,,14.56,,12.21,14.52,9.93,12.82,,,,,
2020-KW33,,,15.84,8.3,9.11,9.35,,,,6.11,,,,,,,,
2020-KW34,,8.37,7.92,24.9,9.11,46.74,24.95,14.56,19.56,6.11,9.68,9.93,,24.01,8.43,,,
2020-KW35,,,,8.3,27.33,28.04,8.32,,6.52,6.11,,,6.41,,16.86,,16.21,
2020-KW36,,,,8.3,18.22,84.13,16.63,7.28,6.52,12.21,9.68,4.96,6.41,,,,,
2020-KW37,9.14,16.73,23.76,8.3,36.44,,33.27,36.4,13.04,12.21,14.52,4.96,,16.0,,,,
2020-KW38,,16.73,23.76,49.8,45.55,18.7,16.63,14.56,39.13,24.42,9.68,9.93,6.41,8.0,,,,
2020-KW39,9.14,8.37,15.84,24.9,27.33,9.35,66.53,,19.56,6.11,14.52,9.93,6.41,16.0,8.43,8.86,10.81,
2020-KW40,,8.37,7.92,33.2,63.76,46.74,49.9,7.28,,24.42,14.52,29.78,19.23,,,,,
2020-KW41,36.57,8.37,7.92,41.5,72.87,84.13,83.17,21.84,52.17,24.42,24.2,24.81,6.41,32.01,,,16.21,
2020-KW42,9.14,25.1,15.84,66.4,154.86,168.26,149.7,87.36,65.21,97.69,72.59,44.66,51.28,40.01,33.72,44.31,27.02,
2020-KW43,9.14,16.73,63.36,165.99,255.06,140.21,191.28,152.87,123.9,103.8,101.63,84.36,102.56,40.01,42.15,88.63,59.43,
2020-KW44,45.72,33.46,79.2,116.19,282.38,252.38,182.97,116.47,228.24,140.43,96.79,104.21,102.56,32.01,84.3,97.49,113.46,
2020-KW45,18.29,41.83,47.52,165.99,227.73,214.99,133.07,123.75,163.03,195.38,154.87,138.95,102.56,120.03,92.73,132.94,102.66,
2020-KW46,18.29,25.1,87.11,157.69,364.37,205.65,216.23,232.95,241.28,189.28,193.58,228.28,230.77,104.02,109.58,177.26,540.31,
2020-KW47,36.57,58.56,55.44,199.19,245.95,243.04,191.28,167.43,182.59,152.64,275.86,263.01,96.15,96.02,168.59,106.35,216.12,
2020-KW48,9.14,33.46,47.52,74.69,173.07,130.87,149.7,94.63,149.98,54.95,116.15,74.44,38.46,32.01,92.73,132.94,318.78,
