# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-08 07:42:53
# API-Download für Covid19-Fälle in LK Biberach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,2,1,,,,,,,,
2020-KW11,,,,,,,,,,1,,1,,,,,,
2020-KW12,1,,2,15,3,4,5,6,3,4,5,6,2,5,2,,2,
2020-KW13,2,,4,6,10,9,7,10,9,9,14,14,14,7,4,6,6,
2020-KW14,,1,1,10,4,11,6,8,8,7,14,17,8,4,4,3,16,
2020-KW15,,1,,2,5,6,6,4,5,7,7,9,7,4,2,4,14,
2020-KW16,,1,,5,2,4,,1,2,3,6,4,6,1,2,2,13,
2020-KW17,,,,,7,2,3,1,1,1,5,3,3,1,1,1,5,
2020-KW18,,,1,4,3,3,2,1,2,2,5,4,,5,1,2,10,
2020-KW19,,,2,3,1,1,1,3,1,,3,1,2,1,2,4,5,
2020-KW20,,,,,4,2,,,,1,,1,1,,1,1,2,
2020-KW21,,,,,2,,,,1,2,1,,1,,1,,1,
2020-KW22,,1,2,1,,1,,1,,,3,,,2,,,2,
2020-KW23,,,,,1,,,,,,,,,,,,,
2020-KW25,,,,,,,,1,1,,,,,,,,,
2020-KW26,,,,,,5,1,1,1,1,,2,,,,,,
2020-KW27,,,,,3,4,,3,1,,,,2,1,,,,
2020-KW28,,,,,,,,,,,,2,,,,,,
2020-KW29,,,,,,,,,,,,,,,1,,,
2020-KW30,,,,,,,,,,,1,1,1,,,,1,
2020-KW31,,,,,,,,,,1,,,,,,,,
2020-KW32,,1,,,,,,,,1,2,,1,1,1,,1,
2020-KW33,,,1,,3,3,,2,2,2,1,,,,,,1,
2020-KW34,,,5,4,8,5,3,3,5,4,3,3,,,,,,
2020-KW35,,2,,4,2,3,1,2,2,2,2,1,,,,,,
2020-KW36,,1,2,1,6,4,5,4,3,1,,,1,,,,,
2020-KW37,,1,1,,2,3,1,4,,,,,,,1,,,
2020-KW38,,,1,,1,1,4,1,1,1,1,2,,,,,,
2020-KW39,,2,2,16,8,5,4,1,1,3,4,,,1,,,4,
2020-KW40,,1,1,21,12,5,2,,1,1,5,2,,1,,,1,
