# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-10 08:54:35
# API-Download für Covid19-Inzidenzen in SK Bremen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,,2.38,,,,,,
2020-KW10,,,,,,,,2.66,,,2.38,2.38,,,,,,
2020-KW11,,4.04,,,5.36,4.9,11.92,5.32,14.81,11.92,9.54,14.3,16.98,10.15,7.47,,,
2020-KW12,,,,3.9,26.79,41.62,26.23,23.94,20.73,26.82,26.22,19.06,19.81,16.92,7.47,21.37,10.1,
2020-KW13,3.54,,8.2,15.62,16.07,24.48,23.84,26.6,20.73,17.88,30.99,21.45,36.79,30.45,14.94,17.1,15.15,
2020-KW14,3.54,,,,21.43,22.04,23.84,18.62,20.73,23.84,19.07,28.6,16.98,6.77,26.15,8.55,25.25,
2020-KW15,3.54,4.04,4.1,15.62,29.47,19.59,14.31,21.28,14.81,11.92,19.07,14.3,8.49,10.15,7.47,12.82,40.41,
2020-KW16,24.79,28.29,16.41,42.95,26.79,7.35,21.46,18.62,17.77,35.76,21.46,9.53,5.66,,7.47,38.46,27.78,
2020-KW17,56.66,8.08,20.51,42.95,83.04,53.86,42.92,55.85,26.66,29.8,23.84,14.3,22.64,3.38,7.47,8.55,20.2,
2020-KW18,60.2,,4.1,11.71,56.25,48.97,40.53,29.25,14.81,14.9,7.15,21.45,19.81,6.77,14.94,8.55,7.58,
2020-KW19,10.62,8.08,16.41,31.24,66.97,39.17,26.23,47.87,5.92,23.84,19.07,19.06,5.66,6.77,14.94,21.37,32.83,
2020-KW20,28.33,12.13,,35.14,50.9,22.04,28.61,5.32,29.62,35.76,16.69,21.45,8.49,13.54,11.21,21.37,20.2,
2020-KW21,3.54,,20.51,19.52,42.86,24.48,21.46,26.6,11.85,8.94,11.92,14.3,,3.38,3.74,4.27,10.1,
2020-KW22,3.54,24.25,8.2,23.43,18.75,22.04,11.92,13.3,20.73,35.76,21.46,16.68,2.83,,7.47,8.55,7.58,
2020-KW23,3.54,4.04,,7.81,5.36,22.04,4.77,7.98,11.85,11.92,7.15,4.77,8.49,,7.47,21.37,10.1,
2020-KW24,,,12.31,11.71,24.11,14.69,4.77,5.32,5.92,8.94,14.3,7.15,2.83,13.54,3.74,4.27,12.63,
2020-KW25,7.08,8.08,8.2,11.71,10.71,14.69,7.15,2.66,2.96,8.94,11.92,4.77,2.83,,7.47,12.82,7.58,
2020-KW26,3.54,4.04,,3.9,5.36,,2.38,,2.96,2.98,,4.77,2.83,,,4.27,,
2020-KW27,7.08,,,7.81,8.04,2.45,2.38,5.32,2.96,,,2.38,2.83,,,,,
2020-KW28,3.54,4.04,,3.9,,,,,2.96,2.98,,,2.83,,,4.27,,
2020-KW29,3.54,4.04,8.2,,,7.35,2.38,2.66,,5.96,,2.38,2.83,,7.47,4.27,5.05,
2020-KW30,3.54,,,3.9,5.36,4.9,2.38,5.32,2.96,5.96,4.77,2.38,,,7.47,,7.58,
2020-KW31,,,,,24.11,9.79,4.77,2.66,17.77,8.94,,4.77,,6.77,,8.55,2.53,
2020-KW32,,4.04,4.1,3.9,5.36,7.35,2.38,2.66,5.92,5.96,4.77,7.15,2.83,,3.74,,,
2020-KW33,,,4.1,15.62,8.04,14.69,11.92,2.66,8.89,23.84,4.77,2.38,,3.38,,,,
2020-KW34,,4.04,16.41,15.62,13.39,14.69,23.84,13.3,14.81,11.92,4.77,7.15,8.49,,,,2.53,
2020-KW35,3.54,,28.71,31.24,37.5,29.38,21.46,15.96,14.81,26.82,7.15,9.53,2.83,,,,2.53,
2020-KW36,10.62,4.04,12.31,11.71,40.18,22.04,26.23,18.62,11.85,11.92,9.54,7.15,5.66,6.77,,,,
2020-KW37,7.08,4.04,4.1,35.14,45.54,17.14,11.92,5.32,11.85,5.96,11.92,4.77,8.49,3.38,,,,
2020-KW38,3.54,4.04,28.71,27.33,61.61,9.79,11.92,5.32,14.81,14.9,9.54,4.77,2.83,6.77,3.74,4.27,10.1,
2020-KW39,7.08,20.21,53.33,39.04,75.0,53.86,38.15,13.3,23.7,32.78,30.99,16.68,8.49,3.38,,4.27,7.58,
2020-KW40,7.08,28.29,65.63,46.85,88.4,73.45,47.69,39.89,50.35,68.54,45.3,47.66,25.47,13.54,7.47,17.1,20.2,
2020-KW41,3.54,28.29,82.04,179.6,166.08,115.07,88.22,74.47,97.74,116.22,92.97,90.55,56.6,16.92,33.62,8.55,30.3,
2020-KW42,21.25,20.21,65.63,195.22,174.12,127.31,83.45,119.68,103.67,122.18,107.28,90.55,70.75,13.54,22.42,29.92,22.73,
2020-KW43,46.03,32.33,57.43,320.16,230.37,205.66,183.59,140.95,133.29,175.83,171.65,112.0,93.38,47.37,63.51,72.66,78.28,
2020-KW44,67.28,121.25,201.0,359.21,388.42,359.91,298.04,287.23,290.27,298.01,238.4,231.15,149.98,81.21,100.87,98.3,108.59,
2020-KW45,56.66,105.08,184.59,452.91,393.77,347.66,274.19,244.67,296.19,262.25,264.62,204.93,183.94,155.66,115.81,72.66,85.86,
2020-KW46,74.36,117.21,242.02,324.07,270.55,208.11,228.89,218.08,201.41,274.17,164.49,128.68,133.0,91.36,82.19,102.57,121.22,
2020-KW47,38.95,101.04,196.9,245.98,187.51,181.18,188.36,167.55,198.45,223.51,150.19,164.42,121.68,60.91,85.93,81.2,184.35,
2020-KW48,42.49,52.54,118.96,167.89,184.83,137.11,126.37,125.0,168.83,143.04,181.18,123.91,104.7,54.14,59.78,98.3,141.42,
2020-KW49,24.79,52.54,114.86,163.99,147.33,117.52,181.21,138.29,130.32,157.94,133.5,126.3,82.06,57.53,63.51,89.75,128.79,
2020-KW50,49.58,64.67,69.74,148.37,190.19,186.07,171.67,180.85,162.91,149.0,126.35,133.44,130.17,87.98,82.19,106.85,181.82,
