# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-09-18 08:56:50
# API-Download für Covid19-Inzidenzen in LK Heinsberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,16.33,8.6,8.48,23.2,52.85,50.23,76.75,32.87,60.1,38.17,28.16,17.38,15.17,25.08,,,5.81,
2020-KW10,16.33,8.6,,61.86,256.72,200.92,121.52,92.04,133.56,114.52,145.48,82.56,40.44,6.27,24.19,63.27,11.62,
2020-KW11,24.5,17.2,16.96,61.86,211.42,222.45,140.71,151.22,166.96,190.86,187.71,191.2,141.54,163.04,145.16,179.27,133.66,
2020-KW12,8.17,25.8,,30.93,105.71,107.63,121.52,111.77,93.5,82.71,154.86,182.51,146.6,137.96,169.35,263.63,325.43,
2020-KW13,8.17,8.6,8.48,46.39,98.16,100.46,102.33,85.47,93.5,114.52,164.25,130.36,121.32,125.42,80.65,210.9,180.15,
2020-KW14,8.17,,,15.46,67.96,86.11,63.96,59.17,66.78,89.07,84.47,147.74,111.21,50.17,88.71,116.0,174.34,
2020-KW15,,,8.48,30.93,52.85,100.46,31.98,52.6,66.78,50.9,93.86,91.25,40.44,31.35,16.13,21.09,58.11,
2020-KW16,,,25.45,61.86,75.51,57.41,44.77,39.45,46.75,44.53,65.7,56.49,45.5,50.17,32.26,52.73,52.3,
2020-KW17,,,,23.2,22.65,7.18,,6.57,20.03,38.17,23.46,13.04,35.39,18.81,,10.55,17.43,
2020-KW18,,,,23.2,15.1,21.53,6.4,13.15,6.68,6.36,9.39,4.35,10.11,18.81,,10.55,11.62,
2020-KW19,,8.6,25.45,15.46,30.2,28.7,31.98,6.57,6.68,31.81,9.39,4.35,5.06,,8.06,,23.25,
2020-KW20,,,,,75.51,78.93,51.17,46.02,93.5,38.17,18.77,39.11,25.28,25.08,8.06,21.09,17.43,
2020-KW21,24.5,,8.48,15.46,7.55,28.7,,13.15,,12.72,14.08,,10.11,,,,,
2020-KW22,,25.8,25.45,15.46,7.55,,19.19,,13.36,6.36,4.69,4.35,25.28,6.27,,,5.81,
2020-KW23,8.17,,,7.73,7.55,7.18,,6.57,6.68,,,13.04,,,,,,
2020-KW24,,17.2,8.48,,7.55,7.18,6.4,,,6.36,4.69,4.35,5.06,,8.06,,,
2020-KW25,16.33,,,7.73,7.55,21.53,19.19,6.57,33.39,19.09,9.39,,,6.27,16.13,,,
2020-KW26,24.5,25.8,25.45,23.2,7.55,7.18,12.79,,6.68,25.45,14.08,13.04,,,,,,
2020-KW27,,8.6,,38.66,7.55,,,,13.36,,,,,,,,,
2020-KW28,,,,,,7.18,,,,,,,,,,,,
2020-KW29,,,,,,7.18,,,6.68,6.36,4.69,,10.11,6.27,8.06,,,
2020-KW30,,,,,7.55,14.35,,6.57,6.68,6.36,,4.35,5.06,,8.06,,11.62,
