# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-01-10 07:33:59
# API-Download für Covid19-Fälle in LK Cuxhaven, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,2,,,,,,2,,,,,
2020-KW11,,,,,,,,1,1,,,,,,,,,
2020-KW12,,,3,,1,,1,2,6,2,,,2,1,,1,1,
2020-KW13,,,2,,1,3,1,1,,1,3,1,1,,2,4,3,
2020-KW14,,,,,1,,,,,1,2,4,1,1,2,1,,
2020-KW15,,,,,,,1,2,,,1,1,3,1,2,,2,
2020-KW16,,,,,,,,,,,1,,1,,,2,,
2020-KW17,1,,1,1,3,,,2,,,1,1,1,2,1,1,3,
2020-KW18,,,,,,,,1,,1,,1,1,,2,4,2,
2020-KW19,1,,,2,1,5,,1,1,2,2,2,2,2,5,4,19,
2020-KW20,1,,2,2,,1,2,1,2,2,3,2,,1,,,8,
2020-KW21,,1,,,,3,3,2,,1,1,,,,,,5,
2020-KW22,1,3,7,5,5,5,4,2,2,1,3,2,1,,,1,1,
2020-KW23,5,6,6,8,9,7,2,2,4,,3,4,2,1,,,,
2020-KW24,8,4,5,5,3,6,1,1,4,3,4,3,1,,1,,,
2020-KW25,,,1,,,,,1,,,3,1,,1,,1,,
2020-KW26,,,,1,,,1,1,,,,,,2,,,,
2020-KW27,,1,1,1,,,,3,,,,,,,,,1,
2020-KW28,,,1,,,,,,,,,,,,,,,
2020-KW32,,,,,,,,2,,,,,,,,,,
2020-KW33,,,,,,1,1,1,,,,,,,,,,
2020-KW34,,3,,,1,,1,2,,,,2,,,,,,
2020-KW35,,2,1,2,1,2,1,,4,,1,1,1,1,1,,,
2020-KW36,,1,,,1,4,2,,,,1,,,,,,,
2020-KW37,,,,,,1,1,,,,1,,,,,,,
2020-KW38,,,,2,5,,,,,1,,,1,,,,,
2020-KW39,,,1,1,1,,,,1,3,,1,1,,,,,
2020-KW40,,,,,2,,,,,1,,1,,,,,,
2020-KW41,,,,1,,3,,,,,1,1,1,2,1,,,
2020-KW42,,2,,2,3,2,4,1,1,,4,2,1,1,2,,3,
2020-KW43,,2,3,6,9,4,4,3,9,1,5,4,6,3,4,3,9,
2020-KW44,3,3,6,9,17,15,12,11,5,14,10,9,9,6,3,8,12,
2020-KW45,6,6,14,12,17,9,16,7,10,12,17,11,9,3,1,1,9,
2020-KW46,3,4,12,13,12,12,9,14,11,18,9,15,5,6,3,3,12,
2020-KW47,2,3,2,9,12,8,5,5,13,9,15,8,11,6,2,4,4,
2020-KW48,,1,2,2,8,6,5,11,5,9,4,11,4,8,3,2,10,
2020-KW49,,,5,4,1,4,4,7,11,6,16,12,4,1,4,2,12,
2020-KW50,3,1,2,4,4,9,9,10,3,7,14,9,8,5,5,5,17,
2020-KW51,1,2,,7,4,10,11,7,5,8,4,7,12,6,1,5,5,
2020-KW52,,1,2,7,12,15,6,10,10,9,11,14,8,6,3,,2,
2020-KW53,,,,3,7,9,6,6,7,8,9,21,9,1,5,4,27,
2021-KW01,2,2,,10,19,16,17,11,11,12,28,14,8,7,5,8,21,
2021-KW02,,2,3,6,11,11,10,7,15,13,20,10,15,8,7,10,70,
2021-KW03,1,1,3,2,6,11,9,10,14,8,14,13,10,8,1,4,27,
2021-KW04,1,1,1,3,6,5,6,9,10,9,14,18,10,1,4,6,25,
2021-KW05,1,1,1,1,12,9,5,9,12,10,19,15,10,4,6,11,43,
2021-KW06,,1,2,3,8,5,10,10,5,6,13,9,4,2,5,9,17,
2021-KW07,,1,2,3,9,12,7,8,7,11,12,8,6,1,2,11,6,
2021-KW08,2,1,6,8,13,8,13,13,11,11,17,13,11,8,,4,8,
2021-KW09,1,,3,5,10,14,11,8,11,8,7,16,10,6,9,3,6,
2021-KW10,4,3,7,4,11,18,7,5,8,10,7,9,12,6,9,11,9,
2021-KW11,5,7,12,10,9,13,14,9,5,12,21,14,11,7,7,6,5,1
2021-KW12,7,11,5,6,19,13,12,18,7,8,12,13,8,7,4,2,19,
2021-KW13,3,4,4,8,9,9,11,10,13,11,16,9,8,6,4,6,6,1
2021-KW14,4,4,4,24,27,12,18,9,9,18,14,19,15,5,7,5,7,1
2021-KW15,5,7,11,12,15,8,16,18,8,9,13,11,7,11,4,2,7,
2021-KW16,3,8,8,9,16,15,13,5,13,10,11,11,7,3,3,4,5,
2021-KW17,2,6,8,9,10,5,6,12,8,10,12,13,9,5,4,4,4,
2021-KW18,4,5,5,9,5,6,2,7,4,4,14,8,4,2,,4,2,
2021-KW19,1,2,3,6,5,4,2,2,7,3,7,4,5,2,3,2,2,
2021-KW20,,1,3,,2,3,1,1,4,,1,2,,1,,,2,
2021-KW21,1,,,,1,2,,1,2,,,1,3,,1,,,
2021-KW22,,,5,,,,1,2,2,2,1,,1,,,,,
2021-KW23,,,,1,,1,,1,,,,1,1,,,,,
2021-KW24,,,,1,,,,,,,,,,,,,,
2021-KW26,,,,,,,1,,,,,,2,,,,,
2021-KW28,1,1,,,1,2,,,3,,1,,,,,,,
2021-KW29,,,1,,,,2,3,1,1,,,,,,1,,
2021-KW30,1,2,,3,5,6,4,7,5,3,2,,1,,,,,
2021-KW31,2,6,1,13,3,12,4,,3,3,2,2,1,1,,,,
2021-KW32,1,,,6,3,,3,2,,3,1,,1,,1,,,
2021-KW33,2,2,5,2,9,9,3,1,5,6,1,,1,1,,1,2,
2021-KW34,3,5,7,14,10,8,11,7,4,4,7,3,1,2,1,,1,
2021-KW35,8,27,10,10,7,11,11,15,11,4,9,2,2,2,,,,
2021-KW36,13,16,12,18,8,,8,6,9,7,3,3,3,,3,,1,
2021-KW37,10,9,12,11,9,6,6,8,6,5,6,3,,1,2,1,,
2021-KW38,12,11,10,7,4,9,12,6,8,9,12,9,8,,,,,
2021-KW39,10,18,8,7,11,9,7,11,8,4,4,5,8,3,2,3,5,
2021-KW40,3,14,5,10,3,3,8,4,11,4,10,6,6,3,2,1,11,
2021-KW41,2,12,9,6,5,5,5,11,3,3,2,5,7,1,1,1,,
2021-KW42,2,5,8,3,5,6,3,7,3,2,8,5,2,,,,2,
2021-KW43,1,2,5,10,10,9,5,6,8,6,9,5,1,4,2,,2,
