# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-03 08:43:13
# API-Download für Covid19-Fälle in LK Sankt Wendel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,2,,1,6,4,,2,,,,,
2020-KW12,,,1,,2,7,5,2,2,4,1,2,4,1,,,,
2020-KW13,,,,,2,1,3,,3,3,7,9,2,1,2,2,,
2020-KW14,,,1,1,2,3,1,2,3,2,6,4,6,2,,,1,
2020-KW15,1,,,,3,1,2,,2,2,3,9,2,1,1,1,2,
2020-KW16,,,,,1,,1,,,1,,,,,1,,,
2020-KW17,,,,,,1,,1,,,,,,,1,,,
2020-KW18,,,,1,,,1,,,1,,,,,,1,,
2020-KW19,,,,1,,,,,,2,,1,1,,,,1,
2020-KW20,,,,,,,,,,,,2,,,,,,
2020-KW21,,,,,,,,,,,1,,,,,,,
2020-KW22,,,,,,,,,,,,1,,,,,,
2020-KW23,,,,,,,,,,,,,,,,1,,
2020-KW24,,,,,,,,,1,,,,1,,,,,
2020-KW25,,,,,,,,,,,,,,,1,,,
2020-KW27,,,,,,,,1,,,,,,,,,,
2020-KW31,,,,,3,,,,,,1,,,,,,,
2020-KW32,,,,,,,,,,,,,,1,,,,
2020-KW33,,,,,,1,,,,,1,,1,,,1,,
2020-KW34,,,,,,,,1,,,,,,,,1,,
2020-KW35,,,,,,1,,,,,,,,,,,,
2020-KW36,,,,,,1,,,,,,,,,,,,
2020-KW37,,,1,,,,,,,,,,,,,,,
2020-KW38,,,,,,,,,,1,,,,,,,,
2020-KW39,,,,,,1,,,,,,,,,,,,
2020-KW40,,,,2,2,,,1,1,1,2,1,2,1,,,1,
2020-KW41,2,,2,5,23,5,2,4,3,1,6,2,2,1,1,1,2,
2020-KW42,3,4,10,8,10,12,9,4,7,9,11,6,9,7,2,3,9,
2020-KW43,1,4,8,6,7,13,5,9,8,14,4,14,8,4,6,3,12,
2020-KW44,6,5,3,13,8,9,8,6,7,9,17,16,18,8,8,19,27,
2020-KW45,3,3,10,11,6,5,5,9,7,7,7,12,10,2,7,2,11,1
2020-KW46,1,2,8,10,5,7,9,5,8,9,10,6,6,1,3,2,8,
2020-KW47,2,,5,2,5,7,9,7,4,3,9,10,9,,2,,7,
2020-KW48,1,6,5,2,5,4,6,1,7,6,7,3,3,3,7,2,10,
2020-KW49,1,4,3,3,10,7,2,11,10,7,9,10,7,1,3,6,37,
2020-KW50,2,1,11,11,8,7,7,6,12,15,12,16,7,4,5,3,29,
2020-KW51,3,3,2,12,3,4,4,2,11,2,5,17,8,5,2,1,23,
2020-KW52,3,1,2,7,7,11,3,2,5,3,4,10,7,3,1,2,9,
2020-KW53,,3,,3,2,10,6,1,3,3,9,8,5,5,5,5,38,
2021-KW01,1,2,1,2,10,8,2,1,2,7,13,9,7,9,7,7,23,
2021-KW02,2,2,1,4,13,4,8,6,9,4,9,7,5,5,2,8,13,
2021-KW03,1,9,3,2,4,6,5,13,5,5,5,18,12,6,3,5,17,
2021-KW04,2,3,2,2,3,2,10,3,6,5,14,12,9,7,10,4,14,
2021-KW05,1,,3,2,2,3,4,7,4,4,4,6,11,4,2,2,21,
2021-KW06,1,1,1,,3,4,3,4,2,3,8,3,5,1,3,2,14,
2021-KW07,6,5,2,3,5,8,11,4,5,3,5,8,2,4,3,3,5,
2021-KW08,2,2,1,1,9,5,4,8,2,9,4,9,7,3,3,2,4,
2021-KW09,,3,1,2,4,4,4,3,6,4,6,10,7,5,2,5,6,
2021-KW10,,,,3,6,5,1,5,,1,3,4,4,5,,3,2,
2021-KW11,4,2,2,2,1,9,5,4,6,5,9,5,7,,5,6,6,
2021-KW12,3,1,3,3,2,1,3,3,4,3,6,4,2,,,1,4,
2021-KW13,3,7,3,2,2,2,5,3,4,7,3,6,2,1,,1,1,
2021-KW14,2,2,,3,6,5,3,1,2,2,3,8,4,3,1,1,1,
2021-KW15,1,6,10,11,7,3,6,2,5,9,13,10,11,1,4,2,1,
2021-KW16,4,4,1,3,12,10,9,6,5,8,12,3,7,6,2,2,2,
2021-KW17,4,6,4,6,10,10,10,9,2,7,3,8,7,2,1,1,3,
2021-KW18,3,6,2,1,4,6,7,2,2,4,4,2,8,1,2,3,1,
2021-KW19,2,3,3,5,4,,6,2,4,4,5,6,,,,1,1,
2021-KW20,4,8,10,8,4,3,3,7,7,4,4,4,2,3,,,1,
2021-KW21,3,4,4,1,4,4,8,3,1,5,1,2,2,2,,,,
2021-KW22,2,4,1,1,2,5,3,1,,1,,2,,2,,,,
2021-KW23,1,,,,1,1,1,1,1,1,1,1,,,,,1,
2021-KW24,2,1,,,,,,,,1,,,,1,,,,
2021-KW25,,,,,,,1,,,,,,,,,1,,
2021-KW26,,1,,,,,,1,1,,,,,,,,,
2021-KW27,1,,2,1,,,1,1,,1,,1,,,,,1,
2021-KW28,,,,,,,,,,,,,1,,,,,
2021-KW29,,,1,,3,1,,,1,,,,,,,,,
2021-KW30,,,,,2,,,,,,,,,,,,,
2021-KW31,,2,1,1,1,,1,,2,,,,,,,,,
2021-KW32,1,,,1,,1,2,1,,,,,,,,,,
2021-KW33,8,6,5,,1,3,3,1,1,1,1,1,,1,,,,
2021-KW34,3,3,11,5,6,5,4,3,4,1,4,1,3,1,,,1,
2021-KW35,5,11,5,7,4,,3,1,2,2,1,1,2,,,,,
2021-KW36,3,7,5,3,1,5,3,5,2,3,1,2,2,1,,,,
2021-KW37,1,1,3,1,2,4,4,2,1,,3,3,1,,,,,
