# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-01 07:38:33
# API-Download für Covid19-Fälle in LK Lüneburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,1,1,1,,,,,,,,
2020-KW12,,,,2,7,7,15,6,3,3,4,6,,1,,,2,
2020-KW13,1,,,,2,1,2,3,1,2,5,2,1,,,,,
2020-KW14,2,,1,2,2,10,10,,4,,1,2,2,1,,1,,
2020-KW15,,,,,3,1,4,1,,2,3,1,3,,,2,1,
2020-KW16,,,1,2,,2,4,1,2,2,1,2,,,,,,
2020-KW17,,,,,,,1,2,,,,,1,,,2,,
2020-KW18,,,,,,,,,,,,1,,,,,,
2020-KW19,,,1,,,,,,1,,,1,1,,,,,
2020-KW24,,,,,1,,,,,,,,,,,,,
2020-KW28,,,,,,,1,,,,,,,,,,,
2020-KW30,1,1,,1,,1,1,1,,,,2,,,,,,
2020-KW31,,,,,1,,,,,,,,,,,,,
2020-KW32,,,,,,,,1,,,,1,,,,,,
2020-KW33,,,2,,1,,1,,,,,1,1,,,,,
2020-KW34,,,,1,6,1,,,1,,1,,,,,,,
2020-KW35,,,,4,3,1,,,,,2,,,,,,1,
2020-KW36,,,,2,,2,,1,,1,,,,,,,,
2020-KW37,,,,,2,,,,,1,,1,1,,,,,
2020-KW38,,,,,,1,1,,,,,2,4,,,,,
2020-KW39,,,,,,1,2,1,3,,,,,,,,,
2020-KW40,1,1,1,,,2,2,1,,2,,1,2,,,,1,
2020-KW41,2,,,1,1,4,,4,1,,,2,2,,1,,2,
2020-KW42,2,,,1,1,4,2,1,,1,3,,,,,,,
2020-KW43,,,1,,5,2,3,,3,2,3,,2,,2,1,7,
2020-KW44,1,,,2,13,19,8,6,8,9,11,9,4,4,5,,5,
2020-KW45,5,8,4,4,20,12,18,9,14,16,11,13,8,4,4,,1,
2020-KW46,,2,3,5,13,10,6,4,9,6,5,11,7,1,4,1,1,
2020-KW47,,2,5,7,5,18,4,8,9,8,13,7,4,2,,,2,
