# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-01 08:48:52
# API-Download für Covid19-Fälle in LK Göppingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,1,,,,,,,,,,,,,
2020-KW10,,,,,,1,,1,,,,,,,,,,
2020-KW11,,,3,2,3,3,4,2,1,4,9,8,2,3,3,2,1,
2020-KW12,,2,4,3,7,14,11,5,18,7,13,17,9,6,7,6,10,
2020-KW13,2,1,4,3,11,11,13,11,19,13,23,18,17,11,13,13,8,
2020-KW14,,4,6,5,13,15,5,9,8,10,17,17,6,9,10,10,24,
2020-KW15,,,1,2,9,8,6,4,13,9,13,12,10,1,5,3,17,
2020-KW16,,,,,2,3,2,2,3,3,5,8,5,1,4,5,11,
2020-KW17,,,,1,,2,1,2,,1,,,1,2,4,2,3,
2020-KW18,,,,,2,1,,2,1,1,,1,1,,,2,9,
2020-KW19,,,1,,,3,1,,1,,1,1,,,,,1,
2020-KW20,,,,,,,,,,,1,,,,,,,
2020-KW21,,,,,,,2,1,,,,1,,,,,,
2020-KW22,,,,,,1,,,,,,,,,,,2,
2020-KW23,,,,,,1,,,,,,,,,,,,
2020-KW24,,,,,,,,,,,,1,,,,1,2,
2020-KW25,,,,,,1,,,,,,,,1,1,,,
2020-KW26,,,2,1,3,1,,,1,2,2,1,2,,1,1,1,
2020-KW27,2,,,,,1,1,,1,,1,1,,,,,,
2020-KW28,,,,,,,,1,1,,1,,,,,,,
2020-KW29,,1,4,,,,1,,4,,1,1,,1,,,,
2020-KW30,,,1,2,,1,2,,2,1,,,1,1,,,,
2020-KW31,,,2,2,,2,1,2,,,,1,,,,,,
2020-KW32,,1,,11,1,2,2,,2,,,,,1,,,,
2020-KW33,1,1,1,1,4,6,5,2,1,1,3,,1,,1,,,
2020-KW34,2,2,7,3,5,4,5,6,7,3,3,,1,,1,1,,
2020-KW35,2,3,4,6,9,5,7,3,2,1,3,2,1,1,,,1,
2020-KW36,1,,3,5,4,3,2,1,2,5,2,,2,,,,,
2020-KW37,2,3,9,5,5,7,3,7,3,2,1,3,,1,,,1,
2020-KW38,1,2,2,5,6,4,4,5,3,7,3,2,3,2,1,,1,
2020-KW39,,,1,6,3,2,3,4,4,1,3,1,1,1,,,,
2020-KW40,4,3,2,2,3,1,5,4,4,5,2,4,3,,,,1,
2020-KW41,,3,4,6,3,12,8,12,10,15,11,11,4,2,2,3,,
2020-KW42,4,7,5,8,26,19,13,11,12,18,15,17,6,7,4,2,3,
2020-KW43,10,12,7,22,26,27,27,26,21,20,22,16,16,7,7,2,5,
2020-KW44,4,5,12,16,37,30,39,25,31,32,40,32,29,7,7,5,8,8
2020-KW45,8,11,16,25,41,51,37,25,32,40,46,32,23,17,7,11,15,8
2020-KW46,5,7,13,24,40,32,31,30,30,45,36,27,23,16,12,9,47,2
2020-KW47,3,4,11,29,44,34,32,41,35,34,28,38,24,12,12,14,59,6
2020-KW48,3,8,8,14,31,31,29,31,29,26,35,28,25,18,10,17,41,1
2020-KW49,5,6,20,24,33,27,24,23,40,43,33,38,21,12,14,12,45,6
2020-KW50,10,7,10,26,31,25,31,32,26,41,38,36,26,11,8,14,47,2
2020-KW51,15,24,17,27,42,37,36,25,41,55,52,47,35,9,11,17,61,
2020-KW52,4,8,9,21,29,24,12,24,23,36,34,45,19,12,6,9,37,1
2020-KW53,1,4,2,17,24,26,19,24,25,27,28,37,18,14,13,9,30,
2021-KW01,1,4,7,14,25,20,23,22,28,18,35,27,20,13,8,12,24,1
2021-KW02,5,3,4,24,30,19,22,12,30,25,22,24,22,11,18,9,17,
2021-KW03,8,4,3,9,10,17,22,18,14,11,24,26,8,2,2,4,13,
2021-KW04,1,1,6,8,11,10,12,7,9,10,15,16,10,2,6,5,5,
2021-KW05,3,6,2,8,9,8,9,8,7,7,5,4,4,6,1,1,10,
2021-KW06,2,2,1,4,12,8,16,9,9,13,7,11,6,,4,1,9,
2021-KW07,1,3,3,2,6,9,10,5,15,12,14,9,3,2,3,2,16,
2021-KW08,7,5,4,6,10,7,14,7,9,5,13,6,4,4,3,1,11,
2021-KW09,8,7,4,11,9,14,13,9,14,15,12,13,8,1,4,3,5,
2021-KW10,19,19,9,15,12,23,30,23,25,25,18,29,24,10,4,7,18,
2021-KW11,13,23,13,18,13,25,31,33,18,27,25,26,20,17,8,12,23,
2021-KW12,12,7,14,14,25,24,31,24,20,30,23,33,17,11,7,7,11,
2021-KW13,17,5,12,15,33,31,38,24,28,23,32,34,6,12,8,6,14,
2021-KW14,16,16,23,19,55,46,42,49,39,44,61,45,29,19,10,7,11,
2021-KW15,9,17,37,43,68,44,60,47,57,46,55,48,37,16,17,10,16,
2021-KW16,16,26,23,44,50,40,60,41,65,59,62,72,41,30,9,14,14,
2021-KW17,34,30,23,52,54,54,58,57,67,69,57,64,37,16,14,13,22,
2021-KW18,13,31,33,42,38,29,53,39,57,39,42,47,29,12,8,10,13,
2021-KW19,15,19,29,25,32,32,41,32,26,27,31,29,28,13,6,6,19,
2021-KW20,11,11,16,17,21,19,20,23,19,9,16,12,14,12,3,6,4,
2021-KW21,3,8,8,4,7,10,10,14,7,7,9,13,6,6,4,1,3,
2021-KW22,3,2,5,7,7,6,6,5,3,6,3,6,8,4,3,2,5,
2021-KW23,,9,5,7,2,3,6,6,6,3,3,2,4,1,1,1,1,
2021-KW24,7,6,7,6,3,5,9,9,7,3,2,7,4,1,1,,,
2021-KW25,3,8,5,9,4,,2,6,7,3,,1,3,3,1,,3,
2021-KW26,1,4,1,4,3,3,1,2,2,2,1,,1,,1,,1,
2021-KW27,,,1,1,5,4,2,5,1,3,2,1,,2,2,,1,
2021-KW28,,1,1,,2,1,3,1,1,,3,2,1,,,1,,
2021-KW29,3,2,2,2,3,5,4,7,2,4,,1,1,,,1,1,
2021-KW30,2,4,8,1,5,4,3,6,5,5,8,2,2,2,2,3,,
2021-KW31,1,2,,3,11,5,6,2,4,,6,3,,3,,2,1,
2021-KW32,2,2,5,10,12,14,10,5,6,2,6,4,,2,1,1,2,
2021-KW33,5,7,10,14,18,25,18,11,10,7,9,8,3,5,2,,1,
2021-KW34,7,6,13,21,28,29,12,17,20,15,15,15,2,2,7,2,1,
2021-KW35,7,21,15,23,42,29,29,27,20,28,13,13,7,3,6,2,1,
2021-KW36,10,15,24,22,34,23,19,23,21,19,21,13,6,5,,1,6,
2021-KW37,21,29,34,30,28,25,22,21,22,19,17,17,6,2,8,6,4,
2021-KW38,10,32,29,14,15,15,17,15,13,12,10,12,7,5,3,6,12,
2021-KW39,5,24,54,19,25,17,25,15,18,15,15,7,6,7,3,1,10,
2021-KW40,9,14,32,28,16,17,17,16,15,24,13,16,5,3,2,1,8,
2021-KW41,10,32,52,44,29,15,13,31,29,19,18,20,7,7,3,1,6,
2021-KW42,6,28,47,36,26,18,29,21,34,26,24,27,16,8,6,11,34,
2021-KW43,16,46,49,51,42,36,38,40,44,37,31,43,13,20,20,11,30,
2021-KW44,23,35,35,48,52,52,61,47,56,54,48,36,26,12,21,15,28,
2021-KW45,26,81,119,100,96,84,75,79,87,97,87,69,59,18,34,17,35,2
2021-KW46,29,101,137,94,76,108,108,108,99,119,113,87,67,47,32,27,49,4
2021-KW47,42,140,226,137,81,84,138,107,133,106,106,91,65,44,31,32,49,3
2021-KW48,47,138,191,113,91,111,120,125,136,128,104,97,64,46,29,20,41,
2021-KW49,43,135,110,78,70,78,101,123,106,102,81,62,61,28,25,17,32,2
2021-KW50,46,122,116,69,53,45,75,78,72,52,43,51,38,17,8,8,30,
2021-KW51,22,66,52,44,34,34,45,47,44,42,35,44,18,18,9,11,12,2
2021-KW52,15,38,43,37,56,42,53,45,60,44,42,34,21,19,8,7,14,
2022-KW01,20,42,50,66,79,84,79,54,52,56,37,45,22,11,9,7,14,2
2022-KW02,50,113,107,167,142,131,113,113,92,90,87,63,37,13,17,4,15,1
2022-KW03,142,316,233,181,181,166,200,233,205,142,130,106,73,33,20,14,23,2
2022-KW04,289,564,510,285,219,263,321,379,347,233,205,181,114,45,31,12,65,7
2022-KW05,208,571,573,348,269,266,343,410,425,310,276,187,138,69,39,31,83,6
2022-KW06,190,512,521,380,314,323,348,398,407,294,267,260,146,73,59,36,95,3
2022-KW07,157,369,435,375,356,341,355,386,358,276,281,268,170,97,60,43,118,2
2022-KW08,131,326,290,267,337,287,292,312,264,239,242,242,172,73,46,32,85,4
2022-KW09,122,254,273,254,344,325,328,331,290,261,282,266,184,83,49,35,84,1
2022-KW10,159,321,328,441,402,344,425,365,344,309,394,357,267,108,72,62,114,
2022-KW11,196,345,320,357,373,370,373,366,345,308,401,413,261,140,125,67,118,8
2022-KW12,158,351,333,373,332,359,408,361,371,281,388,417,293,165,113,91,121,9
2022-KW13,93,212,254,280,254,265,282,300,282,276,280,331,214,117,82,56,114,5
2022-KW14,75,155,173,177,160,175,204,195,206,192,212,209,161,95,57,30,76,5
2022-KW15,53,142,121,124,143,136,163,144,135,142,182,150,115,67,37,17,78,6
2022-KW16,24,61,71,90,130,137,154,128,152,136,178,154,101,52,29,22,67,1
2022-KW17,21,45,58,78,97,79,103,82,75,80,102,125,81,41,32,33,50,
2022-KW18,23,34,53,72,53,69,69,71,79,68,78,90,55,43,29,19,24,
2022-KW19,21,31,57,51,50,66,71,76,56,43,71,80,47,33,27,17,25,2
2022-KW20,16,19,33,34,40,47,42,52,40,40,43,46,40,26,15,9,15,1
2022-KW21,2,12,9,17,24,34,27,17,28,28,25,28,23,9,6,6,10,
2022-KW22,2,1,,1,1,,,1,,,2,4,2,1,,,1,
