# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-19 07:36:41
# API-Download für Covid19-Fälle in LK Herzogtum Lauenburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,1,,,,,,,,,,,,
2020-KW11,,,,,,,3,,2,,2,1,,1,,,,
2020-KW12,2,,,,3,5,1,,,7,7,1,1,1,1,1,,
2020-KW13,1,,1,1,3,6,5,7,3,1,2,3,3,1,1,2,1,
2020-KW14,,,,,3,3,1,8,10,5,10,11,1,5,3,5,10,
2020-KW15,,1,1,2,4,6,1,2,2,4,2,6,2,2,,2,5,
2020-KW16,1,,1,1,5,1,2,1,3,1,3,7,3,1,,,1,
2020-KW17,,2,,1,3,2,1,1,1,,1,2,1,2,4,1,5,
2020-KW18,,,,,,,,,,,1,1,1,,,,1,
2020-KW19,,,,,,1,,,,,,,,,,,1,
2020-KW20,,,,,,,,,,,,1,,1,,,,
2020-KW23,,,,,,1,,,,,,,,,,,,
2020-KW25,,,,,,,,1,,,,,,,,,,
2020-KW26,,,,,,,,1,,,,,,,,,1,
2020-KW27,,,,,,,,,,1,,,,,,,,
2020-KW29,,1,1,,,,,,,,,,,,,,,
2020-KW30,,,,,1,,,1,,,,,,,,1,,
2020-KW31,,1,,,,,2,,1,,,,,1,1,,,
2020-KW32,,1,2,2,,,,2,,2,,,,,,,,
2020-KW33,,,,1,3,,,,,,,,,,,,,
2020-KW34,,,,,,,,,,,1,,,,,,,
2020-KW35,,,2,1,1,,1,,4,2,,1,,,,,1,
2020-KW36,2,1,,,2,,2,,2,,,1,1,,1,,,
2020-KW37,,,,,,2,2,,1,,,,,,,,,
2020-KW38,1,,2,1,1,3,4,1,2,,4,,,,,,,
2020-KW39,,,,,7,,2,,,1,,1,,,1,,,
2020-KW40,,,,,,1,1,1,1,,,1,1,,,,1,
2020-KW41,,,,2,,1,,1,,3,4,,1,1,,,,
2020-KW42,,,1,1,2,3,1,5,2,1,2,3,1,,,,1,
2020-KW43,3,1,4,11,6,6,10,6,7,8,12,8,8,1,3,,2,
2020-KW44,1,8,8,13,8,7,10,16,7,13,11,9,5,3,1,,1,
2020-KW45,1,12,8,12,15,14,9,7,4,6,3,13,4,3,4,1,3,
2020-KW46,6,2,4,5,12,8,11,6,7,8,7,8,12,,,2,3,
2020-KW47,5,2,4,9,5,4,9,8,15,9,9,5,3,3,2,3,3,
2020-KW48,7,9,8,5,6,11,10,8,10,6,11,10,5,2,1,5,3,
2020-KW49,2,2,5,10,14,11,10,2,10,10,9,10,8,3,,2,17,
2020-KW50,,4,5,7,18,10,7,6,10,15,9,15,9,4,4,6,12,
2020-KW51,4,3,2,11,12,13,8,15,14,17,19,18,8,9,4,2,7,
2020-KW52,4,1,2,6,7,13,16,11,17,14,10,15,11,3,4,3,5,
2020-KW53,3,5,5,8,24,6,20,11,10,10,19,16,10,7,4,6,25,
2021-KW01,4,3,3,11,16,8,20,9,19,18,22,19,23,11,9,10,30,
2021-KW02,,1,2,6,9,7,13,11,11,11,11,15,9,5,2,6,32,
2021-KW03,,2,5,6,10,12,11,10,10,14,16,12,17,7,5,7,40,
2021-KW04,4,3,4,5,7,9,10,12,11,9,14,14,5,3,5,3,16,
2021-KW05,5,4,4,5,13,16,14,10,9,12,18,14,19,9,6,5,23,
2021-KW06,3,3,,7,12,7,12,5,7,7,15,13,8,7,4,4,28,
2021-KW07,1,4,3,7,7,5,7,9,10,9,14,12,8,5,4,10,14,
2021-KW08,3,5,2,4,5,4,13,12,5,7,12,10,4,5,4,9,21,
2021-KW09,5,2,5,10,6,5,15,8,4,11,6,10,6,2,5,9,22,
2021-KW10,6,7,4,7,16,12,11,5,14,12,11,10,7,9,4,4,12,
2021-KW11,4,7,6,8,14,7,18,9,16,11,14,12,8,1,3,2,5,
2021-KW12,5,2,5,5,12,19,19,12,14,14,14,17,10,3,4,3,6,
2021-KW13,16,15,15,12,12,13,21,17,16,16,21,18,12,2,5,4,6,
2021-KW14,17,26,14,24,12,22,15,32,20,9,22,16,14,7,3,1,8,
2021-KW15,12,17,15,19,21,18,26,21,19,19,22,12,13,4,4,8,5,
2021-KW16,7,12,8,11,17,9,15,12,16,8,16,20,7,2,4,2,5,
2021-KW17,9,8,15,11,9,12,6,17,19,10,8,14,7,1,1,4,2,
2021-KW18,12,13,15,6,13,13,9,10,11,10,8,11,6,4,3,2,1,
2021-KW19,4,12,2,11,11,8,7,7,9,10,15,12,8,,3,1,1,
2021-KW20,2,2,7,6,2,9,3,6,5,3,5,5,2,5,3,,1,
2021-KW21,4,4,2,9,1,3,5,5,2,6,2,1,5,2,,,1,
2021-KW22,1,4,,1,2,1,3,2,3,1,1,2,1,1,,,1,
2021-KW23,1,3,2,1,,2,1,1,4,3,1,1,,,,,,
2021-KW24,,1,1,1,,2,2,1,,3,1,,,,2,,,
2021-KW25,,1,2,,,,,1,1,,,,,,1,1,,
2021-KW26,,1,,1,1,1,,1,,,,,,,,,,
2021-KW27,,,,,1,,,,,2,,1,,1,,,,
2021-KW28,,,,3,4,4,1,1,1,,,1,,,,,1,
2021-KW29,,1,,4,7,,5,,2,1,2,2,,,,,,
2021-KW30,2,1,3,8,2,4,4,5,2,5,1,3,1,,,,,
2021-KW31,3,9,10,12,6,6,5,10,9,3,1,,1,3,1,,,
2021-KW32,6,9,19,9,9,7,3,7,11,9,6,4,6,1,2,1,,
2021-KW33,10,15,14,7,7,9,12,9,10,7,3,3,1,2,1,1,,
2021-KW34,3,10,13,10,13,8,10,6,6,2,2,5,3,1,,1,1,
2021-KW35,7,9,25,18,16,9,15,9,8,8,6,4,,1,1,1,1,
2021-KW36,3,18,12,9,9,16,11,6,9,7,3,2,1,3,3,,5,
2021-KW37,2,8,4,6,4,3,6,6,6,3,4,1,3,4,2,,3,
2021-KW38,1,6,3,4,8,4,4,3,7,2,1,,3,1,,1,1,
2021-KW39,2,2,6,4,3,5,5,2,3,1,2,2,,,,,,
2021-KW40,3,,,3,2,4,6,5,2,1,,1,,2,,2,14,
2021-KW41,,2,2,3,3,5,7,9,3,2,7,5,,,,1,2,
2021-KW42,5,12,12,7,9,5,11,12,10,12,23,8,12,2,3,5,3,
2021-KW43,5,22,31,26,8,9,20,13,11,10,18,9,5,5,1,6,19,
2021-KW44,2,17,19,12,17,8,7,18,20,11,14,20,8,4,4,1,5,
2021-KW45,8,30,29,13,15,13,20,25,20,22,18,14,8,6,4,4,13,
2021-KW46,13,59,57,16,20,20,22,31,24,34,18,25,16,13,12,10,9,
2021-KW47,19,51,41,32,19,17,21,44,52,31,38,29,14,16,14,14,15,
2021-KW48,18,41,37,16,10,18,28,35,35,25,31,28,15,17,6,9,10,
2021-KW49,23,54,37,20,26,31,31,34,35,33,34,24,13,6,3,6,10,
2021-KW50,29,54,55,31,36,30,41,45,37,24,40,28,16,9,5,2,6,
2021-KW51,11,52,41,34,40,31,40,31,41,16,31,22,16,11,4,5,10,
2021-KW52,17,43,43,64,80,53,55,45,44,45,56,36,19,17,6,5,16,
2022-KW01,37,72,76,159,204,101,92,104,91,51,85,75,50,19,17,9,18,
2022-KW02,66,141,130,151,123,118,148,138,127,123,104,79,62,15,9,6,38,1
2022-KW03,89,271,228,157,132,130,150,202,178,136,130,114,57,23,16,17,67,5
2022-KW04,115,301,270,181,136,145,188,245,220,152,138,97,72,29,17,23,46,5
