# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-08 05:46:46
# API-Download für Covid19-Fälle in SK Salzgitter, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,2,,,,,,,
2020-KW12,,,,,,,,,2,4,2,1,4,6,2,2,,
2020-KW13,,,,1,,1,1,1,1,,5,2,4,3,1,2,3,
2020-KW14,,,,1,3,1,2,,2,2,3,1,3,,,2,2,
2020-KW15,,,2,1,6,,1,,2,3,3,2,,1,3,,1,
2020-KW16,,,,,1,,,1,1,,2,3,1,2,2,2,4,
2020-KW17,,1,,1,1,1,1,1,1,,1,1,,,,,1,
2020-KW18,,,,,,,2,1,,,,,1,1,,,,
2020-KW19,,,,,,,,,,,,2,,,,,,
2020-KW20,2,,,,,1,2,1,,,,,,,,,,
2020-KW21,,,,,1,,,,,,,,,,,,,
2020-KW22,,1,,,,,1,,,,,,,,,,,
2020-KW23,,,,,2,,,,,1,,,,,,,,
2020-KW25,1,,1,1,,1,,,,1,,,,,,,,
2020-KW26,,,,,,,,,1,1,1,,,,,,,
2020-KW27,,,1,,1,,,1,,3,,,,,,,,
2020-KW28,1,,,,,,,,,,,,,,,,,
2020-KW29,,,,1,1,,,,1,,,,,,,,,
2020-KW31,,,,1,,,,,1,,,,,,,1,,
2020-KW32,,,,2,2,,,,,,,2,,,,,,
2020-KW33,,,,1,3,1,,3,,,,2,,,,,1,
2020-KW34,,3,2,2,3,2,4,1,1,1,1,1,,,1,,,
2020-KW35,,1,1,2,5,2,,,3,,,,1,,,,,
2020-KW36,,2,,2,,2,,1,,1,1,1,,,,,,
2020-KW37,1,1,1,,,1,1,2,,,,2,,,,,,
2020-KW38,3,1,2,1,2,2,1,2,2,4,1,1,2,,,,,
2020-KW39,,,1,,,1,,,,1,,,,,,,,
2020-KW40,,,1,,,,,,,,,,,1,1,1,,
2020-KW41,,,,,1,1,1,,,,,2,1,,,,,
2020-KW42,5,1,3,3,1,1,2,4,3,2,5,1,1,,,,,
2020-KW43,3,3,3,3,6,8,4,3,5,5,6,5,2,,2,,3,
2020-KW44,6,9,7,16,20,15,6,16,6,14,11,8,9,6,3,,3,
2020-KW45,10,12,21,11,21,17,14,18,11,17,10,8,3,6,7,2,3,
2020-KW46,8,6,19,26,26,25,15,16,19,19,10,19,6,7,3,8,23,
2020-KW47,9,18,7,6,9,11,21,14,16,21,7,11,1,4,10,10,40,
2020-KW48,6,3,3,5,13,12,7,17,6,6,7,11,3,4,4,3,8,
2020-KW49,2,6,6,3,13,11,8,6,4,3,7,2,6,,1,1,6,
2020-KW50,3,4,8,9,11,10,8,10,8,8,9,12,4,2,,2,5,
2020-KW51,7,13,12,12,13,8,12,12,10,9,15,13,10,2,4,3,1,
2020-KW52,1,5,3,10,10,11,4,10,6,4,3,3,5,1,1,,3,
2020-KW53,2,2,4,9,8,5,10,4,4,4,3,11,1,4,1,1,3,
2021-KW01,1,6,11,8,14,10,7,12,14,5,8,9,7,2,4,,2,
2021-KW02,6,7,2,9,11,8,15,6,11,3,4,5,4,2,1,,2,
2021-KW03,6,6,4,8,8,8,2,6,9,3,7,3,7,3,2,,1,
2021-KW04,2,13,6,10,10,10,4,1,4,11,8,14,4,5,,2,,
2021-KW05,10,2,2,2,6,12,5,6,4,7,7,7,4,4,1,1,5,
2021-KW06,1,2,4,7,8,2,3,13,7,5,10,4,7,3,2,5,20,1
2021-KW07,3,6,6,8,10,13,2,6,9,8,8,7,6,1,3,3,6,
2021-KW08,4,6,5,18,13,10,10,6,8,7,7,4,1,5,4,,3,
2021-KW09,13,10,4,15,7,6,6,4,11,10,4,4,4,6,1,,3,
2021-KW10,3,9,14,23,21,10,15,17,23,19,8,4,18,6,1,2,7,
2021-KW11,14,21,10,26,20,18,9,14,18,17,19,11,5,9,3,,8,
2021-KW12,21,14,9,16,19,21,21,13,13,25,19,13,14,2,9,2,5,
2021-KW13,18,19,21,26,25,16,16,26,17,24,14,15,9,5,5,7,3,1
2021-KW14,18,24,14,29,31,24,21,22,20,18,18,14,20,9,2,3,4,
2021-KW15,24,25,20,27,29,30,25,28,19,21,27,14,16,6,5,7,4,
2021-KW16,28,23,27,38,38,34,29,20,24,21,30,27,8,7,5,5,12,
2021-KW17,18,8,13,15,31,17,17,18,13,12,16,10,9,7,5,2,6,
2021-KW18,18,17,13,14,21,17,12,12,14,13,12,22,3,5,2,,3,
2021-KW19,8,12,5,3,10,10,8,9,8,9,7,5,1,2,1,,3,
2021-KW20,9,7,12,11,10,7,8,7,7,6,9,4,2,2,,,,
2021-KW21,3,5,5,4,6,3,3,5,,5,2,2,2,,,,,
2021-KW22,6,1,6,3,1,2,4,1,2,1,1,1,,,,,,
2021-KW23,1,,2,1,1,,1,2,,,1,1,,,1,,,
2021-KW24,1,1,,,,1,1,,,,,,,,,,,
2021-KW25,2,1,1,1,,,1,,1,,,,,,,,,
2021-KW26,,,1,,,,1,,,,1,,,,,,,
