# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-30 05:57:31
# API-Download für Covid19-Inzidenzen in SK Kiel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,4.57,12.91,14.49,12.29,,7.32,5.68,11.67,,,,,,
2020-KW12,,,,,13.7,30.13,24.16,12.29,21.55,7.32,5.68,11.67,7.0,,19.31,10.49,,
2020-KW13,,,,9.4,18.26,38.74,28.99,12.29,14.36,14.64,28.42,23.33,35.01,50.9,57.92,94.41,67.09,
2020-KW14,,,,18.79,13.7,30.13,4.83,30.72,21.55,36.6,39.79,23.33,21.01,16.97,28.96,10.49,33.54,
2020-KW15,,,,9.4,9.13,17.22,9.66,,21.55,,28.42,11.67,14.0,25.45,28.96,10.49,20.13,
2020-KW16,,,10.37,18.79,4.57,12.91,,6.14,7.18,36.6,22.74,,7.0,25.45,19.31,20.98,6.71,
2020-KW17,,,10.37,,9.13,12.91,19.32,24.58,7.18,7.32,17.05,5.83,14.0,16.97,9.65,41.96,20.13,
2020-KW18,,,,9.4,4.57,,9.66,6.14,,21.96,11.37,11.67,,,9.65,,,
2020-KW19,,,10.37,9.4,,4.3,9.66,,7.18,,11.37,5.83,,16.97,,,,
2020-KW20,,,,,,,4.83,,,,,,,,,,,
2020-KW22,,,,9.4,,,,,,,,,,,,,,
2020-KW24,8.96,,,,,,,6.14,,,,,,,,,,
2020-KW26,,,,9.4,,,4.83,,,,,,,,9.65,,,
2020-KW27,,10.14,10.37,,4.57,4.3,9.66,,,7.32,,17.5,,,,,,
2020-KW28,,,,,4.57,,4.83,,,,,,,,,,,
2020-KW29,,10.14,20.74,9.4,9.13,,9.66,6.14,14.36,7.32,,,,,,,,
2020-KW30,,,,,4.57,,9.66,12.29,,7.32,,,,,,,,
2020-KW31,,,10.37,,4.57,4.3,4.83,,21.55,,28.42,23.33,,,,31.47,6.71,
2020-KW32,,10.14,20.74,9.4,9.13,8.61,4.83,6.14,14.36,14.64,5.68,5.83,,,9.65,,,
2020-KW33,17.92,40.56,62.23,28.19,4.57,4.3,19.32,24.58,28.73,21.96,11.37,11.67,7.0,16.97,,,,
2020-KW34,8.96,30.42,20.74,18.79,4.57,38.74,9.66,6.14,14.36,21.96,11.37,,7.0,8.48,,,6.71,
2020-KW35,8.96,10.14,,9.4,,,9.66,12.29,,,5.68,,,,,10.49,,
2020-KW36,,,,,9.13,,,6.14,,14.64,,,,,,,,
2020-KW37,,10.14,10.37,18.79,,4.3,,,,14.64,11.37,,14.0,,,,6.71,
2020-KW38,,,,,4.57,4.3,9.66,,,,17.05,,,,,,,
2020-KW39,,,,9.4,,4.3,4.83,6.14,,7.32,,,,,,10.49,,
2020-KW40,17.92,,,18.79,22.83,,9.66,6.14,7.18,,,5.83,,8.48,,,,
2020-KW41,,,,,9.13,4.3,14.49,,,7.32,,,14.0,,,,,
2020-KW42,8.96,10.14,,,18.26,34.44,9.66,24.58,7.18,7.32,11.37,5.83,,25.45,,10.49,6.71,
2020-KW43,44.81,40.56,31.12,37.59,9.13,34.44,38.65,61.44,14.36,36.6,28.42,17.5,14.0,8.48,,,40.25,
2020-KW44,,70.98,20.74,56.38,41.09,51.66,38.65,61.44,71.82,43.91,34.1,29.17,21.01,8.48,19.31,20.98,33.54,
2020-KW45,8.96,10.14,41.49,103.36,59.35,60.27,82.13,55.3,57.46,58.55,34.1,58.34,42.01,16.97,9.65,31.47,33.54,
2020-KW46,8.96,40.56,93.35,131.55,50.22,68.88,77.3,61.44,64.64,102.47,34.1,23.33,49.02,16.97,9.65,20.98,,
2020-KW47,44.81,30.42,41.49,169.14,73.04,86.1,53.14,73.73,86.19,109.79,90.94,46.67,42.01,33.94,28.96,20.98,13.42,
2020-KW48,62.74,40.56,82.98,150.35,100.43,111.92,101.45,98.3,64.64,73.19,73.89,40.84,28.01,33.94,48.27,31.47,26.83,
2020-KW49,8.96,60.84,20.74,103.36,95.87,111.92,57.97,98.3,57.46,124.42,107.99,40.84,56.02,,28.96,41.96,147.59,
2020-KW50,89.62,81.12,176.33,225.52,155.22,99.01,140.1,184.32,172.38,109.79,119.36,35.0,28.01,25.45,,62.94,73.8,
2020-KW51,53.77,91.26,155.59,187.93,54.78,129.14,159.43,116.74,150.83,168.34,113.68,75.84,84.03,50.9,38.61,62.94,87.21,
2020-KW52,44.81,30.42,134.84,216.12,95.87,73.18,125.61,104.45,114.92,117.1,73.89,46.67,84.03,67.87,28.96,52.45,187.84,
2020-KW53,17.92,,72.61,37.59,77.61,51.66,53.14,61.44,64.64,87.83,39.79,64.17,49.02,33.94,57.92,94.41,73.8,
2021-KW01,8.96,30.42,72.61,131.55,118.69,107.62,86.96,92.16,114.92,73.19,85.26,58.34,56.02,50.9,28.96,104.9,241.51,
2021-KW02,53.77,40.56,31.12,169.14,114.13,81.79,77.3,61.44,64.64,36.6,45.47,58.34,42.01,67.87,57.92,94.41,154.3,
2021-KW03,53.77,50.7,41.49,93.97,109.56,64.57,57.97,43.01,57.46,65.87,56.84,35.0,21.01,25.45,48.27,41.96,174.43,
2021-KW04,17.92,10.14,41.49,56.38,77.61,77.49,24.16,30.72,57.46,65.87,39.79,70.0,70.02,8.48,28.96,73.43,73.8,
