# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-05 08:52:35
# API-Download für Covid19-Inzidenzen in LK Göppingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,7.04,,,,,,,,,,,,,
2020-KW10,,,,,,6.6,,6.32,,,,,,,,,,
2020-KW11,,,25.02,15.86,21.11,19.79,24.54,12.65,6.49,24.73,43.79,37.55,11.09,20.59,24.27,18.62,5.28,
2020-KW12,,16.8,33.36,23.78,49.26,92.35,67.47,31.62,116.88,43.28,63.26,79.8,49.89,41.17,56.63,55.85,52.81,
2020-KW13,15.73,8.4,33.36,23.78,77.4,72.56,79.74,69.57,123.38,80.39,111.92,84.49,94.24,75.49,105.17,121.01,42.25,
2020-KW14,,33.61,50.04,39.64,91.48,98.95,30.67,56.92,51.95,61.84,82.72,79.8,33.26,61.76,80.9,93.08,126.75,
2020-KW15,,,8.34,15.86,63.33,52.77,36.8,25.3,84.42,55.65,63.26,56.33,55.44,6.86,40.45,27.93,89.78,
2020-KW16,,,,,14.07,19.79,12.27,12.65,19.48,18.55,24.33,37.55,27.72,6.86,32.36,46.54,58.09,
2020-KW17,,,,7.93,,13.19,6.13,12.65,,6.18,,,5.54,13.72,32.36,18.62,15.84,
2020-KW18,,,,,14.07,6.6,,12.65,6.49,6.18,,4.69,5.54,,,18.62,47.53,
2020-KW19,,,8.34,,,19.79,6.13,,6.49,,4.87,4.69,,,,,5.28,
2020-KW20,,,,,,,,,,,4.87,,,,,,,
2020-KW21,,,,,,,12.27,6.32,,,,4.69,,,,,,
2020-KW22,,,,,,6.6,,,,,,,,,,,10.56,
2020-KW23,,,,,,6.6,,,,,,,,,,,,
2020-KW24,,,,,,,,,,,,4.69,,,,9.31,10.56,
2020-KW25,,,,,,6.6,,,,,,,,6.86,8.09,,,
2020-KW26,,,16.68,7.93,21.11,6.6,,,6.49,12.37,9.73,4.69,11.09,,8.09,9.31,5.28,
2020-KW27,15.73,,,,,6.6,6.13,,6.49,,4.87,4.69,,,,,,
2020-KW28,,,,,,,,6.32,6.49,,4.87,,,,,,,
2020-KW29,,8.4,33.36,,,,6.13,,25.97,,4.87,4.69,,6.86,,,,
2020-KW30,,,8.34,15.86,,6.6,12.27,,12.99,6.18,,,5.54,6.86,,,,
2020-KW31,,,16.68,15.86,,13.19,6.13,12.65,,,,4.69,,,,,,
2020-KW32,,8.4,,87.21,7.04,13.19,12.27,,12.99,,,,,6.86,,,,
2020-KW33,7.87,8.4,8.34,7.93,28.15,39.58,30.67,12.65,6.49,6.18,14.6,,5.54,,8.09,,,
2020-KW34,15.73,16.8,58.38,23.78,35.18,26.39,30.67,37.95,45.45,18.55,14.6,,5.54,,8.09,9.31,,
2020-KW35,15.73,25.21,33.36,47.57,63.33,32.98,42.94,18.97,12.99,6.18,14.6,9.39,5.54,6.86,,,5.28,
2020-KW36,7.87,,25.02,39.64,28.15,19.79,12.27,6.32,12.99,30.92,9.73,,11.09,,,,,
2020-KW37,15.73,25.21,75.06,39.64,35.18,46.18,18.4,44.27,19.48,12.37,4.87,14.08,,6.86,,,5.28,
2020-KW38,7.87,16.8,16.68,39.64,42.22,26.39,24.54,31.62,19.48,43.28,14.6,9.39,16.63,13.72,8.09,,5.28,
2020-KW39,,,8.34,47.57,21.11,13.19,18.4,25.3,25.97,6.18,14.6,4.69,5.54,6.86,,,,
2020-KW40,31.46,25.21,16.68,15.86,21.11,6.6,30.67,25.3,25.97,30.92,9.73,18.78,16.63,,,,5.28,
2020-KW41,,25.21,33.36,47.57,21.11,79.16,49.07,75.89,64.94,92.75,53.53,51.63,22.17,13.72,16.18,27.93,,
2020-KW42,31.46,58.81,41.7,63.43,182.96,125.34,79.74,69.57,77.92,111.3,72.99,79.8,33.26,48.04,32.36,18.62,15.84,
2020-KW43,78.65,100.82,58.38,174.42,182.96,178.11,165.61,164.43,136.36,123.67,107.05,75.1,88.7,48.04,56.63,18.62,26.41,
2020-KW44,31.46,42.01,100.08,126.85,260.36,197.9,239.22,158.11,201.3,197.87,194.64,150.21,160.76,48.04,56.63,46.54,42.25,
2020-KW45,62.92,92.42,133.44,198.21,288.51,336.43,226.95,158.11,207.79,247.34,223.83,150.21,127.5,116.66,56.63,102.39,79.22,
2020-KW46,39.33,58.81,108.42,190.28,281.47,211.1,190.15,189.73,194.81,278.26,175.17,126.74,127.5,109.8,97.08,83.78,248.22,
2020-KW47,23.6,33.61,91.74,229.92,309.62,224.29,196.28,259.3,227.27,210.24,136.25,178.37,133.05,82.35,97.08,130.32,311.59,
2020-KW48,23.6,67.22,66.72,111.0,218.14,204.5,177.88,196.05,188.31,160.77,170.31,131.43,138.59,123.52,80.9,158.24,216.53,
2020-KW49,39.33,50.41,166.81,190.28,232.21,178.11,147.21,145.46,259.74,265.89,160.58,178.37,116.41,82.35,113.26,111.7,237.66,
2020-KW50,78.65,58.81,83.4,206.14,218.14,164.92,190.15,202.38,168.83,253.52,184.91,168.98,144.13,75.49,64.72,130.32,248.22,
2020-KW51,117.98,201.65,141.78,214.06,295.55,244.08,220.82,158.11,266.23,340.09,253.03,220.62,194.02,61.76,88.99,158.24,322.15,
2020-KW52,31.46,67.22,75.06,166.49,204.07,158.32,73.61,151.78,149.35,222.61,165.44,211.23,105.33,82.35,48.54,83.78,195.41,
2020-KW53,7.87,33.61,16.68,134.78,168.88,171.52,116.54,151.78,162.34,166.96,136.25,173.68,99.78,96.07,105.17,83.78,158.44,
