# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-01-03 07:48:10
# API-Download für Covid19-Fälle in SK Halle, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,1,,,,1,,2,3,1,,2,,4,,
2020-KW12,,2,,,4,7,6,2,5,4,10,5,2,1,2,5,2,
2020-KW13,2,1,,4,4,2,5,5,14,3,11,4,1,4,3,3,4,
2020-KW14,,,1,2,5,3,6,6,5,6,1,5,3,2,1,2,22,
2020-KW15,,,1,3,2,5,2,2,3,1,3,4,,1,2,1,16,
2020-KW16,,,,1,2,1,2,1,2,4,2,1,1,2,,2,2,
2020-KW17,,,,1,2,,1,2,1,3,2,4,2,1,,4,8,
2020-KW18,,,,,,,1,1,1,,,,1,,2,1,8,
2020-KW19,,,,,1,,1,1,,,,,,,2,2,8,
2020-KW20,,,,1,1,1,,,1,1,1,,,,2,1,1,
2020-KW22,1,,,,,,,,,,,,,,,,1,
2020-KW23,,,,,2,,,,,,,,,1,,,,
2020-KW24,,,,,,,,1,,,,,1,1,,,1,
2020-KW25,,,,,,1,,,1,,,,1,,,,,
2020-KW26,,,1,,,1,,,,,1,,,,,,,
2020-KW27,,,,,,,,,,1,,,,,,,,
2020-KW28,,,,,1,,,,,,,,,,,,,
2020-KW29,,1,,,,,,,,,,,1,,,,,
2020-KW30,,,,,,,1,,,,,,,,,,,
2020-KW31,,,,,,,,,,1,,,,,,,,
2020-KW32,,,,,,,,1,,,,,,,,,,
2020-KW33,1,1,,,3,,3,,,1,,,,,,,,
2020-KW34,1,1,,,3,2,1,1,,1,1,1,1,,1,,,
2020-KW35,,,,3,,2,1,,,,1,1,,,,,,
2020-KW36,1,,2,1,,2,,,,,,,,1,,,1,
2020-KW37,,,1,1,5,1,3,,1,,,,,,1,1,2,
2020-KW38,1,,9,2,3,1,5,2,2,1,1,,1,,1,,,1
2020-KW39,1,2,1,4,5,3,1,3,,,1,1,1,1,1,2,,
2020-KW40,,1,1,2,1,1,1,1,1,1,,1,1,4,1,2,6,
2020-KW41,1,2,6,12,5,4,2,1,6,1,1,2,1,3,8,6,3,
2020-KW42,,2,3,6,6,4,6,4,3,1,5,4,5,3,2,9,3,
2020-KW43,3,7,12,16,8,6,10,10,9,9,10,6,3,2,2,3,4,
2020-KW44,8,6,15,12,20,11,12,6,15,8,10,6,9,2,6,2,6,
2020-KW45,5,9,7,2,13,15,13,16,7,11,18,7,6,2,4,4,23,
2020-KW46,3,11,9,17,23,25,15,8,16,10,18,12,5,2,3,2,7,
2020-KW47,5,15,7,7,14,13,7,20,11,7,14,5,4,4,2,6,15,
2020-KW48,5,8,5,17,14,17,16,27,14,12,18,17,2,5,8,8,17,
2020-KW49,11,14,15,23,17,20,20,22,14,17,26,16,6,13,5,9,32,2
2020-KW50,5,7,13,32,28,29,37,23,16,18,18,18,18,11,5,20,33,
2020-KW51,15,12,27,43,50,53,68,58,33,32,49,41,28,20,25,18,96,
2020-KW52,8,11,20,21,26,42,36,38,29,30,28,34,23,15,9,18,82,1
2020-KW53,8,7,19,18,42,32,26,36,22,27,36,48,29,25,13,22,53,
2021-KW01,17,22,23,40,63,46,46,45,52,39,74,64,42,31,28,31,99,2
2021-KW02,16,13,23,31,61,63,40,49,35,56,55,44,36,21,17,31,121,2
2021-KW03,5,7,14,26,31,26,50,26,30,27,32,24,22,11,8,17,93,2
2021-KW04,13,17,18,15,18,19,23,18,10,23,21,28,17,10,8,19,38,
2021-KW05,5,3,16,9,32,16,32,19,24,23,15,21,14,10,5,12,69,
2021-KW06,6,5,5,7,10,8,9,22,13,14,16,14,21,11,8,8,26,1
2021-KW07,8,4,8,3,18,9,19,19,16,8,19,24,17,8,5,12,22,
2021-KW08,23,13,8,10,21,21,12,30,15,12,20,19,19,7,10,13,26,
2021-KW09,19,12,20,12,21,12,28,19,15,14,27,20,12,13,8,12,18,
2021-KW10,29,27,21,11,20,23,33,40,16,28,27,25,20,9,13,8,25,
2021-KW11,20,26,14,24,25,43,37,45,29,23,22,26,32,14,21,14,17,1
2021-KW12,20,28,30,31,33,33,51,41,36,32,28,34,27,20,9,18,43,1
2021-KW13,24,18,25,21,31,34,42,40,41,24,26,37,28,16,18,11,20,1
2021-KW14,21,22,26,31,38,33,46,38,31,31,38,35,30,17,16,16,24,
2021-KW15,14,31,27,32,48,43,54,60,30,27,26,42,17,19,17,14,23,
2021-KW16,14,28,40,34,45,35,34,32,33,29,30,31,23,8,10,4,13,3
2021-KW17,17,8,15,17,38,32,38,25,24,24,27,27,22,12,7,6,5,1
2021-KW18,11,8,14,28,26,27,23,22,18,17,24,22,17,6,10,2,2,
2021-KW19,7,5,8,15,19,15,21,15,10,6,22,14,8,3,2,7,1,
2021-KW20,4,6,4,7,12,8,10,6,7,5,4,7,6,5,3,3,6,
2021-KW21,3,5,2,8,3,11,4,12,2,3,1,9,2,1,1,1,1,
2021-KW22,,6,10,2,10,6,6,2,1,,6,3,1,1,1,,1,
2021-KW23,1,2,3,2,,4,3,1,1,,1,,,2,1,,,
2021-KW24,,,,1,1,1,1,1,,1,,1,,,1,,,
2021-KW25,,,,,1,,,,1,1,,,,,,,,
2021-KW26,,,,,1,,3,,,,,1,,,1,,,
2021-KW27,,,,,,,2,1,,,2,,,,,,,
2021-KW28,1,,1,1,2,2,2,1,,,2,,,,,,,
2021-KW29,,,,2,5,1,1,2,,,,,,,,,,
2021-KW30,3,1,1,,3,4,1,2,3,,1,1,,,,4,2,
2021-KW31,1,1,,1,4,4,1,2,2,3,,1,1,1,,1,,
2021-KW32,3,7,2,8,5,2,4,4,1,6,1,1,2,,4,,,
2021-KW33,2,4,6,6,8,7,5,4,4,5,3,1,2,1,2,1,,
2021-KW34,5,3,2,5,7,7,7,3,6,3,3,,1,,,,1,
