# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-05 06:49:03
# API-Download für Covid19-Fälle in LK Weißenburg-Gunzenhausen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,,2,,,,,,
2020-KW12,,,,,,3,1,1,1,2,3,1,4,3,1,1,3,
2020-KW13,,,3,1,2,3,9,4,4,5,6,7,5,9,2,3,2,
2020-KW14,,,,3,2,9,4,1,9,7,10,3,5,7,4,3,6,
2020-KW15,1,1,,3,2,2,,5,4,5,5,10,5,2,7,6,29,
2020-KW16,,,1,2,1,1,1,2,2,1,3,,1,1,1,,1,
2020-KW17,,,,1,3,2,,,1,,3,3,2,2,1,3,2,
2020-KW18,,,,1,3,1,2,,,1,,2,1,,,1,1,
2020-KW19,1,,,,2,1,1,1,2,,,,,3,1,,1,
2020-KW20,,,,1,3,1,,,,1,,1,,,,,1,
2020-KW21,,,1,,,,,,1,,1,1,,,,,,
2020-KW22,,,,,,,,,,,1,,,,,,,
2020-KW23,,,,1,,,,,,,,,,,,,,
2020-KW24,,,,,1,,,,,,,,,,,,,
2020-KW26,1,,,,,,,,,,,,,,,,,
2020-KW27,,,,,,,1,,,,,,,,,,1,
2020-KW28,,,,,,,1,,,,,,,,,,,
2020-KW29,,,,,,1,,,,,,,,,,,,
2020-KW30,,,,,2,1,,,,,,,,,,,,
2020-KW32,,,,,2,1,1,,,,,,,,,,,
2020-KW33,,,1,1,4,,,,2,,,,,,,,,
2020-KW34,,2,3,3,1,2,3,2,1,3,1,1,,,,,,
2020-KW35,,2,2,2,1,1,4,2,4,1,1,,,,,,,
2020-KW36,3,2,3,2,4,5,1,3,3,,,,,,,,,
2020-KW37,1,1,2,1,3,,3,1,2,1,,,,,,,,
2020-KW38,,2,,,3,1,1,,2,,,,,,,,,
2020-KW39,,,,,1,,2,,1,1,,,,,,,,
2020-KW40,1,,,,,,3,,1,,,1,,,,,,
2020-KW41,,,,,,1,1,,,,,1,,,1,,,
2020-KW42,1,,2,3,2,3,3,2,2,2,3,1,,1,2,1,1,
2020-KW43,1,,,4,9,5,4,3,1,7,7,5,4,,2,2,2,
2020-KW44,,1,1,10,11,10,1,7,3,7,9,8,6,3,5,2,6,
2020-KW45,1,2,4,11,6,11,10,12,10,3,10,13,13,6,4,3,5,
2020-KW46,1,2,5,9,6,5,12,7,10,14,13,11,7,3,7,1,9,
2020-KW47,,1,2,10,7,6,7,7,6,10,17,12,8,9,2,4,9,
2020-KW48,1,5,3,12,6,4,5,6,7,11,9,4,4,3,1,2,5,
2020-KW49,1,5,9,20,9,11,6,13,7,13,13,3,9,6,7,7,4,
2020-KW50,8,11,15,20,13,7,11,25,17,24,21,17,23,8,11,9,26,
2020-KW51,5,4,10,11,15,13,12,7,12,13,18,9,10,5,4,2,8,
2020-KW52,3,,3,14,12,12,7,3,11,10,12,14,15,5,6,3,14,
2020-KW53,1,2,4,7,9,9,5,7,7,14,11,14,13,8,6,5,35,
2021-KW01,2,6,4,4,16,16,13,7,11,12,10,28,15,12,8,7,34,
2021-KW02,1,3,,13,5,9,7,7,12,11,9,21,10,7,1,6,25,
2021-KW03,1,2,,4,3,7,4,7,3,5,6,7,3,2,4,4,34,
2021-KW04,1,3,5,5,7,8,2,6,7,2,7,3,9,2,4,3,9,
2021-KW05,,,1,4,5,4,1,1,1,1,5,3,3,1,1,4,4,
2021-KW06,,,,1,3,,,4,2,1,3,2,2,,,,3,
2021-KW07,,,2,4,2,2,3,2,,5,7,4,4,,1,5,1,
2021-KW08,1,,1,2,4,3,,,1,1,1,,1,2,1,,,
2021-KW09,,1,,2,2,4,5,,4,4,1,3,,1,1,1,,1
2021-KW10,,,,4,2,1,8,2,2,,2,2,1,,,1,1,
2021-KW11,1,10,3,10,6,8,13,3,12,3,7,8,4,1,1,,2,
2021-KW12,4,12,9,8,5,8,16,15,13,10,9,11,6,2,2,,5,
2021-KW13,5,8,11,9,7,9,11,8,9,9,12,11,7,1,3,3,2,
2021-KW14,3,7,13,14,9,14,13,15,12,16,11,15,11,7,6,3,5,
2021-KW15,7,9,9,21,16,20,15,16,5,17,5,12,7,8,3,3,5,
2021-KW16,5,9,9,7,22,9,16,6,16,14,19,11,4,3,4,4,1,
2021-KW17,1,4,2,7,8,7,16,7,8,9,3,9,4,6,,,,
2021-KW18,3,4,1,5,13,11,16,5,5,8,7,6,6,2,3,,2,
2021-KW19,3,4,4,8,19,9,13,6,6,7,6,9,8,1,2,1,1,
2021-KW20,2,4,5,5,9,6,5,1,5,,4,3,1,,,,6,
2021-KW21,,1,,2,3,2,1,1,1,1,3,2,2,2,,,,
2021-KW22,,,,,1,,,,1,,,,,,,1,1,
