# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-27 05:49:23
# API-Download für Covid19-Fälle in LK Rotenburg (Wümme), letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,2,,,,,
2020-KW11,,,,,,3,2,,,2,,2,,,,,,
2020-KW12,,,,,2,2,,1,2,3,5,2,2,,1,,1,
2020-KW13,,,1,,,2,3,2,1,,4,5,,1,,1,2,
2020-KW14,,,,,2,1,,1,,1,1,7,2,,,2,1,
2020-KW15,,,,1,1,1,,2,1,,4,1,,,,,2,
2020-KW16,,,,1,,,,,,1,2,2,2,,1,,2,
2020-KW17,,,,,2,,,1,,,1,,,,,,,
2020-KW18,,,,,2,,1,,,,,,1,,,,1,
2020-KW19,,,,,,,1,,,,,1,,,,,,
2020-KW20,,,,,,,,,1,,,,,,,,,
2020-KW21,,,,,1,,,,,,,,,,,,,
2020-KW24,,,,,,,,,,,1,,,,,,,
2020-KW26,,,,,,,,2,,,,,,,,,,
2020-KW27,,,1,,,,,,,1,,,,,,,,
2020-KW31,,,,,,,,,2,,,,,,,,,
2020-KW32,,,,4,2,,1,1,1,1,,3,,,,,,
2020-KW33,1,,,,2,2,3,1,1,1,2,1,,,,,,
2020-KW34,1,1,,,9,12,4,7,2,5,1,,1,,,,,
2020-KW35,,3,1,2,,1,1,1,3,1,1,1,1,,,,1,
2020-KW36,,,,,1,1,1,,2,,,,1,1,,,1,
2020-KW37,,,,,,,,,,,1,,,,1,,,
2020-KW38,,,,,5,6,1,1,1,2,2,,,,,,,
2020-KW39,1,2,8,6,5,5,4,5,2,6,4,1,,,1,3,,
2020-KW40,2,1,,3,3,2,1,4,3,6,6,1,2,2,1,1,,
2020-KW41,,,2,2,8,7,3,3,,4,3,1,1,1,1,,,
2020-KW42,2,,2,1,2,4,4,5,2,2,7,4,3,2,,,,
2020-KW43,1,3,,3,6,7,2,,3,5,4,5,,,2,,,
2020-KW44,6,9,7,11,12,14,18,12,9,9,11,18,10,3,1,1,3,
2020-KW45,1,2,5,8,15,13,7,20,8,14,15,8,6,4,,4,10,
2020-KW46,3,3,9,8,10,12,11,10,7,17,16,14,3,9,5,3,8,
2020-KW47,5,7,7,11,9,12,13,12,15,13,10,9,6,2,1,6,9,
