# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-06-19 08:39:40
# API-Download für Covid19-Fälle in LK Schwäbisch Hall, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,4,2,5,2,,1,4,5,2,5,1,1,,,
2020-KW12,,,,1,5,9,6,12,9,8,10,11,11,7,3,5,11,
2020-KW13,1,,1,3,7,12,8,11,6,6,17,24,16,13,10,12,23,
2020-KW14,,,,6,6,18,13,8,12,12,20,22,28,15,10,9,31,
2020-KW15,,,1,3,7,5,13,4,6,10,9,11,14,3,3,2,15,
2020-KW16,,1,,,2,2,4,5,6,1,7,8,7,6,6,5,17,
2020-KW17,1,,3,3,7,5,9,7,6,8,8,7,,4,1,2,7,
2020-KW18,,,,2,4,,3,1,,,1,2,2,1,,1,1,
2020-KW19,1,,,1,,1,1,1,1,1,5,2,,,1,3,4,
2020-KW20,,1,,,5,,1,,,1,,1,,,,,,
2020-KW21,,,1,,2,2,1,2,1,,3,2,,,,,,
2020-KW22,,,,,,2,2,,1,1,1,1,,,1,2,,
2020-KW23,,,,,,,,,,,1,,,,,,,
2020-KW25,,,,,1,,,,,,,1,,,1,,1,
2020-KW26,,,,,,,,,,,,,,,1,,1,
2020-KW28,,,,,,,,1,,,1,1,,,,,,
2020-KW29,,,,,1,,,,,,,,,,,,,
2020-KW31,,,,,,1,,,,1,,,,,,,,
2020-KW32,,1,1,2,,1,2,1,,,,,2,,,,,
2020-KW33,,,,2,1,1,1,3,,2,1,1,3,,1,,,
2020-KW34,1,1,,2,5,5,1,2,1,1,2,,1,,,,,
2020-KW35,1,1,1,2,4,5,4,2,1,1,3,,1,,,,,
2020-KW36,,,,3,1,3,2,,1,3,1,,1,1,,,,
2020-KW37,,2,1,3,8,,2,2,,2,1,2,1,,,1,,
2020-KW38,1,2,7,10,6,2,2,1,6,6,2,5,1,1,2,,1,
2020-KW39,,,1,3,8,8,5,8,4,2,,2,1,2,1,3,2,
2020-KW40,,,,2,7,5,7,2,3,3,3,3,2,,1,,3,
2020-KW41,,,4,4,3,9,10,13,14,8,8,5,9,4,3,1,1,
2020-KW42,2,2,12,8,3,6,4,9,6,10,11,12,11,3,1,3,1,
2020-KW43,3,5,10,8,7,8,15,5,7,14,14,15,8,9,3,4,21,
2020-KW44,2,5,8,16,13,12,17,9,17,15,16,20,15,7,8,4,5,
2020-KW45,2,2,5,6,16,15,11,10,9,15,24,11,7,10,5,3,14,
2020-KW46,1,1,2,7,15,21,21,11,14,11,18,16,11,4,1,5,9,
2020-KW47,1,1,6,11,15,14,10,16,13,19,14,22,10,4,4,2,5,
2020-KW48,,,2,2,13,13,12,11,14,6,18,13,7,8,2,2,9,
2020-KW49,2,1,3,9,20,12,10,13,17,27,18,14,16,9,6,3,32,
2020-KW50,5,2,13,13,29,24,17,24,16,39,28,21,15,13,4,5,27,
2020-KW51,4,11,11,31,36,28,33,29,28,27,35,22,18,6,8,11,27,
2020-KW52,2,4,3,15,20,20,20,20,7,13,18,18,18,3,5,6,28,
2020-KW53,1,4,5,15,17,22,23,21,17,27,29,14,18,15,10,10,26,
