# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-25 08:43:21
# API-Download für Covid19-Fälle in LK Hameln-Pyrmont, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,1,1,2,,,,,,,
2020-KW12,,,1,,2,2,2,2,1,3,4,,2,3,,,,
2020-KW13,,,,,1,3,1,,,2,1,2,1,,1,4,5,
2020-KW14,1,,,1,1,1,2,4,1,3,2,1,3,3,2,6,8,
2020-KW15,,,,,1,,,,1,,1,,2,1,,,,
2020-KW16,1,1,,1,,,2,2,,,2,2,1,,,,2,
2020-KW17,,,,,1,,,,1,1,,2,,1,1,,1,
2020-KW18,,,,,1,,,1,,,,,,,,1,,
2020-KW19,,,,,,,,,,,,1,,,,,,
2020-KW20,,,,,,,,,1,,,,,,,,1,
2020-KW21,1,,,,,,,,,,,,,,,,,
2020-KW23,1,1,2,,,,,1,2,,,,,,,1,,
2020-KW25,,1,1,,,,1,,,,,,,,,,,
2020-KW26,,,,,,,,,1,1,,,,,,,,
2020-KW27,1,1,,,,,1,,2,1,,,,,,,,
2020-KW29,,,,,,1,,,,,,,,,,,,
2020-KW30,,,,,1,1,,,,,,,,,,,,
2020-KW31,1,,,,1,1,1,,,,,,,,1,1,,
2020-KW32,2,,1,1,4,1,1,,,,,,,,,,,
2020-KW33,1,,,2,2,,,1,,3,1,,,,,,,
2020-KW34,,,,1,,,,,2,,,,,,,,,
2020-KW35,1,,1,,1,1,1,,1,4,1,,,,,,,
2020-KW36,,,,,1,1,,,,2,1,1,,,,,,
2020-KW37,,,,,,4,2,1,,2,,,,,,,,
2020-KW38,,1,1,,,3,1,,1,,,1,1,,1,,,
2020-KW39,,,3,1,1,1,1,2,1,3,1,,,1,,,,
2020-KW40,,,3,1,,1,,,1,,3,1,,,,,,
2020-KW41,,,1,1,2,1,1,1,1,1,,1,2,1,,,1,
