# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-10-16 08:40:33
# API-Download für Covid19-Fälle in LK Altmarkkreis Salzwedel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,1,,,,,,,,,,,,
2020-KW12,,,,,,,,1,,1,,,1,,,,,
2020-KW13,,,,,2,,1,,,2,,,,,1,1,1,
2020-KW14,,,,,,1,2,,,,1,2,1,,,1,,
2020-KW15,,,1,,,1,,,1,,2,1,2,,,,,
2020-KW16,,,,,,,,,1,,,,,,,,,
2020-KW17,,,,,,,,1,,,,,,,,,,
2020-KW18,,,,,,,,,,,,,,1,,,,
2020-KW21,,,,,,,,,,,,,,,,,1,
2020-KW24,,,,,1,,,,,,,,,,,,,
2020-KW26,,,,,,1,,,,,,,,,,,,
2020-KW30,,,,1,,,,,,,,1,,,,,,
2020-KW33,,,,,,,,,1,,,,,,,,,
2020-KW34,,,,,,,1,,2,1,,1,,,,,,
2020-KW35,,,1,2,,,,,,,,,,,,,,
2020-KW36,,,,,,1,,,,,,,,,,,1,
2020-KW37,2,,,1,,1,,,,,,,,,,,,
2020-KW38,1,,,,,,,,,1,1,,,,,,,
2020-KW39,,,,,,,,,,,,,,1,2,,,
2020-KW40,,,,,1,,,,,,,,,,,,,
2020-KW41,,,,,,,,,1,,,,,,1,,,
2020-KW42,,,,,,,,1,,1,,,,,,,1,
2020-KW43,,,,,,1,1,1,4,1,1,,,2,,,,
2020-KW44,,,1,,3,2,,,2,2,,1,1,4,1,2,5,
2020-KW45,1,5,5,1,3,1,3,3,3,7,5,5,10,3,5,3,10,
2020-KW46,,,3,4,,,2,4,2,3,2,6,4,1,1,1,7,
2020-KW47,,1,2,1,3,2,5,6,6,1,3,4,4,3,4,,14,
2020-KW48,,,2,3,3,3,1,1,1,2,7,10,4,4,2,3,13,
2020-KW49,,,3,1,7,3,3,3,2,3,2,9,3,1,3,2,6,
2020-KW50,3,1,1,2,5,3,5,3,2,7,12,7,11,3,4,2,17,
2020-KW51,1,1,,1,1,4,5,11,5,3,9,11,12,4,6,5,19,
2020-KW52,,2,2,1,3,2,4,6,4,,4,10,7,5,1,4,18,
2020-KW53,,,1,2,1,3,6,6,1,6,8,15,12,8,6,1,8,
2021-KW01,,3,1,2,5,4,17,8,13,8,19,21,16,7,7,12,23,
2021-KW02,2,2,4,7,5,6,8,9,7,8,18,14,23,10,4,4,36,
2021-KW03,,,,2,6,5,3,3,6,9,14,16,13,11,10,,20,
2021-KW04,,,,4,3,2,9,5,7,6,16,13,7,3,3,6,15,
2021-KW05,,1,2,2,4,2,9,4,1,5,10,11,14,5,,2,5,
2021-KW06,,1,,1,4,,,5,1,4,3,4,1,1,,1,3,
2021-KW07,1,2,1,1,3,3,7,5,5,5,8,4,1,5,1,1,2,
2021-KW08,,2,3,2,1,3,6,7,4,1,5,6,2,2,2,5,1,
2021-KW09,1,,2,2,1,1,2,5,6,4,4,2,6,4,3,,3,
2021-KW10,1,6,2,1,1,1,7,1,3,5,4,4,,,2,2,2,
2021-KW11,1,3,,5,2,1,5,2,7,1,9,4,5,7,2,,3,
2021-KW12,1,1,2,2,1,2,6,3,3,2,2,8,7,2,1,5,5,
2021-KW13,1,4,2,2,2,3,2,,5,5,6,6,4,7,1,1,8,
2021-KW14,3,5,1,6,3,4,5,9,6,3,7,15,8,3,3,2,10,
2021-KW15,,9,11,15,5,8,6,9,13,9,9,9,8,7,3,2,2,
2021-KW16,10,14,10,11,6,9,11,12,5,5,10,21,13,4,2,,,
2021-KW17,1,7,4,4,1,2,9,8,9,11,11,15,5,9,5,3,2,
2021-KW18,4,5,7,7,3,6,8,9,4,4,7,11,6,10,3,1,2,
2021-KW19,1,6,1,1,5,1,8,3,5,2,3,11,6,4,,,1,
2021-KW20,,,,1,9,1,7,2,2,1,1,5,3,7,1,2,1,
2021-KW21,,2,,3,3,1,1,2,,2,2,,1,,2,,,
2021-KW22,,1,,1,1,,2,1,5,,,1,2,3,,1,,
2021-KW23,,5,2,1,,1,1,1,,,,,,,,,,
2021-KW24,1,2,1,,,1,2,1,,,3,,,,,,,
2021-KW25,,,1,,,,,1,1,1,,,,,,,,
2021-KW26,,,,,1,,,,,,,,,,,,,
2021-KW28,,,,,,,1,1,,,,,,,,,,
2021-KW30,2,3,3,7,1,4,,6,1,2,2,1,1,1,,,,
2021-KW31,1,,2,3,1,1,2,2,,4,,2,,,1,1,,
2021-KW32,,1,2,1,,,1,2,1,,2,2,1,2,,,1,
2021-KW33,2,,,,1,1,,,,,1,,1,,,,,
2021-KW34,1,,,1,1,,2,,,1,2,,,,,,1,
2021-KW35,,,,,1,2,1,,1,1,2,,1,,1,,,
2021-KW36,,2,,1,,2,2,3,1,,,2,,,,,1,
2021-KW37,,,2,,1,1,,2,2,2,1,2,1,,3,1,1,
2021-KW38,,,3,1,1,,3,,,2,2,3,5,1,,,,
2021-KW39,,,,2,,1,1,5,5,,4,3,4,,,,1,
2021-KW40,,4,2,4,2,1,1,3,,4,4,6,3,,,1,3,
2021-KW41,6,6,7,5,2,6,10,3,6,3,8,11,6,3,1,1,5,
2021-KW42,4,24,39,14,8,5,10,20,18,12,14,11,13,6,1,4,8,
2021-KW43,5,28,35,15,12,11,16,22,17,22,24,18,14,9,4,8,46,
2021-KW44,13,34,37,26,25,16,36,31,26,26,24,22,20,11,11,7,16,
2021-KW45,17,46,63,32,20,22,38,39,33,17,30,37,27,17,7,9,19,
2021-KW46,11,35,38,41,26,22,33,44,30,21,42,24,29,27,20,13,30,
2021-KW47,20,58,50,32,24,23,37,48,52,35,40,39,44,14,15,10,24,
2021-KW48,32,49,43,46,25,17,51,55,44,34,40,33,23,16,13,9,7,
2021-KW49,14,59,36,41,16,12,31,50,38,32,23,25,26,10,9,2,14,
2021-KW50,8,38,38,22,12,17,27,28,42,38,21,25,12,10,11,8,11,
2021-KW51,5,15,29,14,5,6,23,19,13,13,14,15,10,10,10,3,9,
2021-KW52,16,14,15,14,9,3,16,17,23,20,21,16,10,8,4,1,7,
2022-KW01,6,14,14,26,15,8,25,23,19,14,19,22,23,11,3,3,6,
2022-KW02,5,20,23,31,15,14,24,16,19,22,14,23,8,5,6,1,6,
2022-KW03,20,47,36,48,12,10,35,45,34,21,26,23,15,9,4,1,4,
2022-KW04,75,125,90,54,20,32,69,93,74,42,34,32,13,14,8,2,5,
2022-KW05,29,122,122,76,46,27,84,88,74,41,46,58,43,18,6,2,15,
2022-KW06,47,174,146,78,48,60,98,127,81,69,67,90,51,20,9,4,18,
2022-KW07,54,118,117,119,78,74,133,148,113,95,90,101,79,35,14,9,34,
2022-KW08,48,104,151,115,68,63,118,142,133,74,77,103,63,29,18,19,89,
2022-KW09,57,118,118,101,55,40,102,121,122,82,106,117,92,34,33,23,91,
2022-KW10,75,163,119,119,61,57,110,153,138,97,108,131,99,59,27,22,105,
2022-KW11,129,220,227,199,117,127,200,205,199,163,197,184,137,69,69,31,124,
2022-KW12,82,157,231,178,121,95,170,189,200,162,220,239,183,96,66,42,134,1
2022-KW13,57,137,131,113,77,60,134,117,112,89,131,140,106,53,30,23,47,
2022-KW14,38,77,80,70,49,48,74,104,82,46,84,95,82,32,22,9,32,
2022-KW15,37,50,35,33,29,28,68,60,60,34,66,74,53,29,15,9,29,
2022-KW16,24,31,50,46,46,41,61,87,56,68,79,94,58,30,23,11,20,
2022-KW17,25,20,64,60,49,43,52,72,60,51,94,116,74,50,35,20,41,
2022-KW18,13,14,22,20,30,21,26,35,32,30,50,43,32,27,13,7,18,
2022-KW19,10,8,13,13,20,9,20,25,23,17,22,37,33,20,15,8,19,
2022-KW20,6,2,16,13,13,8,18,14,12,10,26,22,20,11,7,9,17,
2022-KW21,3,6,1,6,7,5,5,8,8,3,8,6,19,6,3,2,4,
2022-KW22,2,2,3,2,5,8,18,7,13,13,17,25,20,7,6,6,14,
2022-KW23,5,3,9,14,11,5,11,20,16,17,24,29,29,7,3,5,7,
2022-KW24,4,8,7,16,15,16,28,17,13,23,19,45,17,9,10,4,6,
2022-KW25,5,11,12,23,13,17,28,28,20,26,38,46,37,9,13,10,11,
2022-KW26,4,5,16,15,22,12,38,25,27,33,49,50,21,20,13,5,15,
2022-KW27,7,11,11,18,19,14,22,22,25,26,25,45,36,14,13,8,12,
2022-KW28,4,6,13,22,31,18,31,29,27,31,51,42,42,32,16,6,22,
2022-KW29,6,8,6,16,23,18,35,32,37,36,41,73,58,26,24,12,24,
