# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-06 08:53:37
# API-Download für Covid19-Inzidenzen in LK Recklinghausen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,3.44,3.17,3.06,2.8,,,2.64,9.98,5.76,2.09,,,3.93,,
2020-KW12,,,11.09,,9.52,6.11,19.63,14.34,42.39,23.74,31.92,23.04,20.95,4.97,3.14,3.93,4.39,
2020-KW13,,11.0,,,50.76,48.92,30.85,40.15,36.74,44.84,49.88,30.72,29.33,24.84,3.14,7.86,8.78,
2020-KW14,3.44,18.34,14.78,27.5,53.93,36.69,53.29,31.55,45.22,39.56,39.91,40.32,29.33,47.19,25.13,39.31,19.75,
2020-KW15,20.63,7.33,29.57,41.24,28.55,27.52,19.63,28.68,22.61,34.29,29.93,23.04,23.04,17.39,25.13,11.79,41.69,
2020-KW16,20.63,,11.09,17.18,53.93,67.26,47.68,48.76,53.7,42.2,37.91,24.96,14.66,19.87,12.56,27.52,59.24,
2020-KW17,3.44,7.33,3.7,30.93,44.41,51.98,33.66,40.15,36.74,39.56,47.89,15.36,20.95,14.9,6.28,7.86,30.72,
2020-KW18,6.88,40.34,7.39,6.87,31.72,24.46,16.83,34.42,16.96,15.82,2.0,7.68,16.76,4.97,9.42,23.59,17.55,
2020-KW19,6.88,22.0,11.09,13.75,25.38,9.17,16.83,17.21,16.96,18.46,11.97,3.84,18.85,7.45,6.28,11.79,2.19,
2020-KW20,6.88,14.67,7.39,,9.52,27.52,19.63,14.34,28.26,23.74,7.98,3.84,4.19,2.48,3.14,,2.19,
2020-KW21,10.32,,,,,6.11,,2.87,,,2.0,5.76,,4.97,,3.93,4.39,
2020-KW22,3.44,,,,6.34,6.11,,2.87,2.83,,,,2.09,,,3.93,6.58,
2020-KW23,6.88,11.0,7.39,6.87,3.17,3.06,2.8,8.6,11.3,7.91,3.99,,,,,3.93,8.78,
2020-KW24,3.44,,3.7,10.31,6.34,6.11,5.61,8.6,,2.64,,1.92,2.09,2.48,6.28,,2.19,
