# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-29 07:39:18
# API-Download für Covid19-Fälle in SK Passau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,1,,2,,,,,,1,,,,
2020-KW12,,,,,1,,,1,1,1,4,,,1,2,,2,
2020-KW13,,,,,,2,2,1,3,1,1,5,2,,,1,11,
2020-KW14,,,,,3,,2,1,4,3,4,2,3,2,4,3,12,
2020-KW15,,,,,2,1,,,3,,1,,,1,,4,11,
2020-KW16,,,,1,,,1,2,1,1,,1,,,1,,1,
2020-KW17,,,1,,,1,1,,1,1,,,1,,,,,
2020-KW18,,,,,,,,,,1,,,,,,,,
2020-KW19,,,,,,,,,,,,,,1,,,,
2020-KW20,,,,,,,,,,,1,,,,,,,
2020-KW21,,,,,,,,,,1,,,,,,,,
2020-KW22,,,,,,,,,,,2,,,,,,,
2020-KW24,,,,,,,2,,,,,,,,,,,
2020-KW26,,,,,,,,1,,,1,,1,,,,,
2020-KW27,,,,,,,,,,,,1,,,,,,
2020-KW29,,,,,,2,,1,,,,,,,,1,,
2020-KW30,,,,,1,,,,,,,1,,,,,,
2020-KW31,,,,,1,1,,,,,,,,,,,,
2020-KW32,,1,,,,,,,1,,,,,,,,,
2020-KW33,,,,,1,1,,,,,1,,,,,,,
2020-KW34,,,,2,2,,1,,1,2,,,,,,,,
2020-KW35,,,2,1,6,2,1,,,,3,,,,,,1,
2020-KW36,,,1,,4,7,1,,,,,,,,,,,
2020-KW37,,,,1,3,4,1,1,1,1,,1,,,,,,
2020-KW38,,1,,2,3,,3,,1,,2,1,,,,,1,
2020-KW39,,1,,,1,1,,1,,,,2,1,,,,,
2020-KW40,,,,,,1,3,1,,,,1,,,,1,,
2020-KW41,,,,,,3,3,,,1,,1,,,,,,
2020-KW42,1,,,2,8,5,,1,1,1,,2,2,,,,1,
2020-KW43,2,1,2,3,11,3,4,9,3,2,6,4,5,,2,4,1,
2020-KW44,,3,1,3,13,16,6,4,4,4,5,5,3,4,3,2,4,
2020-KW45,2,3,2,2,19,23,10,11,3,14,9,11,5,1,4,1,6,
2020-KW46,3,1,3,4,26,30,19,12,11,7,9,8,10,4,4,,4,
2020-KW47,4,9,5,10,24,11,9,9,6,6,17,21,14,4,6,11,28,
2020-KW48,1,2,7,8,17,17,19,21,16,17,23,11,19,18,15,16,77,
2020-KW49,2,5,8,17,19,9,16,6,17,8,15,12,8,11,6,9,27,
2020-KW50,3,,1,2,12,14,9,3,8,11,9,14,11,5,5,6,15,
2020-KW51,4,3,1,10,19,6,11,13,15,6,7,10,9,9,3,4,29,
2020-KW52,2,2,4,6,12,9,22,6,8,12,10,16,11,5,6,6,30,
2020-KW53,3,4,4,12,15,25,18,9,8,9,12,12,11,2,6,6,19,
2021-KW01,1,5,5,11,14,17,20,14,12,4,7,10,6,8,4,5,16,
2021-KW02,10,7,2,10,8,12,11,5,10,3,10,1,8,5,7,7,17,
2021-KW03,1,1,2,1,5,6,3,3,8,5,5,7,8,3,7,7,20,
2021-KW04,,2,4,7,7,7,10,9,9,4,11,4,8,3,5,3,25,
2021-KW05,2,4,3,2,8,5,4,2,3,8,1,7,3,3,,1,8,
2021-KW06,2,,1,3,2,5,1,2,3,2,3,3,2,3,2,1,,
2021-KW07,1,1,2,2,6,8,4,3,6,3,7,2,2,1,2,2,2,
2021-KW08,,,1,3,,6,3,6,5,6,3,2,5,,5,,1,
2021-KW09,3,7,9,6,6,,5,1,7,5,6,2,3,1,1,,4,
2021-KW10,4,12,5,1,8,10,12,8,,7,6,2,2,,2,,4,
2021-KW11,6,4,7,11,5,4,8,8,5,1,5,6,3,2,4,1,4,
2021-KW12,2,6,4,2,8,7,6,10,4,5,2,4,1,7,2,2,2,
2021-KW13,3,5,1,6,11,12,2,6,6,1,3,3,,2,1,,2,
2021-KW14,1,2,3,5,8,7,8,6,6,5,4,3,6,4,,2,,
2021-KW15,,6,2,6,11,5,9,6,2,5,3,2,1,,1,2,,
2021-KW16,1,1,2,2,19,4,5,6,2,2,11,4,3,1,,,1,
2021-KW17,1,1,3,3,2,6,6,1,5,1,1,2,2,1,,,1,
2021-KW18,1,1,1,1,1,5,,,,2,1,1,,,,,,
2021-KW19,3,1,1,1,3,7,1,1,4,1,3,4,,2,1,1,,
2021-KW20,1,,3,,3,2,4,2,,,3,1,,,,,,
2021-KW21,1,,,,1,,,,,1,,,,,,,,
