# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-01-11 07:42:02
# API-Download für Covid19-Fälle in LK Gifhorn, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,2,,,,,2,1,1,1,,,
2020-KW12,,2,1,,1,,5,1,2,2,2,3,2,3,3,1,,
2020-KW13,1,,,,1,2,3,3,3,4,2,2,2,2,,,1,
2020-KW14,,,,,1,1,2,4,3,6,4,2,3,5,1,1,,
2020-KW15,,,1,,2,,,1,1,2,,2,,1,1,1,1,
2020-KW16,,,,,,,,,3,1,2,,1,2,1,2,,
2020-KW17,,,,,,1,,,,,,,,,,1,1,
2020-KW18,,,,1,,,,,,,,,,1,,,,
2020-KW20,,,,,,,,,,,,1,,,,,,
2020-KW21,,,,,,,,,,,,,,,,,1,
2020-KW22,,,,,,,,,,,1,,,,,1,,
2020-KW23,,,,7,6,3,1,,,1,,2,1,,,,,
2020-KW24,,,,,,1,1,,,,,,1,,,,,
2020-KW25,,,,1,3,,,1,1,1,,,,,,,,
2020-KW26,,,,,1,1,,,,,,,,,,,,
2020-KW27,,,,1,,2,,,1,1,,1,1,1,,,,
2020-KW30,,,,,,,2,,,,,,,,,,,
2020-KW31,,,,,,,1,,,,,,,,,,,
2020-KW32,,,,,,1,1,,,,,,,,,,,
2020-KW33,,,,,1,,1,1,1,,,,,,,,1,
2020-KW34,,,1,1,2,,,1,3,1,,,,,,,,
2020-KW35,,1,1,,2,1,3,2,3,2,,1,,,,,,
2020-KW36,,2,4,1,3,1,3,1,1,1,,,,,,1,1,
2020-KW37,,,,,3,,3,,,2,2,1,,1,,,,
2020-KW38,,,,,2,,,,1,1,,1,1,1,,,,
2020-KW39,,,,,,,2,,,2,2,1,,,,,,
2020-KW40,,,,,,1,1,1,,1,2,1,,,,,,
2020-KW41,,,,,1,2,2,1,2,1,2,,,,,,2,
2020-KW42,1,,1,5,6,7,7,3,2,4,3,4,2,4,1,2,3,
2020-KW43,,3,2,4,6,9,2,5,6,7,4,3,1,2,4,,3,
2020-KW44,6,1,2,2,6,7,8,6,9,4,5,3,2,4,7,2,3,
2020-KW45,2,6,8,12,18,11,10,11,10,9,15,12,12,9,2,1,3,
2020-KW46,6,5,8,12,26,17,14,4,5,11,9,13,7,5,1,3,3,
2020-KW47,3,11,9,12,11,7,8,15,8,18,14,14,13,8,6,3,3,
2020-KW48,3,2,6,4,12,11,6,8,12,3,10,6,5,6,2,,2,
2020-KW49,5,9,3,13,8,4,4,15,10,5,10,19,7,10,9,2,16,
2020-KW50,2,5,4,12,10,13,18,10,18,13,11,10,13,7,4,,10,
2020-KW51,7,10,18,28,28,25,26,22,19,25,28,29,23,17,13,9,49,
2020-KW52,3,2,3,12,17,11,16,18,16,16,23,22,10,4,10,9,75,
2020-KW53,4,2,3,12,19,14,19,16,12,19,26,28,26,11,15,3,34,
2021-KW01,3,4,10,16,29,28,27,28,29,28,41,46,22,15,10,21,105,1
2021-KW02,7,4,9,19,20,20,10,23,13,16,17,28,22,11,7,21,70,
2021-KW03,3,3,4,7,14,17,15,13,13,13,13,14,18,9,3,4,42,
2021-KW04,2,2,2,10,15,15,7,8,10,10,19,13,18,4,3,11,45,
2021-KW05,,2,4,6,3,5,6,4,5,5,9,9,6,6,5,,15,
2021-KW06,3,2,1,7,7,9,7,5,3,3,7,10,3,1,2,2,5,
2021-KW07,4,1,,3,7,7,7,4,4,2,13,9,2,1,2,1,5,
2021-KW08,1,5,4,6,4,3,8,3,3,7,10,10,4,4,2,1,9,
2021-KW09,4,3,4,3,4,3,3,8,5,6,5,2,4,3,6,2,4,
2021-KW10,2,10,7,3,7,2,6,9,13,7,7,9,3,2,1,2,1,
2021-KW11,9,10,6,18,15,17,8,26,10,11,15,12,11,6,5,2,4,
2021-KW12,24,28,17,26,15,16,36,42,29,17,22,10,19,8,2,6,13,
2021-KW13,24,23,9,14,19,17,32,23,15,18,18,21,10,7,3,,6,
2021-KW14,16,18,17,22,25,18,24,35,20,11,15,11,14,10,6,2,13,
2021-KW15,12,17,12,17,17,24,18,21,17,18,15,13,8,9,5,2,2,
2021-KW16,11,10,8,8,11,21,10,15,9,14,13,16,8,3,2,2,7,
2021-KW17,5,4,5,7,15,12,12,15,4,12,13,14,6,4,2,3,7,
2021-KW18,9,16,16,16,10,13,16,20,17,10,18,22,6,2,2,1,6,
2021-KW19,8,12,14,10,13,13,19,16,8,7,13,9,2,3,2,4,5,
2021-KW20,11,12,10,18,14,9,14,10,12,7,7,3,2,5,,1,3,
2021-KW21,8,4,5,4,4,5,5,2,5,2,2,4,3,2,,,,
2021-KW22,3,2,4,5,3,5,3,2,3,2,3,2,3,2,,1,,
2021-KW23,,1,3,,,,3,1,4,,2,2,2,,,,,
2021-KW24,,,1,,,,,,,1,2,,,,,,,
