# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-09-04 08:44:07
# API-Download für Covid19-Fälle in LK Saalfeld-Rudolstadt, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,1,,1,,,,,1,,,1,,,1,,,
2020-KW12,,,,,,,,2,1,3,2,1,1,,2,,,
2020-KW13,,,,,1,,2,,,4,1,4,5,2,,,2,
2020-KW14,,,,,,,1,,,1,,4,3,2,,1,1,
2020-KW15,,,,,,,1,,,,,1,1,,,,,
2020-KW17,,,,,1,,1,,,,1,,,,,,1,
2020-KW18,,,,,1,,,1,1,,,,,1,,1,,
2020-KW19,,,,1,,,,,1,,,,,,,,,
2020-KW20,,,2,,,,,,,,,1,,1,,,,
2020-KW22,,,,,,,,1,,,,1,,,,,,
2020-KW26,,,,,,,,,,1,,,,,,,,
2020-KW33,,,,,1,,1,,,,,,,,,,,
2020-KW34,,1,1,1,,,,,,,,1,,,,,,
2020-KW37,,,,,,1,,,,,,,,,,2,,
2020-KW38,,,,,,,,,1,,,,,,,2,1,
2020-KW39,,,,,1,,,,1,,1,,2,,2,,1,
2020-KW40,,,,,1,2,,,1,,3,1,1,,,1,6,
2020-KW41,,,,,,,1,,,,,2,,,1,1,,
2020-KW42,,,,,,,,1,1,,2,2,2,,,1,,
2020-KW43,,3,,,1,,3,2,3,1,2,3,5,3,,,,
2020-KW44,2,1,,,2,3,2,4,1,2,5,3,,2,,2,4,
2020-KW45,,2,3,3,2,3,4,4,6,10,8,10,5,8,2,12,12,
2020-KW46,,4,3,3,10,2,5,6,8,4,9,15,5,6,4,4,7,
2020-KW47,4,7,10,5,6,11,9,9,15,10,18,6,7,7,3,2,16,
2020-KW48,5,4,10,11,4,1,10,13,9,6,16,17,14,6,2,4,21,
2020-KW49,2,11,15,13,9,16,22,22,18,15,33,38,18,14,7,9,31,
2020-KW50,4,5,17,8,13,12,25,20,16,26,26,40,25,22,12,17,31,
2020-KW51,5,7,5,19,16,4,29,26,36,36,47,68,29,20,9,18,87,
2020-KW52,2,4,3,10,21,8,16,33,17,29,34,48,35,13,11,10,60,
2020-KW53,1,1,1,8,12,8,4,20,21,22,22,36,23,15,16,20,58,
2021-KW01,8,9,7,10,29,21,42,48,34,39,53,64,50,27,20,20,75,
2021-KW02,4,3,13,20,25,24,36,39,35,30,33,49,45,33,23,20,80,
2021-KW03,1,3,5,10,17,8,23,29,23,28,26,29,44,16,19,15,70,
2021-KW04,1,3,2,10,9,9,12,8,16,8,18,19,18,7,4,3,28,
2021-KW05,1,1,3,6,9,4,6,4,7,14,7,17,10,5,4,4,12,
2021-KW06,,1,2,3,5,2,3,5,10,9,7,12,6,6,7,5,23,
2021-KW07,1,1,1,5,8,3,5,8,5,4,6,13,7,6,5,7,13,
2021-KW08,3,2,2,7,4,2,7,12,6,10,11,15,8,8,4,5,11,
