# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-01-06 07:36:24
# API-Download für Covid19-Fälle in LK Neuburg-Schrobenhausen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,1,,,,,,,,
2020-KW12,,,1,,4,1,2,3,,3,6,2,3,,,,1,
2020-KW13,,1,1,3,4,4,2,2,,2,9,5,3,1,2,3,8,
2020-KW14,,,,1,2,1,3,3,3,2,3,6,3,2,3,4,4,
2020-KW15,2,3,,6,2,3,3,4,6,6,12,4,4,3,3,6,10,
2020-KW16,,2,1,1,2,4,1,1,,2,2,4,2,1,,1,4,
2020-KW17,1,,1,1,2,3,,4,2,3,6,2,,1,4,3,6,
2020-KW18,,,,,3,3,4,1,4,3,1,,,2,,1,1,
2020-KW19,2,,,,3,6,2,1,3,,3,,1,1,,,,
2020-KW20,,,,,,,,1,1,,1,2,1,,,1,,
2020-KW21,,1,,,1,4,2,1,1,1,,1,1,,,,,
2020-KW23,,,,,1,1,,,1,,1,,,,1,,,
2020-KW24,,,,,1,,,,,,,,,,,,,
2020-KW26,,,,,,,,,,,,,,,1,,,
2020-KW28,,,,,,,,,,1,,,,,,,,
2020-KW30,,,,,,,1,,,,,,,,,,,
2020-KW32,2,,,1,,2,,,,,,,,,,,1,
2020-KW33,,,,,1,2,1,1,1,,,,,,,,,
2020-KW34,,3,,3,3,1,2,1,2,1,1,1,,,,,,
2020-KW35,1,1,2,3,2,1,,2,2,1,1,1,,,,,,
2020-KW36,,1,2,4,,,5,1,1,2,1,,,,,,1,
2020-KW37,,,2,2,1,1,,1,,,2,1,,,,,,
2020-KW38,1,,2,,2,1,,1,,2,,1,,,,,,
2020-KW39,,,1,2,1,,,1,,,,,,,,1,,
2020-KW40,,,,1,2,1,2,5,,,3,1,,,1,,,
2020-KW41,,2,4,2,4,6,1,2,1,3,4,2,,,,,1,
2020-KW42,,2,5,8,5,7,5,4,2,4,6,6,5,1,1,1,1,
2020-KW43,4,6,4,7,7,8,9,12,9,5,5,11,7,3,2,1,12,
2020-KW44,3,5,2,8,9,10,20,9,7,8,14,9,5,4,5,9,30,
2020-KW45,4,7,8,12,9,14,5,8,18,18,14,10,6,5,5,3,16,
2020-KW46,,2,5,7,9,8,17,7,14,5,9,8,6,4,5,1,17,
2020-KW47,,6,2,8,11,12,6,18,7,9,13,9,14,5,5,6,9,
2020-KW48,6,7,3,7,12,13,10,13,8,9,15,15,3,5,6,5,5,
2020-KW49,4,9,7,14,18,15,15,16,10,11,17,15,16,8,2,2,11,
2020-KW50,2,6,8,16,15,19,17,11,17,17,13,13,12,8,9,4,12,
2020-KW51,4,4,5,8,18,17,18,17,11,17,10,18,18,8,8,7,9,
2020-KW52,6,2,3,8,13,14,9,8,9,9,18,18,8,8,3,10,10,
2020-KW53,,9,7,7,12,4,5,8,16,13,11,12,12,6,4,1,8,
2021-KW01,4,2,4,14,15,12,10,10,15,10,15,10,8,7,2,3,8,
2021-KW02,5,5,3,5,9,8,8,10,12,9,8,8,5,3,2,10,5,
2021-KW03,3,1,4,6,4,5,6,12,7,6,7,10,6,1,4,1,11,
2021-KW04,,2,5,2,2,3,1,3,5,6,4,6,6,1,1,2,18,
2021-KW05,,,,,4,4,1,3,2,1,1,1,,,1,1,3,
2021-KW06,,,,1,2,2,3,,2,2,,3,,1,,,1,
2021-KW07,,1,1,2,3,1,3,3,2,1,1,2,2,2,,1,2,
2021-KW08,,,,,1,1,6,5,5,1,2,1,1,3,2,,,
2021-KW09,,1,1,1,3,1,4,5,2,2,,3,3,1,1,1,,
2021-KW10,2,5,3,1,4,12,5,3,7,7,6,10,4,4,2,1,,
2021-KW11,1,9,7,3,10,7,11,11,11,12,6,7,3,3,1,4,1,
2021-KW12,6,5,7,5,7,12,20,16,14,10,14,9,3,4,2,,4,
2021-KW13,9,13,7,4,13,13,13,18,12,12,11,11,4,3,,3,1,
2021-KW14,9,12,6,9,11,10,10,17,14,11,14,9,7,5,3,3,3,
2021-KW15,2,5,12,18,18,12,19,11,21,15,15,13,7,5,2,2,4,
2021-KW16,4,4,10,12,13,17,17,8,12,21,17,10,4,3,4,6,4,
2021-KW17,3,4,4,9,10,7,6,10,10,11,5,12,8,2,1,2,2,
2021-KW18,14,5,7,10,5,6,7,9,2,4,8,5,2,2,,1,1,
2021-KW19,5,2,4,1,1,6,7,9,3,4,5,13,3,,3,1,4,
2021-KW20,4,2,,1,9,4,7,2,2,4,1,4,2,1,3,2,2,
2021-KW21,2,4,,1,5,,2,,3,6,2,2,,,2,,,
2021-KW22,1,2,2,6,2,2,1,,,4,,,1,,,,3,
2021-KW23,,2,2,6,3,,1,2,3,4,1,,,2,,,,
2021-KW24,,,1,,,,,2,,,,,,1,,,,
2021-KW25,,,,,,,,1,,,1,2,1,,,,,
2021-KW26,,1,,,2,,,,,1,,,,,,,,
2021-KW28,3,2,1,2,,,1,3,3,,1,2,3,,,2,2,
2021-KW29,2,,,,,,,3,,,2,1,1,2,,,1,
2021-KW30,,1,1,,,,1,1,,1,,,,,,,,
2021-KW31,,,1,2,5,2,1,,,,1,1,,,,1,1,
2021-KW32,2,1,1,3,7,1,3,2,2,5,2,4,1,,,,,
2021-KW33,1,6,3,11,8,6,6,2,4,6,3,3,3,1,,,2,
2021-KW34,3,4,9,9,9,15,11,8,8,5,8,6,1,1,2,1,2,
2021-KW35,9,6,8,6,6,8,8,7,9,5,5,5,6,,1,2,1,
2021-KW36,1,4,5,9,10,5,4,6,5,2,2,7,2,,2,,4,
2021-KW37,2,7,10,4,8,7,5,6,6,7,5,3,2,2,2,,2,
2021-KW38,2,14,10,7,5,3,6,6,11,9,4,6,1,2,2,,1,
2021-KW39,3,7,14,6,4,4,9,4,7,5,3,5,1,3,,,4,
2021-KW40,2,2,7,5,5,3,7,4,1,5,4,5,2,3,2,,9,
2021-KW41,5,7,19,13,8,6,3,9,5,6,4,2,1,1,3,3,1,
2021-KW42,3,14,20,11,9,8,14,7,8,6,13,8,2,4,,3,4,
2021-KW43,7,10,24,17,14,15,11,13,20,8,16,9,11,3,,6,3,
2021-KW44,2,13,26,24,41,33,21,22,12,11,21,23,14,9,7,8,15,
2021-KW45,11,39,50,41,38,36,42,44,51,46,55,45,33,10,11,10,19,
2021-KW46,23,57,82,64,39,54,58,54,62,61,57,59,32,15,19,12,46,
2021-KW47,23,42,85,75,44,49,41,59,49,56,61,54,33,27,24,17,20,
2021-KW48,27,51,41,47,36,38,38,51,37,28,39,31,28,17,21,14,21,
2021-KW49,17,34,42,20,26,29,27,40,37,36,41,41,34,17,4,10,16,
2021-KW50,13,46,32,16,20,21,20,34,34,23,22,12,17,10,6,4,6,
2021-KW51,20,28,28,13,9,8,15,30,20,16,16,10,7,4,3,1,6,
2021-KW52,7,7,9,12,10,9,6,9,10,15,15,10,5,4,3,1,5,
2022-KW01,10,20,13,23,27,16,19,21,25,23,18,16,11,8,8,1,4,
2022-KW02,16,37,61,69,63,38,40,52,55,41,36,28,16,6,4,2,7,
2022-KW03,62,127,143,113,104,90,113,119,115,82,90,77,46,22,15,8,3,
2022-KW04,81,198,196,113,114,126,161,175,157,139,107,104,64,31,26,7,20,1
2022-KW05,97,239,227,229,180,151,180,207,201,180,138,131,67,43,30,21,36,
2022-KW06,120,304,239,212,152,145,217,225,227,165,161,122,98,35,32,10,35,
2022-KW07,89,282,246,183,174,151,185,253,240,134,134,120,97,43,24,20,37,
