# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-24 07:55:55
# API-Download für Covid19-Inzidenzen in SK Wiesbaden, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,7.39,,,,,,,,5.58,14.1,,11.74,,,,,
2020-KW12,6.72,22.17,7.38,,17.26,16.72,42.75,38.87,16.58,27.92,42.3,24.04,5.87,7.24,16.08,8.72,,
2020-KW13,6.72,,,7.49,23.01,72.44,32.06,83.3,49.73,39.08,28.2,28.84,35.21,43.47,32.16,17.45,5.43,
2020-KW14,,7.39,7.38,7.49,17.26,22.29,26.72,11.11,11.05,55.83,42.3,38.46,29.34,,8.04,34.89,27.17,
2020-KW15,,,14.77,,11.5,11.14,21.37,22.21,33.16,5.58,4.7,24.04,17.6,28.98,16.08,26.17,5.43,
2020-KW16,,,,7.49,23.01,22.29,16.03,16.66,16.58,22.33,23.5,9.61,,,8.04,,10.87,
2020-KW17,,,,,11.5,,10.69,11.11,5.53,5.58,,24.04,5.87,21.73,8.04,8.72,5.43,
2020-KW18,,,,14.97,17.26,16.72,5.34,16.66,,5.58,14.1,,11.74,7.24,8.04,8.72,21.73,
2020-KW19,,,,,17.26,11.14,21.37,5.55,16.58,11.17,9.4,19.23,11.74,14.49,,17.45,5.43,
2020-KW20,13.43,14.78,,22.46,23.01,16.72,5.34,16.66,11.05,16.75,18.8,9.61,5.87,7.24,8.04,26.17,16.3,
2020-KW21,,,,,11.5,5.57,10.69,11.11,5.53,11.17,4.7,14.42,23.47,28.98,16.08,17.45,59.77,
2020-KW22,,,,,11.5,5.57,16.03,5.55,22.1,11.17,4.7,,,,8.04,8.72,,
2020-KW23,,,,,5.75,5.57,,,5.53,,4.7,,,,,,16.3,
2020-KW24,,,7.38,,5.75,5.57,,16.66,,11.17,4.7,,,,,,,
2020-KW25,6.72,,,7.49,5.75,,,5.55,5.53,5.58,,,,,,,,
2020-KW26,,,,,,,,,,,,,,,8.04,,5.43,
2020-KW27,,,,,5.75,5.57,5.34,22.21,,5.58,9.4,14.42,5.87,,,,,
2020-KW28,,,,,,5.57,10.69,5.55,,,,9.61,,,,,,
2020-KW29,20.15,7.39,,7.49,5.75,22.29,,11.11,5.53,,,,5.87,7.24,8.04,,,
2020-KW30,,,,7.49,5.75,5.57,5.34,5.55,16.58,11.17,9.4,,,,8.04,,5.43,
2020-KW31,6.72,7.39,7.38,29.94,23.01,5.57,,16.66,33.16,11.17,23.5,19.23,17.6,7.24,8.04,52.34,,
2020-KW32,6.72,7.39,7.38,14.97,23.01,44.58,26.72,11.11,16.58,5.58,4.7,43.27,11.74,28.98,8.04,26.17,5.43,
2020-KW33,6.72,29.57,29.53,37.43,28.76,5.57,5.34,44.42,11.05,44.67,32.9,24.04,11.74,7.24,8.04,17.45,5.43,
2020-KW34,20.15,29.57,59.06,52.4,69.03,61.29,58.78,55.53,38.68,67.0,18.8,14.42,,7.24,8.04,17.45,5.43,
2020-KW35,6.72,59.13,22.15,37.43,57.52,61.29,58.78,44.42,66.31,50.25,32.9,24.04,29.34,28.98,8.04,,5.43,
2020-KW36,13.43,22.17,22.15,29.94,34.51,39.01,21.37,16.66,11.05,5.58,18.8,4.81,,7.24,,,,
2020-KW37,6.72,,14.77,29.94,28.76,50.15,10.69,16.66,27.63,22.33,14.1,33.65,5.87,,8.04,,10.87,
2020-KW38,,14.78,7.38,67.38,40.26,11.14,16.03,11.11,22.1,22.33,14.1,4.81,5.87,,,8.72,10.87,
2020-KW39,,,,52.4,34.51,39.01,21.37,27.77,27.63,5.58,14.1,33.65,17.6,21.73,8.04,,,
2020-KW40,13.43,14.78,7.38,7.49,51.77,44.58,37.41,27.77,5.53,22.33,18.8,19.23,41.07,14.49,16.08,,16.3,
2020-KW41,13.43,7.39,7.38,67.38,92.03,100.3,74.81,27.77,55.26,44.67,46.99,43.27,17.6,21.73,56.28,8.72,10.87,
2020-KW42,20.15,14.78,51.68,104.81,155.31,117.02,90.84,77.74,121.57,33.5,51.69,52.88,29.34,43.47,16.08,26.17,108.67,
2020-KW43,6.72,59.13,59.06,202.13,287.6,278.61,154.96,161.04,176.83,178.67,206.78,124.99,129.09,86.93,56.28,87.24,76.07,
2020-KW44,47.02,66.52,184.57,344.36,339.37,317.62,245.81,216.57,248.67,234.51,249.07,245.17,146.7,101.42,144.73,52.34,92.37,
2020-KW45,40.3,96.09,191.95,381.79,379.64,395.63,299.24,294.31,342.62,390.84,281.97,283.63,228.85,188.35,152.77,174.47,418.39,
2020-KW46,60.46,81.31,206.72,486.6,500.43,429.06,390.08,310.97,337.09,262.42,357.16,298.05,217.11,224.57,136.69,87.24,266.25,
2020-KW47,26.87,81.31,177.19,359.34,345.13,295.33,283.21,333.19,331.56,301.51,314.86,264.4,258.19,181.11,72.36,157.03,157.57,
2020-KW48,60.46,36.96,147.66,209.61,230.08,211.75,240.46,222.12,182.36,234.51,216.18,192.29,193.64,137.64,152.77,113.41,412.95,
2020-KW49,6.72,44.35,81.21,134.75,149.55,161.6,133.59,155.49,105.0,128.42,122.19,115.37,52.81,65.2,112.57,95.96,211.91,
2020-KW50,47.02,66.52,81.21,194.64,172.56,211.75,187.03,222.12,132.63,212.17,126.89,173.06,99.75,72.44,96.49,69.79,336.88,
2020-KW51,20.15,29.57,88.59,127.26,235.84,234.04,224.43,199.91,270.78,184.25,117.49,168.25,170.17,144.89,88.45,104.68,277.11,
2020-KW52,20.15,,14.77,37.43,132.3,178.31,90.84,127.72,88.42,173.09,117.49,100.95,140.83,72.44,80.41,78.51,190.18,
2020-KW53,13.43,7.39,7.38,149.72,115.04,139.31,144.28,94.4,116.05,106.09,98.69,115.37,46.94,108.66,32.16,78.51,130.41,
2021-KW01,26.87,22.17,36.91,134.75,172.56,172.74,165.65,183.25,154.73,206.59,122.19,144.22,93.89,94.18,136.69,113.41,364.05,
2021-KW02,20.15,14.78,29.53,97.32,155.31,139.31,133.59,94.4,105.0,128.42,70.49,52.88,64.55,57.95,48.24,104.68,271.68,
2021-KW03,20.15,,7.38,59.89,143.8,100.3,85.5,61.08,82.89,78.17,89.29,76.92,52.81,50.71,48.24,87.24,298.85,
2021-KW04,,14.78,7.38,67.38,132.3,66.87,101.53,49.98,71.84,100.5,112.79,120.18,64.55,101.42,72.36,69.79,287.98,
2021-KW05,40.3,22.17,14.77,74.86,80.53,55.72,106.87,66.64,60.79,50.25,65.79,52.88,88.02,21.73,72.36,130.86,287.98,
2021-KW06,40.3,14.78,29.53,14.97,51.77,78.01,37.41,55.53,49.73,72.59,32.9,57.69,58.68,21.73,56.28,34.89,54.34,
