# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-16 05:52:52
# API-Download für Covid19-Fälle in SK Münster, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,1,,,,,,,
2020-KW10,1,,,,2,,,,1,,,,,,,,,
2020-KW11,,,,,5,2,4,4,3,3,5,3,1,2,1,,,
2020-KW12,1,1,,2,22,32,24,16,12,20,20,23,17,9,4,3,4,
2020-KW13,,,,5,10,27,12,15,13,11,17,18,15,7,4,9,18,
2020-KW14,,,1,1,12,17,7,6,5,2,13,13,10,5,1,4,4,
2020-KW15,,,,2,3,6,3,2,6,3,7,5,5,1,1,2,,
2020-KW16,,,,,2,6,1,2,1,1,1,1,,2,1,2,2,
2020-KW17,,,,,7,1,4,3,,1,1,1,,,,1,,
2020-KW18,,,,,,,1,1,,,1,1,,,1,,,
2020-KW19,,,,1,1,4,1,,,,3,4,1,1,1,,,
2020-KW20,4,,2,4,4,2,3,5,3,1,1,2,,,,,,
2020-KW21,3,1,9,6,,1,2,1,,3,2,1,,,,,,
2020-KW22,1,,,,,2,1,,,,,,,,,,,
2020-KW23,1,1,2,1,3,2,2,1,1,2,2,,1,,,,,
2020-KW24,,,,1,,,,1,,,,,,,,,,
2020-KW25,,,2,,,1,,,,,,1,,,,,,
2020-KW26,,,,,,,,,1,,,,,,,,,
2020-KW27,,,,1,,,,,,,,,,,,,,
2020-KW28,,,,,,,,,,2,,,,,,,1,
2020-KW29,,,,,2,1,,,,,,1,,,,,,
2020-KW30,1,,2,1,2,1,,4,1,,2,,,,,,,
2020-KW31,1,,3,5,4,,2,2,2,2,3,,,,,,,
2020-KW32,3,6,7,7,8,3,2,7,7,1,,2,3,1,,,,
2020-KW33,,3,4,7,8,9,7,2,4,1,1,1,1,,,,,
2020-KW34,1,,,1,10,3,7,2,1,,,,,,,1,,
2020-KW35,1,,,1,2,7,7,,1,3,1,,1,,,,,
2020-KW36,,,,3,4,3,2,1,,1,1,2,,1,,,,
2020-KW37,,,,2,3,4,3,2,1,1,3,1,,,,,1,
2020-KW38,,1,1,2,7,4,4,1,1,1,1,3,1,,,,,
2020-KW39,1,1,1,5,14,16,4,2,2,1,3,3,,,,1,,
2020-KW40,,,1,7,17,17,9,6,6,3,4,,5,4,1,2,,
2020-KW41,,2,3,7,22,13,4,8,3,6,10,4,3,2,3,,3,
2020-KW42,1,,,5,14,12,10,12,10,6,3,7,6,3,3,5,1,
2020-KW43,2,1,7,5,33,32,26,19,7,17,12,11,14,6,6,2,19,
2020-KW44,5,7,3,17,70,51,46,32,30,20,28,29,18,10,5,1,8,
2020-KW45,12,9,17,16,55,34,28,23,30,26,21,22,7,8,4,5,9,
2020-KW46,4,12,16,23,33,27,23,21,13,13,14,13,10,3,3,2,19,
2020-KW47,3,8,8,16,31,20,18,13,20,22,20,14,13,7,3,10,12,
2020-KW48,4,5,14,15,30,19,16,13,13,5,16,15,6,6,4,4,5,
2020-KW49,2,8,8,17,19,19,15,9,14,15,10,10,11,9,6,2,9,
2020-KW50,4,10,9,21,30,35,35,34,24,28,28,25,7,9,6,2,10,
2020-KW51,9,9,9,18,40,43,35,25,21,21,27,25,25,10,9,15,52,
2020-KW52,4,2,5,14,45,56,28,15,20,24,19,22,14,8,6,11,35,
2020-KW53,4,1,4,11,44,50,25,23,13,15,18,22,26,10,10,12,31,
2021-KW01,9,4,6,13,37,24,28,18,18,21,13,20,11,11,4,6,28,
2021-KW02,3,2,7,13,32,23,14,9,17,12,12,12,4,2,6,4,11,
2021-KW03,2,3,10,6,19,11,11,8,10,9,9,10,8,5,3,2,8,
2021-KW04,5,2,2,9,15,15,11,7,7,8,8,8,6,1,3,,4,
2021-KW05,4,4,2,2,9,14,9,5,8,7,8,4,5,2,1,3,2,
2021-KW06,1,,,2,7,8,7,6,2,4,3,4,3,,4,,2,
2021-KW07,3,3,5,1,6,10,8,12,6,7,8,4,3,1,2,1,2,
2021-KW08,6,7,9,9,12,8,12,13,6,8,1,3,4,4,,,3,
2021-KW09,7,14,9,14,11,13,17,12,6,10,13,4,3,1,2,3,3,
2021-KW10,11,16,8,14,13,15,16,11,12,10,6,3,7,3,2,1,2,
2021-KW11,18,17,20,18,34,19,18,26,33,21,8,16,6,1,6,4,5,
2021-KW12,14,20,16,22,30,22,17,19,14,8,15,15,4,6,,4,1,
2021-KW13,16,14,17,22,27,22,20,13,16,13,7,9,8,5,4,2,1,
2021-KW14,14,20,14,25,39,36,24,23,32,13,13,16,17,6,3,4,2,
2021-KW15,16,24,26,31,47,40,28,21,26,20,15,15,14,6,1,6,4,
2021-KW16,15,26,34,46,35,40,24,26,20,26,16,24,7,9,2,1,5,
2021-KW17,17,18,22,24,27,25,19,20,19,15,16,14,9,6,4,2,6,
2021-KW18,18,20,19,18,15,9,14,13,9,10,11,6,6,6,2,2,2,
2021-KW19,4,5,3,5,14,7,4,2,7,4,3,3,5,2,2,,1,
2021-KW20,3,3,5,7,3,11,8,4,3,2,3,7,,1,,,1,
2021-KW21,,2,1,3,11,13,5,5,2,2,3,1,1,1,1,,,
2021-KW22,1,4,2,,1,2,1,3,2,1,3,1,,,,,,
2021-KW23,2,,4,2,6,3,,1,1,,,2,,,1,,,
2021-KW24,1,,,,2,2,1,,,2,,1,,,,,,
2021-KW25,,,,,3,3,1,,,,,1,,,,,,
2021-KW26,1,3,,,6,1,2,,,,,,1,,,1,2,
2021-KW27,1,1,1,1,9,10,8,3,1,,1,3,,1,,,,
2021-KW28,1,,,8,15,10,8,,,,2,2,,,,1,,
2021-KW29,1,1,2,12,11,3,4,3,2,4,2,3,1,1,,,1,
2021-KW30,,2,6,11,11,6,3,7,5,4,5,1,4,,,,,
2021-KW31,3,8,8,6,13,8,7,9,6,5,5,3,1,2,,,2,
2021-KW32,6,9,12,7,19,15,13,11,8,12,10,5,2,1,1,1,,
2021-KW33,14,18,33,28,17,17,17,14,15,11,3,8,7,5,,,3,
2021-KW34,12,27,26,19,26,31,13,14,19,14,13,5,7,3,1,,4,
2021-KW35,16,15,26,16,18,29,12,11,18,9,5,7,6,2,1,1,4,
2021-KW36,11,20,18,23,47,30,11,14,8,12,4,5,6,3,4,1,1,
