# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-07-19 08:47:17
# API-Download für Covid19-Fälle in SK Dessau-Roßlau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,,,,,1,1,1,3,1,,1,,2,
2020-KW13,,,1,,1,,,,2,,1,2,1,1,,,1,
2020-KW14,,,1,,1,2,,,2,1,2,2,1,1,,1,1,
2020-KW15,,,2,,1,,1,2,,2,3,2,1,1,,1,1,
2020-KW16,,,,,,,,,,1,1,,,,4,,,
2020-KW17,,,,1,1,1,,,,,,,,,,,1,
2020-KW18,,,,,,,,,,,,,,,1,,1,
2020-KW22,,,,,,,,,,,,,,1,,,,
2020-KW32,,,,,,,1,1,,,1,,,,,,,
2020-KW33,,1,,1,,1,,,,1,,,,,,,,
2020-KW34,,,,,1,,,,1,1,,,,,,,,
2020-KW35,,,,,,,1,,1,,,,,,,,,
2020-KW36,,,1,,,,1,,,1,,,,,,,,
2020-KW37,,,,,2,,,,1,1,,1,,,,1,,
2020-KW38,,1,1,,,,,,1,1,2,1,,,,,2,
2020-KW39,,,2,,,,,,1,1,,,1,,,2,1,
2020-KW40,,,2,,,,2,,1,2,1,1,2,2,,1,,
2020-KW41,,1,3,1,,,2,,,2,1,1,,3,2,1,,
2020-KW42,,,1,,1,,,,,,,1,2,,,,5,
2020-KW43,,,,,,,,,1,,,,,,,,2,
2020-KW44,,,,,1,1,,,1,1,,2,5,,1,,,
2020-KW45,,2,1,2,4,6,2,1,3,1,3,3,1,2,1,,3,
2020-KW46,,2,1,,1,1,1,2,,3,1,1,,,,,1,
2020-KW47,,,3,,3,,3,1,2,2,5,3,3,1,1,1,6,
2020-KW48,2,4,8,4,3,4,11,12,7,6,5,10,6,2,4,6,18,
2020-KW49,1,2,5,6,6,2,6,5,9,9,13,15,14,9,3,6,11,
2020-KW50,2,3,11,4,4,7,8,10,12,8,11,21,5,7,4,1,13,
2020-KW51,9,8,12,13,3,7,12,15,10,15,14,12,14,5,2,5,14,
2020-KW52,2,1,8,3,7,4,10,12,14,13,11,16,10,4,,5,20,
2020-KW53,2,,5,3,7,12,7,7,6,10,19,19,15,6,11,13,33,
2021-KW01,,1,4,10,4,9,14,11,10,7,15,18,16,8,9,9,38,
2021-KW02,,3,,5,8,5,8,8,7,7,9,17,9,9,4,8,18,
2021-KW03,3,11,4,2,4,4,16,6,8,11,18,24,10,7,8,4,40,
2021-KW04,2,,3,2,2,6,15,9,10,8,12,23,14,8,4,11,29,
2021-KW05,5,,3,3,9,7,5,7,5,12,8,19,12,12,4,12,27,
2021-KW06,2,2,3,,4,4,3,9,2,4,7,6,11,3,2,3,14,
2021-KW07,,1,2,3,4,3,2,7,5,5,8,7,5,3,3,4,6,
2021-KW08,1,4,,,3,3,7,4,8,7,6,8,10,1,1,1,12,1
2021-KW09,1,1,,1,1,1,7,2,,7,6,1,2,6,2,2,8,
2021-KW10,4,7,2,3,5,2,3,9,6,5,6,4,7,2,3,1,1,1
2021-KW11,3,6,2,6,3,4,4,4,5,6,5,5,7,4,5,1,6,
2021-KW12,7,14,5,2,3,1,8,5,9,5,12,21,10,6,,4,4,
2021-KW13,3,5,9,5,6,6,6,13,5,8,8,13,8,10,3,2,11,
2021-KW14,2,5,3,3,9,5,2,5,6,6,13,7,7,4,3,5,25,
2021-KW15,2,8,5,2,12,13,10,11,12,6,10,13,5,5,2,5,13,
2021-KW16,2,8,11,8,4,9,11,11,7,8,9,13,6,8,2,3,6,
2021-KW17,2,5,10,15,8,4,9,10,11,6,7,12,9,4,8,1,6,
2021-KW18,,6,6,3,6,9,5,4,8,6,8,13,6,2,1,4,3,
2021-KW19,1,1,2,4,6,5,5,7,6,5,6,11,7,1,1,,1,
2021-KW20,2,3,,2,2,2,1,2,6,2,5,6,6,1,3,3,1,
2021-KW21,2,2,,3,,,5,4,1,,5,2,3,,1,2,,
2021-KW22,,2,,,1,,1,1,1,1,,2,1,,,,2,
2021-KW23,,,,,,,,,,2,,1,,,,,1,
2021-KW28,,,,,1,2,,,,,1,,,,,,,
2021-KW29,,,,,,1,,,1,,,,,,,,,
2021-KW30,,,,,,,1,1,,,,1,,,,,,
2021-KW31,,,1,,,,1,,,1,,,,,,,,
2021-KW32,1,,2,,,,,2,,,1,1,,,,,,
2021-KW33,,1,,1,3,2,,1,1,2,,,,,,,,
2021-KW34,1,1,,1,1,1,2,1,1,,,1,,,,,1,
2021-KW35,,2,,1,3,1,,,1,,,,,,,1,,
2021-KW36,1,,1,2,1,1,1,,3,,1,1,,1,1,1,1,
2021-KW37,1,3,3,4,1,,1,1,1,1,,1,,,,,2,
2021-KW38,,,,3,,2,,2,3,1,,2,3,,1,1,3,
2021-KW39,,1,1,,1,,3,,1,1,5,2,1,2,1,1,6,
2021-KW40,,,,1,1,2,1,,3,,4,,1,4,,2,3,
2021-KW41,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,
2021-KW42,2,25,2,2,2,2,4,3,7,2,5,2,4,1,,,1,
2021-KW43,4,22,5,2,2,5,18,6,7,8,6,13,,5,2,2,7,
2021-KW44,6,33,23,11,5,9,14,13,13,16,11,5,8,3,4,5,14,
2021-KW45,9,16,40,32,14,11,29,27,48,26,24,33,18,9,8,6,14,
2021-KW46,12,40,97,40,16,14,30,34,45,32,42,22,27,7,8,10,21,
2021-KW47,15,46,120,60,32,24,45,66,65,49,52,62,37,38,24,17,32,
2021-KW48,19,49,63,42,34,21,52,64,52,35,41,56,27,23,16,14,35,
2021-KW49,14,52,80,34,33,22,49,70,63,55,69,67,45,22,23,11,40,
2021-KW50,18,48,48,25,41,27,36,40,38,26,35,43,27,14,20,11,19,
2021-KW51,6,19,30,21,21,16,37,42,24,26,15,21,23,11,7,12,17,
2021-KW52,9,16,14,8,13,8,16,20,18,15,23,18,13,10,4,5,9,
2022-KW01,3,6,13,13,15,16,15,13,11,8,19,16,16,7,7,5,6,
2022-KW02,7,18,13,13,6,13,25,15,17,19,23,18,11,6,7,2,7,
2022-KW03,21,48,18,18,11,14,35,31,24,15,26,25,12,4,3,2,7,
2022-KW04,50,136,93,58,24,23,78,77,56,31,31,53,20,14,12,1,21,
2022-KW05,70,186,129,69,38,40,104,144,91,41,56,60,45,12,10,8,16,
2022-KW06,71,169,165,88,40,37,123,143,117,69,58,63,44,22,20,18,41,
2022-KW07,54,103,100,86,85,59,112,131,122,66,88,92,66,36,28,22,63,
2022-KW08,31,60,77,84,62,37,89,97,80,89,71,64,53,31,22,12,70,1
2022-KW09,62,91,95,102,62,65,104,104,90,78,132,107,65,35,22,22,82,
2022-KW10,52,98,79,81,59,56,93,87,98,60,109,128,69,32,24,28,79,
2022-KW11,37,81,90,78,63,58,86,102,108,71,100,115,88,47,36,20,68,
