# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-29 09:17:30
# API-Download für Covid19-Inzidenzen in SK Fürth, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,9.81,,,,,,,
2020-KW11,,,37.72,,,,,10.89,22.66,23.59,,9.65,,,,,,
2020-KW12,,,18.86,17.81,13.6,34.6,41.52,21.78,,11.8,49.03,9.65,11.99,,,,,
2020-KW13,15.06,,,,68.01,46.14,41.52,54.44,45.32,70.78,39.23,38.61,83.96,45.16,55.63,85.11,388.08,
2020-KW14,60.23,,,71.24,95.21,69.2,51.9,32.67,45.32,58.98,68.65,67.56,23.99,,74.17,191.49,401.94,
2020-KW15,,,18.86,17.81,27.2,23.07,20.76,65.33,56.64,47.19,78.45,96.52,59.97,60.21,74.17,42.55,41.58,
2020-KW16,,,,,54.41,11.53,41.52,10.89,22.66,35.39,19.61,28.95,47.98,30.11,37.09,42.55,138.6,
2020-KW17,,,,17.81,13.6,57.67,10.38,10.89,56.64,47.19,39.23,48.26,35.98,45.16,,85.11,180.18,
2020-KW18,,,,,27.2,11.53,,32.67,,,29.42,28.95,11.99,,37.09,,,
2020-KW19,,,,17.81,,,,43.55,11.33,,9.81,9.65,11.99,15.05,,,,
2020-KW20,,,,,13.6,,,21.78,,11.8,,9.65,,,,,,
2020-KW21,,,,,,23.07,,,,,,28.95,11.99,,,,,
2020-KW22,,,,,,11.53,,,,,,9.65,,,37.09,,,
2020-KW23,,,,,,,,,,11.8,9.81,9.65,23.99,30.11,,,,
2020-KW24,,35.24,37.72,,,23.07,,10.89,,,,,11.99,,,,,
2020-KW25,15.06,,37.72,,,,,21.78,,,,,,,,,,
2020-KW26,15.06,17.62,,,,,,21.78,22.66,,,,,,,,,
2020-KW27,15.06,17.62,,53.43,13.6,11.53,10.38,10.89,,,9.81,,,15.05,,,,
2020-KW29,,,,,,23.07,,,,,9.81,,,,,21.28,,
2020-KW30,15.06,,,,,11.53,10.38,,,11.8,9.81,9.65,11.99,15.05,,,,
2020-KW31,,,,,,23.07,,,,,,,,,,,,
2020-KW32,,,,17.81,,,,,11.33,,,,11.99,,,,,
2020-KW33,,35.24,,17.81,27.2,23.07,10.38,,22.66,,,9.65,,15.05,,,,
2020-KW34,,35.24,18.86,17.81,54.41,34.6,,,33.99,,9.81,,,,,,,
2020-KW35,,17.62,,71.24,27.2,34.6,31.14,,33.99,11.8,9.81,9.65,,,,,,
2020-KW36,,52.86,37.72,89.05,40.81,11.53,10.38,,11.33,23.59,19.61,28.95,,,,,,
2020-KW37,15.06,17.62,,53.43,,11.53,,21.78,22.66,23.59,9.81,,11.99,,18.54,,13.86,
2020-KW38,,,,35.62,54.41,46.14,31.14,10.89,33.99,47.19,9.81,19.3,11.99,,,,13.86,
2020-KW39,15.06,52.86,18.86,71.24,68.01,69.2,72.66,10.89,45.32,35.39,29.42,9.65,23.99,15.05,37.09,,,
2020-KW40,,,37.72,17.81,27.2,46.14,10.38,43.55,33.99,47.19,19.61,57.91,23.99,15.05,,,,
2020-KW41,30.12,17.62,,17.81,68.01,69.2,20.76,32.67,11.33,23.59,9.81,19.3,11.99,30.11,18.54,63.83,,
2020-KW42,15.06,,,89.05,68.01,46.14,31.14,10.89,22.66,70.78,78.45,9.65,23.99,15.05,37.09,,13.86,
2020-KW43,15.06,,150.89,106.86,163.22,80.74,93.42,54.44,90.63,47.19,58.84,96.52,23.99,30.11,18.54,106.38,13.86,
2020-KW44,15.06,52.86,264.05,231.52,231.23,196.08,186.84,108.89,113.29,188.75,88.26,106.17,71.97,45.16,74.17,63.83,69.3,
2020-KW45,30.12,88.11,414.94,302.76,258.43,438.29,176.46,185.1,237.91,365.7,205.94,173.73,143.94,165.59,55.63,170.21,180.18,
2020-KW46,75.29,105.73,245.19,534.28,448.86,392.16,321.78,283.1,294.55,259.53,274.59,279.9,191.92,120.43,185.43,63.83,374.22,
2020-KW47,45.17,176.21,282.91,374.0,231.23,265.28,155.7,304.88,271.89,318.51,294.2,212.33,191.92,165.59,129.8,63.83,138.6,
2020-KW48,105.41,264.32,471.52,427.43,408.05,288.35,134.94,272.21,351.2,365.7,225.56,183.38,227.9,180.64,129.8,170.21,304.92,
2020-KW49,150.58,281.94,339.49,249.33,340.04,346.02,321.78,293.99,271.89,401.09,254.98,241.29,203.91,135.48,129.8,106.38,110.88,
2020-KW50,210.81,193.83,396.08,480.85,394.45,426.76,352.92,250.44,339.87,365.7,186.33,202.68,191.92,90.32,278.14,106.38,97.02,
2020-KW51,135.52,176.21,377.22,160.28,353.65,207.61,269.88,283.1,203.92,188.75,333.43,144.77,203.91,180.64,111.26,234.04,194.04,
2020-KW52,75.29,123.35,37.72,89.05,176.82,219.15,186.84,185.1,135.95,153.36,176.52,135.12,179.92,120.43,203.97,255.32,401.94,
2020-KW53,15.06,52.86,94.3,195.9,231.23,173.01,103.8,250.44,203.92,106.17,362.85,241.29,203.91,135.48,111.26,255.32,748.44,
2021-KW01,30.12,176.21,75.44,302.76,367.25,311.42,176.46,239.55,181.26,224.14,156.91,173.73,299.87,240.86,92.71,276.6,443.52,
2021-KW02,60.23,52.86,358.36,231.52,204.03,242.21,238.74,228.66,249.24,212.34,304.01,212.33,191.92,90.32,111.26,170.21,346.5,
2021-KW03,150.58,123.35,150.89,267.14,217.63,207.61,197.22,163.33,181.26,176.95,117.68,212.33,191.92,90.32,92.71,21.28,152.46,
2021-KW04,135.52,140.97,113.16,89.05,95.21,126.87,114.18,130.66,124.62,129.76,98.07,106.17,119.95,75.27,18.54,,69.3,
2021-KW05,15.06,35.24,56.58,160.28,68.01,92.27,51.9,32.67,67.97,117.97,39.23,106.17,95.96,45.16,18.54,,55.44,
2021-KW06,30.12,17.62,56.58,53.43,40.81,46.14,41.52,87.11,33.99,94.37,9.81,38.61,23.99,15.05,18.54,,55.44,
2021-KW07,45.17,105.73,75.44,124.67,68.01,103.81,51.9,130.66,90.63,82.58,29.42,96.52,35.98,60.21,37.09,21.28,41.58,
2021-KW08,15.06,88.11,113.16,89.05,95.21,103.81,72.66,119.77,101.96,58.98,98.07,86.86,23.99,30.11,37.09,42.55,27.72,
2021-KW09,105.41,123.35,37.72,142.48,312.84,126.87,155.7,141.55,135.95,176.95,78.45,115.82,71.97,15.05,74.17,63.83,41.58,
2021-KW10,105.41,105.73,113.16,249.33,163.22,184.54,145.32,141.55,181.26,165.15,98.07,77.21,95.96,30.11,74.17,63.83,41.58,
2021-KW11,105.41,176.21,169.75,267.14,340.04,161.48,155.7,174.22,169.93,153.36,166.72,115.82,83.96,180.64,,106.38,27.72,
2021-KW12,30.12,140.97,132.03,302.76,285.64,149.94,186.84,174.22,215.25,153.36,137.3,125.47,143.94,45.16,55.63,63.83,166.32,
2021-KW13,90.35,264.32,94.3,249.33,299.24,161.48,145.32,206.88,203.92,212.34,176.52,173.73,167.93,75.27,148.34,106.38,27.72,
2021-KW14,150.58,123.35,169.75,195.9,285.64,149.94,342.54,228.66,181.26,224.14,196.14,173.73,155.93,180.64,92.71,85.11,110.88,
2021-KW15,180.7,317.18,358.36,302.76,394.45,265.28,373.68,283.1,181.26,330.31,225.56,289.55,203.91,135.48,92.71,170.21,291.06,
2021-KW16,180.7,281.94,414.94,445.24,476.06,449.83,311.4,304.88,441.83,353.9,245.17,231.64,119.95,165.59,278.14,170.21,207.9,
