# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-01-03 07:34:34
# API-Download für Covid19-Fälle in LK Neunkirchen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,,,,,1,,,,,,,,,,,,
2020-KW11,,,,,,,4,,,1,3,,,,,,1,
2020-KW12,,,,1,2,3,2,,,5,9,3,2,1,,,1,
2020-KW13,,,1,1,3,4,3,4,6,4,8,10,5,3,,2,4,
2020-KW14,,1,,1,5,5,2,7,2,2,4,3,7,2,3,7,9,
2020-KW15,,1,3,1,2,2,3,1,2,4,4,4,,1,,1,10,
2020-KW16,,,,2,1,2,1,2,1,2,1,1,2,2,,,10,
2020-KW17,,,,1,1,,,,,1,2,,,2,,,1,
2020-KW18,,1,1,1,1,1,,1,1,1,2,1,,1,,,1,
2020-KW19,,,,1,,,,,,,1,1,2,,1,,,
2020-KW20,,,,,1,1,,,,,3,1,,,1,1,2,
2020-KW22,,,,,,,,,,,,,,,,,2,
2020-KW23,,,,,,,,,,,1,1,,,2,,3,
2020-KW24,,,,,1,1,,,,1,1,1,,,,,1,
2020-KW25,,,,,,,,,,,,,,,,1,,
2020-KW28,,,,,,,,,,,,,,,,1,1,
2020-KW30,1,,,,,3,1,,,1,,,,,,,,
2020-KW31,1,,,,2,,,,,,,,,,,,,
2020-KW32,,,1,,1,,,,,,,,,,,,,
2020-KW33,,,3,,,,,2,1,1,3,,,,,,,
2020-KW34,,,1,,1,,2,,,2,,1,,,,,,
2020-KW35,,,,,,2,,,,,,,,,,,,
2020-KW36,1,,,1,1,1,1,1,1,,,2,,,,,,
2020-KW37,,,1,,,,,,,,,,1,,,,,
2020-KW38,2,1,3,1,,3,,1,,,,1,1,,,,,
2020-KW39,,1,,,1,1,2,1,2,,,2,1,,,,1,
2020-KW40,,,2,3,2,1,,,3,2,,2,,1,1,,,
2020-KW41,,,,2,5,6,5,,1,5,1,2,6,1,2,1,,
2020-KW42,4,4,6,12,14,8,13,8,8,16,15,5,3,6,1,1,3,
2020-KW43,5,3,4,11,12,21,15,6,8,9,12,8,8,8,8,3,9,
2020-KW44,7,8,12,13,14,26,17,18,15,13,13,16,20,12,11,3,20,
2020-KW45,6,9,9,14,14,12,14,13,19,12,18,18,15,10,8,9,21,
2020-KW46,3,9,15,12,13,8,16,17,10,21,12,14,13,9,5,7,11,
2020-KW47,3,5,10,6,7,4,12,7,16,11,14,13,10,3,4,6,8,
2020-KW48,4,6,8,12,14,12,9,12,7,7,12,8,8,2,5,2,19,
2020-KW49,2,3,4,7,7,7,11,8,11,6,12,12,8,6,4,2,9,
2020-KW50,2,1,5,5,12,16,15,11,15,13,22,31,30,9,16,6,28,
2020-KW51,2,1,2,9,15,13,15,12,9,6,17,28,13,9,5,6,34,
2020-KW52,6,3,1,5,8,8,12,13,12,11,20,15,6,3,3,9,22,
2020-KW53,4,2,,1,9,5,4,4,11,8,4,9,13,1,3,5,15,
2021-KW01,4,4,2,10,15,11,13,15,13,9,19,7,3,13,6,9,25,
2021-KW02,5,2,3,3,5,8,8,6,4,6,10,13,15,5,3,4,9,
2021-KW03,2,2,1,3,10,11,11,9,10,5,11,10,11,8,4,5,22,
2021-KW04,1,3,2,5,11,7,7,3,12,12,16,22,16,14,4,5,26,
2021-KW05,3,,6,6,8,13,15,16,9,7,25,35,27,17,12,12,38,
2021-KW06,2,4,2,6,10,7,12,6,9,6,14,15,5,8,7,12,21,
2021-KW07,1,1,1,5,5,6,8,3,3,3,8,12,11,10,7,3,6,
2021-KW08,6,1,2,3,12,6,11,7,11,6,7,13,10,7,7,2,8,
