# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-27 05:45:25
# API-Download für Covid19-Inzidenzen in LK Bergstraße, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,16.29,,,,,,,6.23,,,,,,,,,
2020-KW11,,,,,,,,6.21,,12.11,,4.14,4.91,,,,,
2020-KW12,,,,,7.41,14.0,31.02,18.64,12.47,48.43,21.88,12.43,9.81,12.07,,,,
2020-KW13,,8.14,,7.96,59.24,76.99,124.07,62.15,56.1,24.22,56.9,57.99,63.78,24.14,6.97,34.89,10.41,
2020-KW14,,8.14,,15.93,14.81,28.0,49.63,31.07,24.93,36.32,52.52,37.28,19.62,36.21,13.95,17.45,20.82,
2020-KW15,,,,15.93,7.41,34.99,6.2,43.5,18.7,6.05,17.51,33.14,9.81,12.07,13.95,17.45,5.21,
2020-KW16,,,,,44.43,,,,6.23,,21.88,8.28,,12.07,6.97,17.45,10.41,
2020-KW17,,,,,,7.0,,,,12.11,13.13,8.28,,6.04,,,5.21,
2020-KW18,,,,7.96,7.41,14.0,,12.43,6.23,12.11,4.38,8.28,,,,,5.21,
2020-KW19,7.81,,,7.96,7.41,7.0,,,6.23,6.05,8.75,4.14,,6.04,,17.45,,
2020-KW20,,,,7.96,14.81,7.0,6.2,,,6.05,8.75,8.28,,,,8.72,,
2020-KW21,,,,7.96,7.41,14.0,,,6.23,,4.38,4.14,,,,,,
2020-KW22,,8.14,,,37.03,28.0,6.2,,,,4.38,,,,,,,
2020-KW23,,,,,7.41,,,,,,,,,,,,,
2020-KW24,,,,,7.41,,6.2,,6.23,,,,,,,,,
2020-KW25,,8.14,,,,14.0,,6.21,6.23,,,,4.91,,6.97,,,
2020-KW26,,,,,,,,,6.23,,,4.14,,,,,,
2020-KW27,,,,,,,,6.21,,,,,4.91,,,,,
2020-KW28,7.81,8.14,,,,14.0,18.61,12.43,,,,4.14,,6.04,6.97,,,
2020-KW29,,,,,,,,,6.23,6.05,,,,,6.97,,,
2020-KW30,,,,,14.81,,6.2,,6.23,12.11,,4.14,,6.04,,,,
2020-KW31,,8.14,8.43,,,14.0,18.61,12.43,,,,8.28,,6.04,,,,
2020-KW32,,,,,29.62,,6.2,6.21,,18.16,,4.14,9.81,,,,,
2020-KW33,7.81,,33.73,7.96,37.03,28.0,24.81,6.21,6.23,,13.13,8.28,,6.04,,,,
2020-KW34,7.81,,8.43,39.82,44.43,34.99,,18.64,18.7,24.22,,4.14,4.91,12.07,,,,
2020-KW35,,16.29,8.43,87.59,66.65,34.99,12.41,31.07,31.16,,8.75,8.28,9.81,,6.97,,,
2020-KW36,,16.29,,15.93,22.22,41.99,24.81,6.21,6.23,24.22,,8.28,,6.04,6.97,,,
2020-KW37,7.81,,,15.93,14.81,41.99,18.61,24.86,6.23,6.05,13.13,4.14,4.91,6.04,,,,
2020-KW38,7.81,,,7.96,22.22,14.0,12.41,6.21,12.47,,4.38,8.28,4.91,,,,,
2020-KW39,15.62,8.14,25.3,39.82,44.43,34.99,37.22,,6.23,30.27,4.38,16.57,14.72,,,8.72,,
