# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-02-25 07:40:04
# API-Download für Covid19-Fälle in SK Cottbus, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,1,,,,,2,1,1,,,3,2,2,1,,,,
2020-KW12,,,,,1,,2,2,1,,,1,3,1,,,,
2020-KW13,,,,,,,,,,1,1,1,1,1,,1,1,
2020-KW14,,,,,,,1,,,,,1,,,,,1,
2020-KW15,,,,,,,,,,,,,,,1,,,
2020-KW16,,,,1,,1,1,,,,,1,,,,,,
2020-KW30,,1,1,,,,2,,,,,,,,,,,
2020-KW33,,,,,1,,,,,,,,,,,,,
2020-KW34,,,,,,,,,,,,,,,1,,,
2020-KW37,,,,,1,,1,,,,,,,,,,,
2020-KW38,,,,,1,,,,,,,,,,,,,
2020-KW39,,,,,2,,,,,,,,,,,,,
2020-KW40,,,,1,1,1,3,,,,,,1,,,,,
2020-KW41,,1,,4,3,2,5,2,1,1,2,1,2,1,,,,
2020-KW42,1,,1,1,1,5,6,3,4,4,3,2,5,3,,4,4,
2020-KW43,1,1,5,8,4,4,9,3,8,6,7,8,4,7,,4,12,
2020-KW44,3,2,2,2,11,10,8,9,6,5,8,8,13,15,2,4,10,
2020-KW45,2,,2,2,2,1,3,8,5,4,5,4,5,,2,2,,
2020-KW46,1,20,6,3,2,4,4,12,4,5,8,5,6,2,,2,8,
2020-KW47,2,10,15,6,7,10,8,15,8,9,14,13,17,9,2,7,33,
2020-KW48,5,8,11,3,6,1,4,7,8,5,6,7,7,3,1,5,28,
2020-KW49,4,5,8,8,6,12,14,7,19,7,8,25,10,7,8,10,75,
2020-KW50,1,2,9,9,3,7,5,8,7,11,6,8,7,3,5,10,28,
2020-KW51,5,13,20,21,21,22,25,23,24,15,28,31,28,23,9,14,33,
2020-KW52,15,24,19,31,31,20,26,38,38,28,48,58,46,16,19,24,63,
2020-KW53,5,14,11,9,17,23,20,23,24,30,35,36,28,23,15,13,40,
2021-KW01,17,19,15,29,24,20,48,38,28,37,44,72,70,31,24,21,75,
2021-KW02,13,12,11,17,26,20,35,30,38,31,34,53,34,13,8,18,80,
2021-KW03,11,7,5,8,17,13,18,18,12,16,24,28,15,12,8,9,31,
2021-KW04,12,8,4,7,11,8,10,15,10,13,13,18,13,10,4,5,23,
2021-KW05,9,9,3,6,3,5,8,9,4,3,8,15,6,4,2,6,12,
2021-KW06,12,2,3,3,14,3,4,9,3,7,9,10,7,7,,2,7,
2021-KW07,12,6,1,3,2,1,10,10,2,2,10,7,3,2,2,2,5,
2021-KW08,13,8,5,1,3,6,6,8,7,4,5,7,6,3,1,4,5,
2021-KW09,7,10,3,3,9,,10,7,1,3,2,7,2,,,2,3,
2021-KW10,8,13,4,4,8,7,12,5,7,2,8,7,3,2,3,4,,
2021-KW11,16,19,6,8,10,21,14,12,8,8,6,12,15,6,2,1,4,
2021-KW12,14,9,5,7,3,4,17,8,11,13,16,13,11,6,2,5,5,
