# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-15 08:55:01
# API-Download für Covid19-Inzidenzen in LK Unstrut-Hainich-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,,,,,16.19,16.84,12.97,11.06,,,18.62,,,
2020-KW13,,,,,,,,15.92,16.19,,12.97,,,12.59,18.62,,11.76,
2020-KW14,22.48,,,,,,16.99,31.84,16.19,67.37,51.86,33.19,23.01,37.78,18.62,,23.53,
2020-KW15,,,,21.99,27.46,,,47.76,32.38,16.84,38.9,11.06,11.51,25.19,18.62,,11.76,
2020-KW16,,,,,27.46,,50.97,15.92,16.19,16.84,,11.06,,12.59,18.62,,,
2020-KW17,,,,,,,,,,,,,11.51,37.78,18.62,41.93,11.76,
2020-KW18,,,,,,,,,,33.69,12.97,,23.01,,18.62,,11.76,
2020-KW22,,,,,,,,,,,12.97,,,,,20.96,23.53,
2020-KW23,,,,,,,,,,16.84,12.97,11.06,11.51,,,,,
2020-KW24,22.48,,21.63,,,,,,,,12.97,,,,,,11.76,
2020-KW25,,,,,,,,,16.19,,,,11.51,,,,,
2020-KW27,,,,,,,,15.92,,,,,,,,,,
2020-KW34,,,,,,,,,,,,,,,,,11.76,
2020-KW36,,,,,,58.7,16.99,,,16.84,,,,12.59,,,,
2020-KW37,,,,21.99,,58.7,,,,,,,,,,,,
2020-KW38,,,,21.99,,,,,,,,,,,18.62,20.96,,
2020-KW39,,,,43.99,,,,15.92,,16.84,12.97,11.06,,12.59,,,,
2020-KW40,,,,,54.93,,,,16.19,,,,,,,,,
2020-KW41,,,,21.99,,,,,,,,,11.51,12.59,18.62,,23.53,
2020-KW42,,,,263.91,274.65,146.76,50.97,31.84,,16.84,,22.12,11.51,12.59,37.24,,,
