# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-16 07:56:58
# API-Download für Covid19-Inzidenzen in SK Köln, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,4.36,1.07,,,,,,,,,,,
2020-KW10,,,,,1.42,2.18,1.07,2.5,1.35,5.7,9.76,2.61,6.57,2.06,,,3.27,
2020-KW11,1.88,2.07,,6.55,11.35,24.0,37.31,42.46,44.62,49.9,42.69,28.76,6.57,6.19,2.34,2.65,3.27,
2020-KW12,3.76,4.14,8.58,6.55,42.57,76.38,89.55,62.44,79.78,81.26,106.12,36.6,32.87,33.02,16.37,23.89,27.75,
2020-KW13,1.88,2.07,4.29,26.19,46.82,69.83,56.5,56.19,40.56,52.75,73.19,49.67,50.95,24.77,37.42,26.54,75.1,
2020-KW14,7.52,2.07,4.29,15.28,39.73,32.73,44.78,28.72,44.62,37.07,53.67,40.52,52.59,49.54,42.09,61.04,115.91,
2020-KW15,3.76,4.14,6.44,30.56,25.54,22.91,24.52,23.73,24.34,37.07,45.13,16.99,26.3,22.7,32.74,31.85,60.41,
2020-KW16,1.88,2.07,2.15,2.18,12.77,13.09,7.46,11.24,10.82,22.81,10.98,11.76,8.22,6.19,11.69,10.62,24.49,
2020-KW17,1.88,6.21,2.15,15.28,15.61,8.73,5.33,7.49,12.17,8.55,7.32,7.84,6.57,8.26,4.68,2.65,13.06,
2020-KW18,1.88,,8.58,4.37,5.68,7.64,11.73,2.5,12.17,8.55,7.32,10.46,3.29,4.13,4.68,2.65,11.43,
2020-KW19,1.88,2.07,4.29,4.37,4.26,4.36,2.13,,4.06,8.55,10.98,9.15,9.86,,2.34,7.96,13.06,
2020-KW20,5.64,2.07,8.58,8.73,5.68,5.46,4.26,4.99,2.7,4.28,8.54,,3.29,,2.34,5.31,,
2020-KW21,1.88,,,,2.84,6.55,3.2,2.5,2.7,7.13,,2.61,1.64,2.06,,2.65,,
2020-KW22,1.88,2.07,2.15,2.18,,3.27,2.13,2.5,5.41,4.28,3.66,1.31,3.29,2.06,,2.65,,
2020-KW23,1.88,2.07,6.44,4.37,4.26,,1.07,2.5,5.41,1.43,,1.31,3.29,4.13,4.68,2.65,1.63,
2020-KW24,3.76,6.21,6.44,,1.42,3.27,1.07,3.75,2.7,4.28,2.44,1.31,3.29,2.06,2.34,,13.06,
2020-KW25,,2.07,2.15,4.37,5.68,,1.07,2.5,5.41,2.85,4.88,7.84,,4.13,4.68,2.65,11.43,
2020-KW26,5.64,,,,1.42,2.18,3.2,1.25,5.41,2.85,1.22,1.31,1.64,,,,,
2020-KW27,1.88,2.07,,,4.26,1.09,3.2,1.25,2.7,1.43,4.88,6.54,3.29,,,5.31,1.63,
2020-KW28,11.28,6.21,4.29,6.55,12.77,10.91,8.53,6.24,5.41,7.13,9.76,3.92,3.29,4.13,2.34,2.65,,
2020-KW29,,2.07,8.58,26.19,11.35,30.55,10.66,4.99,6.76,7.13,14.64,7.84,6.57,4.13,7.02,5.31,8.16,
2020-KW30,11.28,6.21,6.44,10.91,18.44,10.91,13.86,6.24,17.58,12.83,3.66,2.61,1.64,6.19,4.68,,4.9,
2020-KW31,3.76,10.35,8.58,8.73,21.28,14.18,14.93,14.98,12.17,5.7,9.76,3.92,4.93,6.19,7.02,2.65,11.43,
2020-KW32,5.64,10.35,15.02,17.46,24.12,9.82,18.12,21.23,13.52,9.98,12.2,10.46,18.08,6.19,7.02,2.65,8.16,
2020-KW33,3.76,18.63,34.33,30.56,34.05,22.91,25.59,16.23,18.93,21.38,10.98,11.76,1.64,2.06,2.34,13.27,4.9,
2020-KW34,3.76,12.42,10.73,17.46,25.54,26.19,31.98,16.23,12.17,17.11,14.64,7.84,13.15,10.32,7.02,5.31,1.63,
2020-KW35,11.28,10.35,4.29,10.91,32.63,32.73,14.93,24.97,21.63,24.24,8.54,18.3,4.93,2.06,11.69,7.96,11.43,
2020-KW36,5.64,6.21,6.44,17.46,39.73,20.73,30.92,13.74,8.11,25.66,15.86,23.53,11.5,10.32,9.35,2.65,6.53,
2020-KW37,5.64,8.28,12.87,52.38,61.01,50.19,26.65,17.48,36.51,34.22,25.62,20.91,18.08,20.64,9.35,5.31,13.06,
2020-KW38,11.28,18.63,8.58,45.84,53.92,67.65,53.3,47.45,35.16,47.05,31.71,30.06,16.44,22.7,28.06,10.62,14.69,
2020-KW39,7.52,12.42,25.74,48.02,68.1,57.83,63.96,51.2,27.04,31.36,25.62,33.98,24.65,18.58,4.68,21.23,16.33,
2020-KW40,7.52,10.35,10.73,69.85,69.52,64.37,65.03,41.21,45.97,51.32,39.03,36.6,19.72,24.77,23.39,10.62,37.55,
2020-KW41,16.92,18.63,51.49,174.62,116.35,110.2,74.63,77.42,67.61,61.3,71.97,61.43,64.1,41.28,25.72,45.12,34.28,
2020-KW42,24.45,49.69,38.62,122.23,180.19,149.48,126.86,84.91,100.06,138.29,95.14,101.95,78.89,66.05,56.13,74.31,96.32,
2020-KW43,56.41,62.11,120.14,233.55,324.91,282.59,206.82,178.57,192.0,242.36,259.81,190.83,167.64,119.71,86.53,114.12,125.71,
2020-KW44,71.46,97.31,182.36,307.76,366.06,304.42,275.05,216.03,302.87,278.0,241.51,231.35,146.28,119.71,126.28,151.28,173.05,
2020-KW45,69.58,122.15,154.47,270.65,349.04,277.14,236.67,201.04,237.97,233.81,230.54,219.59,167.64,136.23,142.65,132.7,202.44,
2020-KW46,47.01,101.45,128.72,202.99,252.55,230.22,221.74,173.57,192.0,196.74,209.8,185.61,154.49,109.39,144.99,111.47,169.79,
2020-KW47,41.37,99.38,163.05,285.93,253.97,190.94,171.64,171.07,171.72,211.0,169.55,156.85,154.49,117.65,105.24,84.93,127.34,
2020-KW48,73.34,82.82,109.41,187.71,205.73,148.39,153.51,158.59,169.01,179.63,148.81,130.71,111.76,78.43,74.83,82.27,169.79,
2020-KW49,31.97,72.46,102.98,213.9,168.84,145.12,143.92,126.12,173.07,163.95,158.57,143.78,116.69,68.11,88.87,90.24,195.91,
2020-KW50,41.37,89.03,122.29,185.53,175.94,161.48,157.78,158.59,147.38,141.14,162.23,137.24,111.76,82.56,98.22,106.16,189.38,
2020-KW51,75.22,128.36,145.89,207.36,212.83,190.94,178.03,202.29,186.59,205.29,174.43,168.61,156.14,117.65,98.22,127.39,235.09,
2020-KW52,63.93,80.75,96.54,117.87,170.26,127.66,139.66,141.11,129.8,148.27,150.03,113.72,110.12,97.01,81.85,92.89,207.34,
2020-KW53,33.85,43.48,53.63,98.22,110.67,101.47,118.33,87.41,108.17,111.2,114.66,78.43,83.82,61.92,67.82,92.89,163.26,
2021-KW01,37.61,60.04,85.81,137.51,174.52,154.94,154.58,141.11,128.45,131.16,107.34,112.41,80.53,88.75,88.87,108.81,153.46,
2021-KW02,63.93,47.62,85.81,109.13,119.18,116.75,125.8,102.4,101.41,136.86,98.8,105.87,70.67,57.79,93.54,98.2,192.64,
2021-KW03,35.73,31.06,53.63,139.69,114.93,98.2,87.42,87.41,87.89,98.37,106.12,105.87,87.11,53.66,91.2,100.85,171.42,
2021-KW04,37.61,39.34,68.65,91.67,110.67,87.29,66.1,53.69,93.3,91.24,96.36,79.73,57.52,59.86,63.14,79.62,168.16,
2021-KW05,39.49,28.99,47.2,58.93,87.97,76.38,79.96,54.94,81.13,99.8,67.09,91.5,62.45,66.05,58.46,98.2,213.87,
2021-KW06,48.89,51.76,51.49,69.85,75.2,73.1,67.16,62.44,67.61,76.99,52.45,60.13,52.59,66.05,79.51,61.04,156.73,
2021-KW07,45.13,47.62,51.49,54.57,80.87,97.11,66.1,69.93,77.07,79.84,81.72,67.97,47.66,47.47,42.09,55.73,94.69,
2021-KW08,48.89,66.25,40.76,56.75,103.58,88.38,88.48,71.18,105.47,75.56,76.85,64.05,49.31,53.66,56.13,58.39,80.0,
2021-KW09,43.25,57.97,66.51,69.85,87.97,80.74,78.89,62.44,74.37,88.39,60.99,65.35,47.66,43.34,28.06,42.46,58.77,
2021-KW10,78.98,86.96,111.56,128.78,130.53,122.2,106.61,101.15,91.94,115.48,112.22,112.41,78.89,66.05,58.46,76.97,66.94,
2021-KW11,103.42,128.36,109.41,137.51,167.42,148.39,141.79,123.62,147.38,111.2,103.68,90.19,101.9,72.24,42.09,37.16,78.36,
2021-KW12,114.7,167.7,208.1,229.18,191.54,158.21,151.38,137.36,175.78,141.14,129.3,128.09,70.67,80.5,77.17,76.97,70.2,
2021-KW13,109.06,132.51,160.9,209.54,178.77,138.57,170.57,166.08,177.13,185.34,164.67,128.09,116.69,99.07,109.91,63.7,88.16,
2021-KW14,114.7,115.94,143.74,218.27,239.78,173.48,179.1,191.05,205.52,176.78,169.55,163.39,156.14,111.46,123.94,71.66,96.32,
2021-KW15,169.24,231.88,238.14,427.81,282.35,214.95,202.55,217.28,232.56,211.0,169.55,158.16,142.99,138.29,102.9,66.35,115.91,
