# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-27 05:50:20
# API-Download für Covid19-Inzidenzen in LK Reutlingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,4.38,,,,,,,
2020-KW11,,,7.38,,,6.0,16.33,22.43,,16.41,8.75,33.87,24.93,12.53,7.75,18.05,4.9,
2020-KW12,,,7.38,6.94,30.49,18.01,21.78,22.43,46.81,43.76,56.88,71.97,49.86,6.27,38.73,27.07,29.41,
2020-KW13,13.77,37.07,14.75,27.74,85.37,66.05,103.44,84.11,76.06,109.4,100.63,101.6,89.75,75.19,131.68,81.21,68.63,
2020-KW14,20.66,14.83,36.88,48.55,182.94,108.09,114.33,84.11,157.98,164.1,170.63,177.81,169.53,112.79,170.41,144.37,171.58,
2020-KW15,27.55,7.41,,76.29,91.47,60.05,27.22,56.07,87.77,92.99,183.76,165.11,144.6,25.06,108.44,144.37,534.34,
2020-KW16,6.89,,,55.48,54.88,90.07,59.89,50.47,81.91,54.7,56.88,80.44,79.78,37.6,69.71,90.23,274.52,
2020-KW17,27.55,14.83,,34.68,24.39,48.04,16.33,89.72,23.4,49.23,83.13,67.74,59.83,43.86,23.24,36.09,250.01,
2020-KW18,,7.41,,6.94,6.1,24.02,16.33,5.61,11.7,38.29,35.0,12.7,14.96,12.53,,,39.22,
2020-KW19,,,7.38,20.81,18.29,18.01,38.11,,23.4,43.76,8.75,16.93,,12.53,15.49,9.02,9.8,
2020-KW20,,,7.38,,,12.01,,,5.85,,8.75,,,6.27,,9.02,9.8,
2020-KW21,,,,,,,5.44,,,,8.75,4.23,4.99,,,,44.12,
2020-KW22,,,,,,,,,,,,4.23,,,,,4.9,
2020-KW24,,,,,6.1,6.0,,,,,,,,,,,,
2020-KW25,,,,,,,,,11.7,5.47,4.38,,4.99,,,,,
2020-KW26,6.89,,,,,6.0,5.44,,,,,,,,,9.02,4.9,
2020-KW27,,,,,,6.0,,,5.85,,,,,,,,4.9,
2020-KW28,,,,,6.1,,,,,10.94,,,,,,,,
2020-KW29,,,,,,,,,,,,,,,,18.05,9.8,
2020-KW30,,,,,12.2,6.0,5.44,,11.7,5.47,4.38,8.47,,,,,,
2020-KW31,6.89,,22.13,27.74,6.1,6.0,5.44,5.61,,16.41,4.38,8.47,,,,18.05,,
2020-KW32,,,7.38,6.94,18.29,18.01,10.89,5.61,11.7,10.94,,,,,,,,
2020-KW33,6.89,7.41,,6.94,36.59,6.0,,16.82,,5.47,4.38,,,,,,,
2020-KW34,6.89,7.41,,34.68,36.59,36.03,5.44,5.61,,21.88,,8.47,14.96,,7.75,,,
2020-KW35,,,7.38,34.68,30.49,54.04,16.33,16.82,5.85,27.35,4.38,12.7,4.99,12.53,,,,
2020-KW36,,7.41,14.75,27.74,60.98,54.04,5.44,50.47,5.85,5.47,13.13,12.7,4.99,,,,,
2020-KW37,,14.83,22.13,76.29,36.59,66.05,21.78,28.04,58.51,16.41,17.5,25.4,9.97,6.27,,,4.9,
2020-KW38,6.89,7.41,7.38,110.96,73.18,66.05,65.33,28.04,35.11,16.41,26.25,8.47,14.96,6.27,7.75,,4.9,
2020-KW39,6.89,22.24,,138.71,48.78,18.01,21.78,16.82,11.7,21.88,8.75,12.7,14.96,6.27,23.24,,,
2020-KW40,,22.24,7.38,48.55,12.2,36.03,21.78,16.82,29.26,32.82,17.5,16.93,,6.27,23.24,9.02,,
