# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-03 05:43:03
# API-Download für Covid19-Fälle in LK Segeberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,,,1,,,,,
2020-KW10,,,,,,,,,,,,,1,,,,,
2020-KW11,,,,,,,,1,2,,,,,1,,,,
2020-KW12,,,,1,2,2,2,1,4,1,1,5,3,1,,,1,
2020-KW13,,1,,2,1,2,1,7,2,8,6,5,5,1,4,1,3,
2020-KW14,,1,,2,1,5,3,4,1,10,8,11,4,2,2,6,3,
2020-KW15,,,,,3,4,3,4,3,4,5,6,6,3,1,,1,
2020-KW16,,3,,,2,2,,1,,3,4,3,1,1,,1,,
2020-KW17,,,,1,1,,,,2,1,,,1,1,,,1,
2020-KW18,,,,1,,2,,3,2,2,,,1,,,1,,
2020-KW19,,,,2,4,3,7,3,7,5,11,4,4,1,2,,2,
2020-KW20,,,1,1,3,,1,2,3,1,1,2,,,,1,,
2020-KW21,,,2,,1,,1,2,1,2,,1,,,,,8,
2020-KW22,,,1,,,,,1,1,1,,1,1,,,1,4,
2020-KW23,,,,,,,1,,,,,,1,,,,3,
2020-KW25,,,,,,,,,1,,,,,,,,,
2020-KW26,,,,1,,,,,,,,,,,,,,
2020-KW27,,,,,1,,1,,,,1,,1,,,,,
2020-KW28,,,,3,1,1,,,1,1,,,,,,,,
2020-KW29,1,,,1,1,,1,2,,1,,,,,,,,
2020-KW30,,,,,,,1,,1,,,,,,,,1,
2020-KW31,,,,,,,1,1,,,,,,,,,,
2020-KW32,,,,1,1,3,,1,,1,1,,,,,,,
2020-KW33,1,1,1,1,2,1,2,2,1,,,1,,,,,,
2020-KW34,,1,1,,3,3,1,3,,1,1,,,,,,,
2020-KW35,1,,,2,,5,2,1,1,1,1,2,1,1,,,,
2020-KW36,,,,,3,1,,,1,2,1,,,1,,,,
2020-KW37,,,,1,4,,1,,1,,,1,1,,,,,
2020-KW38,,1,,7,4,2,,2,,1,1,2,,,,,1,
2020-KW39,,,,1,1,1,,2,1,,,,3,1,1,,,
2020-KW40,,1,,,3,1,3,1,1,2,3,2,2,1,1,,2,
2020-KW41,1,2,2,3,3,5,7,5,5,5,7,8,6,,3,,,
2020-KW42,1,3,6,5,3,5,3,4,6,4,5,6,6,,1,,3,
2020-KW43,4,3,4,6,8,6,9,6,10,8,7,6,10,5,,1,17,
2020-KW44,6,6,4,20,18,19,13,18,11,19,19,13,10,7,5,7,39,
2020-KW45,1,3,9,14,16,15,13,21,16,15,16,12,11,7,7,1,13,
2020-KW46,5,7,2,9,11,16,13,16,19,14,19,10,5,7,2,4,4,
2020-KW47,3,2,10,16,16,15,11,11,10,9,13,7,7,3,7,4,11,
2020-KW48,5,4,8,9,24,10,9,8,13,13,15,12,7,1,5,7,11,
2020-KW49,,2,14,6,17,7,7,15,12,9,16,8,6,8,2,6,7,
2020-KW50,3,4,5,18,14,13,20,15,18,16,27,15,14,2,,3,17,
2020-KW51,3,4,13,13,25,20,20,19,20,18,29,26,17,12,6,8,7,
2020-KW52,3,4,11,11,19,12,13,14,11,19,21,17,11,10,10,6,15,
2020-KW53,5,5,7,14,22,26,23,18,21,11,32,22,24,13,16,17,39,
2021-KW01,10,5,4,10,31,21,35,22,15,16,22,18,13,10,14,9,25,
2021-KW02,3,2,8,14,17,17,15,19,16,15,21,8,10,7,11,7,22,
2021-KW03,1,,3,10,9,16,13,14,15,17,14,19,16,8,7,4,41,
2021-KW04,5,4,4,16,17,13,20,12,15,17,16,21,10,11,12,17,50,
2021-KW05,5,12,5,3,9,8,8,9,9,8,12,8,6,3,3,2,15,
2021-KW06,2,2,5,8,4,6,13,11,6,8,14,14,11,4,2,2,14,
2021-KW07,3,7,4,7,12,6,12,7,13,13,12,12,9,5,3,3,9,
2021-KW08,7,4,8,9,12,8,11,14,11,7,6,9,4,8,3,2,8,
2021-KW09,6,18,11,11,18,11,8,20,20,16,15,10,4,2,5,,10,
2021-KW10,21,23,8,10,22,13,21,18,25,13,16,19,8,3,4,3,8,
2021-KW11,9,14,8,23,18,28,32,13,25,21,26,16,10,8,4,5,9,
2021-KW12,8,15,19,15,26,25,30,17,39,22,33,19,18,6,12,13,3,
2021-KW13,22,26,27,21,25,22,26,29,31,26,26,20,19,9,10,13,7,
2021-KW14,18,24,15,18,18,11,25,27,26,16,24,24,11,6,5,2,8,
2021-KW15,10,8,11,21,12,15,23,26,26,15,16,26,13,7,4,6,3,
2021-KW16,12,11,9,11,12,13,17,12,14,11,23,18,2,3,4,4,5,
2021-KW17,6,8,12,14,15,11,6,9,7,12,16,12,7,3,6,1,2,
2021-KW18,8,4,9,11,16,9,10,14,7,9,10,10,4,3,,,5,
2021-KW19,3,3,7,1,6,4,6,4,4,4,9,11,5,,3,,1,
2021-KW20,7,9,10,7,6,7,7,13,4,9,6,4,,3,1,3,,
2021-KW21,4,2,3,3,4,4,4,2,6,4,1,1,2,,,,,
2021-KW22,2,3,6,2,4,2,3,2,1,4,1,1,,,1,2,1,
2021-KW23,1,3,7,4,4,2,3,1,6,5,5,1,2,1,,,3,
2021-KW24,1,2,,,2,1,3,1,,,,1,1,,,,,
2021-KW25,2,,1,,2,,2,6,,,,,,,,,,
2021-KW26,1,1,1,,2,,1,3,1,,,1,,,,,,
