# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-12-03 07:55:16
# API-Download für Covid19-Fälle in LK Segeberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,,,1,,,,,
2020-KW10,,,,,,,,,,,,,1,,,,,
2020-KW11,,,,,,,,1,2,,,,,1,,,,
2020-KW12,,,,1,2,2,2,1,4,1,1,5,3,1,,,1,
2020-KW13,,1,,2,1,2,1,8,2,8,6,4,5,1,4,1,3,
2020-KW14,,1,,2,1,5,3,4,1,10,8,10,4,2,2,5,3,
2020-KW15,,,,,2,4,3,4,3,4,5,6,6,3,1,,1,
2020-KW16,,3,,,2,2,,1,,3,4,3,1,1,,1,,
2020-KW17,,,,1,1,,,,2,1,,,1,1,,,1,
2020-KW18,,,,1,,2,,3,2,2,,,1,,,1,,
2020-KW19,,,,2,4,3,7,3,7,5,11,4,4,1,2,,2,
2020-KW20,,,1,1,3,,1,2,3,1,1,2,,,,1,,
2020-KW21,,,2,,1,,1,2,1,2,,1,,,,,8,
2020-KW22,,,,,,,,1,1,1,,1,1,,,1,4,
2020-KW23,,,,,,,,,,,,,1,,,,3,
2020-KW25,,,,,,,,,1,,,,,,,,,
2020-KW26,,,,1,,,,,,,,,,,,,,
2020-KW27,,,,,1,,1,,,,1,,1,,,,,
2020-KW28,,,,3,1,1,,,1,1,,,,,,,,
2020-KW29,1,,,1,1,,1,2,,1,,,,,,,,
2020-KW30,,,,,,,1,,1,,,,,,,,1,
2020-KW31,,,,,,,1,1,,,,,,,,,,
2020-KW32,,,,1,1,3,,1,,1,1,,,,,,,
2020-KW33,1,1,1,1,2,1,2,2,1,,,1,,,,,,
2020-KW34,,1,1,,3,3,1,3,,1,1,,,,,,,
2020-KW35,1,,,2,,5,2,1,1,1,1,2,1,1,,,,
2020-KW36,,,,,3,1,,,1,2,1,,,1,,,,
2020-KW37,,,,1,4,,1,,1,,,1,1,,,,,
2020-KW38,,1,,7,4,2,,2,,1,1,2,,,,,1,
2020-KW39,,,,1,1,1,,2,1,,,,3,1,1,,,
2020-KW40,,1,,,3,1,2,1,1,2,3,2,2,1,1,,2,
2020-KW41,1,2,2,3,3,5,7,5,5,5,7,8,6,,3,,,
2020-KW42,1,3,6,5,3,5,3,4,5,5,5,6,6,,1,,3,
2020-KW43,4,3,4,6,8,6,9,6,10,8,7,6,10,5,,1,17,
2020-KW44,6,6,4,20,18,19,13,18,11,19,19,13,10,7,5,7,39,
2020-KW45,1,3,9,14,16,15,13,21,16,15,16,12,11,7,7,1,13,
2020-KW46,5,7,2,9,11,16,13,16,19,14,19,10,5,7,2,4,4,
2020-KW47,3,2,10,16,16,15,11,11,10,9,13,7,7,3,7,4,11,
2020-KW48,5,4,8,9,24,10,9,8,13,13,15,12,7,1,5,7,11,
2020-KW49,,2,14,6,17,7,7,15,12,9,16,8,6,8,2,6,7,
2020-KW50,3,4,5,18,14,13,20,14,19,16,27,15,14,2,,3,17,
2020-KW51,3,4,13,13,25,20,20,19,20,18,29,26,17,12,6,9,7,
2020-KW52,3,4,11,11,19,12,13,14,11,19,20,17,11,10,10,5,15,
2020-KW53,5,5,7,14,22,26,23,18,21,11,31,22,24,13,16,17,39,
2021-KW01,10,5,5,10,31,21,34,22,15,16,22,18,13,10,14,9,25,
2021-KW02,3,2,7,14,17,16,15,19,16,15,21,8,10,7,11,7,22,
2021-KW03,1,,3,10,9,16,13,14,15,17,14,19,16,8,7,4,41,
2021-KW04,5,4,4,16,17,13,20,12,15,16,16,21,10,11,12,17,50,
2021-KW05,5,12,5,3,9,8,8,9,9,9,12,8,6,3,3,2,15,
2021-KW06,2,2,5,8,4,6,13,11,6,8,14,14,11,4,2,2,14,
2021-KW07,3,7,4,7,12,6,12,7,13,13,12,12,9,5,3,3,9,
2021-KW08,7,4,8,9,12,8,11,14,11,7,6,9,4,8,3,2,8,
2021-KW09,6,18,11,11,18,11,8,20,20,16,15,10,4,2,5,,10,
2021-KW10,21,23,8,10,22,13,21,18,25,13,16,19,8,3,4,3,8,
2021-KW11,9,14,8,23,18,28,32,13,25,21,26,16,10,8,4,5,9,
2021-KW12,8,15,19,15,27,25,29,17,39,22,33,19,18,6,12,13,3,
2021-KW13,22,25,26,21,25,22,26,29,31,26,26,20,19,9,10,13,7,
2021-KW14,18,24,15,18,18,11,24,27,26,16,24,24,11,6,5,2,8,
2021-KW15,10,8,11,20,12,15,23,26,26,15,16,26,13,7,4,6,3,
2021-KW16,12,11,9,11,12,13,17,12,13,12,23,18,2,3,4,4,5,
2021-KW17,6,8,12,14,15,11,6,9,7,12,16,12,7,3,6,1,2,
2021-KW18,8,4,9,11,16,9,10,14,7,9,10,10,4,3,,,5,
2021-KW19,3,3,7,1,6,4,6,4,4,4,9,11,4,1,3,,1,
2021-KW20,7,9,10,7,5,7,7,13,5,9,6,4,,3,1,3,,
2021-KW21,4,2,3,3,4,4,4,2,5,4,1,1,2,,,,,
2021-KW22,2,3,6,2,4,2,3,2,1,4,1,1,,,1,2,1,
2021-KW23,1,3,7,4,4,2,3,1,6,5,5,1,2,1,,,3,
2021-KW24,1,2,,,2,1,3,1,,,,1,1,,,,,
2021-KW25,2,,1,,2,,2,6,,,,,,,,,,
2021-KW26,2,3,1,,1,1,1,3,3,,,1,,,,,,
2021-KW27,,,2,,1,1,,1,,,1,2,,,,,,
2021-KW28,1,2,2,3,5,5,2,4,1,,3,,,,,,,
2021-KW29,1,2,4,11,9,1,2,1,2,5,2,3,1,,,,,
2021-KW30,5,5,9,12,9,7,3,8,6,3,6,6,3,3,,,,
2021-KW31,1,6,17,17,14,3,5,8,5,5,5,1,,1,1,,,
2021-KW32,3,8,18,18,13,7,4,14,14,7,4,3,4,3,1,2,,
2021-KW33,7,18,22,16,7,8,9,9,13,7,15,6,3,3,3,1,2,
2021-KW34,7,16,16,16,11,10,14,9,13,12,6,4,5,1,1,2,1,
2021-KW35,3,14,18,9,6,5,10,11,8,2,6,6,3,3,,1,1,
2021-KW36,,7,5,11,8,5,11,10,9,9,5,3,1,5,1,3,6,
2021-KW37,1,8,7,10,9,4,8,3,10,5,6,4,2,,,,3,
2021-KW38,7,14,6,3,11,11,12,9,10,6,4,5,4,1,3,,,
2021-KW39,5,12,14,6,6,7,7,7,9,2,3,8,2,,1,1,1,
2021-KW40,4,8,4,2,9,10,10,5,6,7,3,8,3,4,,1,2,
2021-KW41,2,6,4,2,7,8,8,7,2,10,9,4,,1,4,,8,
2021-KW42,7,12,17,16,22,17,17,18,10,11,9,6,4,3,8,6,49,
2021-KW43,14,18,13,17,15,14,17,23,24,9,12,8,10,6,2,5,10,
2021-KW44,5,17,22,15,15,12,13,14,10,8,8,16,9,2,6,1,4,
2021-KW45,4,28,23,24,19,23,15,22,30,22,14,18,13,8,7,7,5,
2021-KW46,8,23,33,21,31,12,30,27,48,15,28,16,12,12,14,8,17,
2021-KW47,15,37,35,30,29,32,32,32,29,38,30,28,17,10,6,9,14,
2021-KW48,13,30,33,21,26,15,19,20,32,31,32,37,18,14,9,6,9,
2021-KW49,16,46,47,19,28,29,34,38,33,33,37,32,25,10,15,13,22,
2021-KW50,17,44,64,33,42,28,43,41,55,37,38,31,22,10,13,9,12,
2021-KW51,8,32,36,39,30,33,26,36,39,34,28,36,24,9,6,3,7,
2021-KW52,14,48,60,190,187,99,107,66,63,68,76,66,28,14,11,13,21,1
2022-KW01,50,100,109,310,362,166,144,153,115,152,164,123,62,30,18,19,23,1
2022-KW02,141,269,209,295,260,212,240,266,243,176,219,171,87,36,25,27,73,1
2022-KW03,188,380,334,246,198,182,279,286,272,185,183,139,99,52,36,17,82,
2022-KW04,147,347,316,220,154,186,239,273,279,197,179,141,118,34,28,26,90,
2022-KW05,128,370,303,196,156,175,248,279,298,193,165,144,81,34,26,26,71,3
2022-KW06,109,270,248,142,143,132,209,237,213,162,145,110,81,51,30,19,55,2
2022-KW07,84,235,231,147,118,134,166,245,187,141,130,108,73,34,15,17,63,1
2022-KW08,119,262,234,172,112,143,221,243,221,145,138,125,81,49,21,11,72,3
2022-KW09,148,347,254,158,159,178,232,279,229,187,190,166,109,63,39,29,80,
