# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-10-01 05:43:37
# API-Download für Covid19-Fälle in SK Krefeld, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,1,1,3,,,1,11,5,4,2,,,,1,
2020-KW12,,,,1,2,2,2,5,5,3,5,5,5,3,1,1,1,
2020-KW13,,2,,1,3,15,7,7,12,4,20,11,4,,11,4,1,
2020-KW14,,,4,4,7,7,7,5,3,13,11,10,1,3,1,3,5,
2020-KW15,,1,,1,1,3,1,1,4,,5,7,3,1,2,,2,
2020-KW16,1,1,,4,8,12,6,7,9,14,3,6,9,4,8,6,11,
2020-KW17,,1,,,8,8,12,1,5,4,1,8,4,3,4,5,8,
2020-KW18,,,4,2,4,4,7,1,2,4,6,8,4,,1,1,9,
2020-KW19,1,,1,1,3,3,3,3,,1,3,5,,1,,,2,
2020-KW20,1,,,2,5,6,1,3,1,6,3,3,,1,1,,6,
2020-KW21,,,1,1,5,4,,1,1,2,2,5,1,1,,,,
2020-KW22,,,,1,,,,1,,1,2,5,2,,,,1,
2020-KW23,,,,1,1,2,2,,1,2,1,1,,,1,,,
2020-KW24,,,,,2,,,,,,,1,,,,,,
2020-KW25,,,,,1,1,,,,,1,,,,,,,
2020-KW26,,,,1,,,,1,1,,1,1,,,1,,1,
2020-KW27,2,,,1,,1,1,2,1,1,,,1,1,,2,1,
2020-KW28,,,,,2,1,1,1,2,,1,1,,,,,,
2020-KW29,1,1,,1,1,,2,2,,2,,1,,1,,,,
2020-KW30,,,1,,1,2,,1,,1,1,2,3,,,,,
2020-KW31,,1,1,1,2,4,4,3,1,2,,2,,,1,2,,
2020-KW32,1,3,3,,6,4,,3,2,3,2,,2,,1,,1,
2020-KW33,2,2,2,,2,1,1,1,,,3,1,1,,,,,
2020-KW34,1,2,2,,5,4,3,3,1,1,4,3,1,,1,1,,
2020-KW35,1,3,2,3,,3,4,4,2,2,,1,,,,,,
2020-KW36,2,,3,2,4,9,5,6,4,2,2,4,,,,,,
2020-KW37,1,2,3,4,6,4,4,6,4,5,4,2,2,,,,1,
2020-KW38,1,3,6,4,4,5,4,3,5,4,2,1,2,,1,,2,
2020-KW39,,2,2,2,1,4,1,3,1,5,3,2,1,1,1,,,
2020-KW40,4,2,1,,3,5,4,6,2,4,1,4,6,,3,,1,
2020-KW41,2,,2,4,6,9,4,2,1,2,3,4,6,3,,1,2,
2020-KW42,10,4,6,14,14,15,17,8,10,11,10,15,7,2,2,7,3,
2020-KW43,11,13,15,11,34,20,30,22,27,25,24,30,14,7,10,3,4,
2020-KW44,20,16,46,39,38,41,32,36,26,31,46,26,18,10,13,11,14,
2020-KW45,12,25,25,46,36,39,40,20,34,36,50,41,25,8,7,16,13,
2020-KW46,12,16,23,33,46,37,39,28,42,26,31,32,17,17,10,13,13,
2020-KW47,11,20,33,35,56,34,32,22,39,37,32,24,15,9,5,7,16,
2020-KW48,21,28,26,28,37,43,32,32,35,36,30,26,24,11,10,6,9,
2020-KW49,7,10,19,31,13,21,21,18,24,24,32,24,12,13,8,8,20,
2020-KW50,12,14,20,36,29,26,19,20,28,29,25,24,14,7,7,6,22,
2020-KW51,4,11,14,29,29,39,23,23,30,32,30,22,19,17,11,14,26,
2020-KW52,5,6,10,17,19,18,29,19,13,28,20,26,13,9,9,6,17,
2020-KW53,5,8,17,22,44,28,42,23,30,20,37,31,17,9,15,17,53,
2021-KW01,5,4,12,23,42,39,34,26,24,25,39,30,30,5,14,11,79,
2021-KW02,6,8,5,4,21,21,26,10,19,16,23,24,11,4,4,4,13,
2021-KW03,9,5,10,17,29,18,20,19,18,34,40,24,21,9,5,3,38,
2021-KW04,3,4,6,14,19,18,14,11,13,18,21,14,15,7,5,8,34,
2021-KW05,5,4,7,3,8,10,16,12,16,15,9,14,7,3,9,5,14,
2021-KW06,2,9,4,7,11,9,25,4,5,10,7,11,6,5,3,5,12,
2021-KW07,,,2,11,4,8,15,9,6,12,18,21,6,3,4,3,7,
2021-KW08,6,6,5,4,17,12,8,7,12,8,14,12,5,2,6,6,8,
2021-KW09,4,6,11,10,14,18,13,20,12,7,15,10,18,9,3,2,10,
2021-KW10,3,10,7,13,18,13,13,25,12,14,9,8,10,4,2,2,2,
2021-KW11,18,17,19,32,26,30,32,27,20,31,21,30,16,7,3,3,4,
2021-KW12,21,21,23,34,28,34,33,22,22,21,47,31,12,9,5,4,4,
2021-KW13,21,14,20,23,30,27,25,25,26,27,31,19,9,10,6,9,3,
2021-KW14,16,23,9,29,31,28,24,24,31,28,23,19,15,5,6,6,9,
2021-KW15,15,25,42,51,45,47,41,37,40,43,50,46,16,12,15,8,12,
2021-KW16,25,22,24,57,44,48,41,46,38,36,48,38,28,21,17,11,5,
2021-KW17,24,37,25,38,49,30,34,40,41,33,30,24,26,17,8,12,5,
2021-KW18,26,28,39,34,36,28,32,28,29,32,27,28,9,5,9,15,7,
2021-KW19,16,14,16,17,14,14,20,17,18,17,27,14,9,10,6,8,7,
2021-KW20,6,11,14,14,15,19,24,12,7,11,10,12,12,6,1,2,11,
2021-KW21,4,8,13,12,12,12,10,13,7,10,7,10,2,1,3,,2,
2021-KW22,1,5,13,12,4,4,5,9,2,2,6,4,,,1,,1,
2021-KW23,1,9,5,3,2,5,6,,4,1,2,3,2,,3,1,1,
2021-KW24,,3,1,3,3,1,1,3,1,1,1,2,,,1,,1,
2021-KW25,2,2,3,3,1,2,,1,2,1,2,2,,,,,,
2021-KW26,,2,1,1,,2,1,,6,,2,1,,,,,,
2021-KW27,,1,1,3,2,2,4,1,1,2,1,1,,,,,,
2021-KW28,2,1,3,12,5,7,2,9,,,,3,2,,,,,
2021-KW29,,1,2,10,3,3,3,2,2,3,1,2,1,,1,,1,
2021-KW30,1,4,4,9,13,7,9,2,5,4,4,3,,3,,,,
2021-KW31,5,13,12,14,7,5,11,11,7,7,4,4,,1,,,2,
2021-KW32,8,7,12,11,11,16,19,14,9,12,6,12,6,,,1,,
2021-KW33,9,35,36,40,31,30,28,44,29,14,12,9,5,3,1,1,,
2021-KW34,29,68,41,43,34,33,44,37,27,25,14,9,10,2,3,1,4,
2021-KW35,29,40,36,22,30,36,30,29,21,18,17,11,9,7,3,,3,
2021-KW36,13,18,38,16,17,14,23,16,22,5,11,14,10,5,,,9,
2021-KW37,10,8,8,16,10,7,19,12,14,17,5,4,3,1,,,10,
2021-KW38,6,9,9,3,13,12,12,9,7,9,5,8,5,1,1,3,3,
2021-KW39,1,2,3,2,2,1,3,2,6,1,3,2,5,2,1,,1,
